linha,ano,semestre,periodo,inicio_semestre,fim_semestre,dia_no_semestre,total_dias_sem,total_dias_ano
0,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,1.0,125.0,253.0
1,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,2.0,125.0,253.0
2,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,3.0,125.0,253.0
3,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,4.0,125.0,253.0
4,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,5.0,125.0,253.0
5,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,6.0,125.0,253.0
6,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,7.0,125.0,253.0
7,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,8.0,125.0,253.0
8,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,9.0,125.0,253.0
9,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,10.0,125.0,253.0
10,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,11.0,125.0,253.0
11,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,12.0,125.0,253.0
12,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,13.0,125.0,253.0
13,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,14.0,125.0,253.0
14,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,15.0,125.0,253.0
15,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,16.0,125.0,253.0
16,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,17.0,125.0,253.0
17,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,18.0,125.0,253.0
18,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,19.0,125.0,253.0
19,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,20.0,125.0,253.0
20,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,21.0,125.0,253.0
21,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,22.0,125.0,253.0
22,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,23.0,125.0,253.0
23,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,24.0,125.0,253.0
24,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,25.0,125.0,253.0
