date,ARG
2015-07-01,106.0
2015-07-02,105.2
2015-07-06,104.58
2015-07-07,104.96
2015-07-08,102.34
2015-07-09,101.87
2015-07-10,103.06
2015-07-13,103.64
2015-07-14,105.93
2015-07-15,103.99
2015-07-16,102.91
2015-07-17,102.29
2015-07-20,101.68
2015-07-21,99.83
2015-07-22,100.45
2015-07-23,100.25
2015-07-24,98.88
2015-07-27,97.18
2015-07-28,100.9
2015-07-29,101.79
2015-07-30,102.07
2015-07-31,102.02
2015-08-03,102.6
2015-08-04,102.7
2015-08-05,102.94
2015-08-06,103.65
2015-08-07,103.74
2015-08-10,105.76
2015-08-11,105.24
2015-08-12,105.34
2015-08-13,105.71
2015-08-14,106.94
2015-08-17,106.39
2015-08-18,106.05
2015-08-19,104.86
2015-08-20,102.99
2015-08-21,99.34
2015-08-24,95.52
2015-08-25,92.57
2015-08-26,95.22
2015-08-27,96.88
2015-08-28,97.16
2015-08-31,96.52
2015-09-01,94.01
2015-09-02,95.26
2015-09-03,96.26
2015-09-04,93.53
2015-09-08,95.12
2015-09-09,94.4
2015-09-10,94.79
2015-09-11,94.32
2015-09-14,93.55
2015-09-15,93.98
2015-09-16,95.15
2015-09-17,95.58
2015-09-18,93.16
2015-09-21,93.67
2015-09-22,92.34
2015-09-23,90.83
2015-09-24,91.14
2015-09-25,90.46
2015-09-28,88.1
2015-09-29,89.09
2015-09-30,89.33
2015-10-01,87.97
2015-10-02,88.76
2015-10-05,91.14
2015-10-06,90.72
2015-10-07,92.0
2015-10-08,92.92
2015-10-09,93.4
2015-10-12,92.76
2015-10-13,92.39
2015-10-14,92.78
2015-10-15,92.79
2015-10-16,91.93
2015-10-19,91.13
2015-10-20,90.87
2015-10-21,89.62
2015-10-22,91.7
2015-10-23,92.73
2015-10-26,91.99
2015-10-27,92.72
2015-10-28,94.8
2015-10-29,96.8
2015-10-30,96.16
2015-11-02,96.42
2015-11-03,96.79
2015-11-04,96.11
2015-11-05,96.28
2015-11-06,96.95
2015-11-09,95.9
2015-11-10,95.99
2015-11-11,95.16
2015-11-12,94.59
2015-11-13,101.82
2015-11-16,106.18
2015-11-17,137.35
2015-11-18,138.93
2015-11-19,138.75
2015-11-20,138.81
2015-11-23,138.59
2015-11-24,138.25
2015-11-25,138.15
2015-11-27,138.43
2015-11-30,138.2
2015-12-01,138.3
2015-12-02,137.88
2015-12-03,137.66
2015-12-04,137.85
2015-12-07,137.52
2015-12-08,137.23
2015-12-09,137.4
2015-12-10,136.74
2015-12-11,136.42
2015-12-14,136.28
2015-12-15,136.66
2015-12-16,137.55
2015-12-17,137.49
2015-12-18,137.14
2015-12-21,137.6
2015-12-22,138.02
2015-12-23,138.61
2015-12-24,138.48
2015-12-28,138.42
2015-12-29,138.68
2015-12-30,138.54
2015-12-31,138.32
