date,CMA
2015-07-01,51.98
2015-07-02,51.5
2015-07-06,51.04
2015-07-07,49.31
2015-07-08,47.73
2015-07-09,48.99
2015-07-10,49.58
2015-07-13,49.83
2015-07-14,49.65
2015-07-15,50.1
2015-07-16,50.47
2015-07-17,47.28
2015-07-20,48.12
2015-07-21,48.45
2015-07-22,49.29
2015-07-23,48.6
2015-07-24,47.86
2015-07-27,46.63
2015-07-28,47.0
2015-07-29,47.69
2015-07-30,47.84
2015-07-31,47.43
2015-08-03,46.99
2015-08-04,47.37
2015-08-05,47.55
2015-08-06,47.27
2015-08-07,47.19
2015-08-10,48.56
2015-08-11,47.63
2015-08-12,46.57
2015-08-13,46.91
2015-08-14,47.45
2015-08-17,47.29
2015-08-18,47.43
2015-08-19,46.82
2015-08-20,44.86
2015-08-21,43.14
2015-08-24,40.85
2015-08-25,40.41
2015-08-26,42.37
2015-08-27,43.87
2015-08-28,43.97
2015-08-31,44.0
2015-09-01,41.93
2015-09-02,42.65
2015-09-03,42.8
2015-09-04,42.13
2015-09-08,43.27
2015-09-09,42.29
2015-09-10,42.43
2015-09-11,42.05
2015-09-14,41.99
2015-09-15,42.66
2015-09-16,43.22
2015-09-17,41.62
2015-09-18,40.45
2015-09-21,41.31
2015-09-22,40.83
2015-09-23,40.74
2015-09-24,40.81
2015-09-25,41.72
2015-09-28,40.57
2015-09-29,40.71
2015-09-30,41.1
2015-10-01,41.72
2015-10-02,41.68
2015-10-05,42.35
2015-10-06,42.2
2015-10-07,42.98
2015-10-08,43.46
2015-10-09,42.84
2015-10-12,42.6
2015-10-13,42.16
2015-10-14,41.56
2015-10-15,42.72
2015-10-16,42.26
2015-10-19,41.97
2015-10-20,42.73
2015-10-21,41.52
2015-10-22,41.88
2015-10-23,42.89
2015-10-26,42.55
2015-10-27,42.22
2015-10-28,44.39
2015-10-29,44.2
2015-10-30,43.4
2015-11-02,44.87
2015-11-03,44.6
2015-11-04,44.7
2015-11-05,45.43
2015-11-06,46.8
2015-11-09,46.34
2015-11-10,46.32
2015-11-11,46.31
2015-11-12,45.22
2015-11-13,44.79
2015-11-16,45.53
2015-11-17,45.53
2015-11-18,46.73
2015-11-19,46.34
2015-11-20,46.41
2015-11-23,46.2
2015-11-24,46.26
2015-11-25,46.37
2015-11-27,46.39
2015-11-30,46.35
2015-12-01,46.74
2015-12-02,45.85
2015-12-03,45.25
2015-12-04,46.37
2015-12-07,44.32
2015-12-08,43.01
2015-12-09,42.49
2015-12-10,42.63
2015-12-11,41.76
2015-12-14,41.21
2015-12-15,42.96
2015-12-16,43.26
2015-12-17,42.31
2015-12-18,40.54
2015-12-21,41.14
2015-12-22,41.27
2015-12-23,42.32
2015-12-24,42.31
2015-12-28,42.03
2015-12-29,42.28
2015-12-30,41.98
2015-12-31,41.83
2016-01-04,41.43
2016-01-05,40.98
2016-01-06,40.51
2016-01-07,39.69
2016-01-08,39.0
2016-01-11,38.75
2016-01-12,38.51
2016-01-13,36.67
2016-01-14,36.93
2016-01-15,36.05
2016-01-19,34.72
2016-01-20,33.99
2016-01-21,33.3
2016-01-22,33.67
2016-01-25,32.04
2016-01-26,32.97
2016-01-27,33.47
2016-01-28,34.19
2016-01-29,34.3
2016-02-01,33.61
2016-02-02,33.4
2016-02-03,34.24
2016-02-04,34.94
2016-02-05,34.57
2016-02-08,32.29
2016-02-09,32.45
2016-02-10,32.05
2016-02-11,31.02
2016-02-12,32.92
2016-02-16,34.25
2016-02-17,33.87
2016-02-18,34.13
2016-02-19,34.32
2016-02-22,35.56
2016-02-23,33.96
2016-02-24,33.89
2016-02-25,34.26
2016-02-26,34.96
2016-02-29,33.78
2016-03-01,35.11
2016-03-02,35.79
2016-03-03,37.21
