date,K
2015-07-01,63.01
2015-07-02,63.14
2015-07-06,62.74
2015-07-07,64.12
2015-07-08,63.68
2015-07-09,63.59
2015-07-10,63.75
2015-07-13,64.18
2015-07-14,64.12
2015-07-15,63.68
2015-07-16,64.5
2015-07-17,64.35
2015-07-20,64.14
2015-07-21,64.02
2015-07-22,64.39
2015-07-23,64.33
2015-07-24,64.54
2015-07-27,64.68
2015-07-28,65.05
2015-07-29,65.43
2015-07-30,66.09
2015-07-31,66.17
2015-08-03,66.07
2015-08-04,67.5
2015-08-05,68.66
2015-08-06,68.86
2015-08-07,68.92
2015-08-10,69.0
2015-08-11,69.2
2015-08-12,68.9
2015-08-13,68.89
2015-08-14,69.77
2015-08-17,69.6
2015-08-18,69.3
2015-08-19,68.95
2015-08-20,68.72
2015-08-21,67.46
2015-08-24,65.74
2015-08-25,65.1
2015-08-26,66.93
2015-08-27,67.36
2015-08-28,67.04
2015-08-31,66.28
2015-09-01,65.71
2015-09-02,66.74
2015-09-03,67.33
2015-09-04,66.58
2015-09-08,67.52
2015-09-09,66.16
2015-09-10,66.35
2015-09-11,66.99
2015-09-14,66.73
2015-09-15,67.46
2015-09-16,68.39
2015-09-17,68.87
2015-09-18,67.45
2015-09-21,67.66
2015-09-22,67.03
2015-09-23,67.29
2015-09-24,67.21
2015-09-25,68.22
2015-09-28,66.51
2015-09-29,66.45
2015-09-30,66.55
2015-10-01,66.24
2015-10-02,67.41
2015-10-05,68.06
2015-10-06,67.55
2015-10-07,68.22
2015-10-08,69.24
2015-10-09,69.44
2015-10-12,69.83
2015-10-13,69.36
2015-10-14,68.65
2015-10-15,69.2
2015-10-16,69.79
2015-10-19,69.61
2015-10-20,68.97
2015-10-21,69.61
2015-10-22,72.01
2015-10-23,71.7
2015-10-26,71.55
2015-10-27,71.04
2015-10-28,70.92
2015-10-29,70.99
2015-10-30,70.52
2015-11-02,70.61
2015-11-03,68.09
2015-11-04,68.68
2015-11-05,69.37
2015-11-06,67.93
2015-11-09,67.47
2015-11-10,67.33
2015-11-11,67.62
2015-11-12,66.3
2015-11-13,66.09
2015-11-16,66.93
2015-11-17,66.03
2015-11-18,66.31
2015-11-19,66.47
2015-11-20,66.25
2015-11-23,68.57
2015-11-24,67.86
2015-11-25,69.18
2015-11-27,69.27
2015-11-30,68.77
2015-12-01,69.38
2015-12-02,68.89
2015-12-03,68.53
2015-12-04,70.18
2015-12-07,70.51
2015-12-08,70.82
2015-12-09,70.6
2015-12-10,70.73
2015-12-11,70.13
2015-12-14,71.08
2015-12-15,71.51
2015-12-16,71.97
2015-12-17,71.61
2015-12-18,70.78
2015-12-21,71.05
2015-12-22,72.19
2015-12-23,73.07
2015-12-24,72.87
2015-12-28,72.87
2015-12-29,73.51
2015-12-30,73.19
2015-12-31,72.27
2016-01-04,71.61
2016-01-05,71.87
2016-01-06,72.01
2016-01-07,70.37
2016-01-08,71.48
2016-01-11,71.55
2016-01-12,71.47
2016-01-13,70.9
2016-01-14,71.67
2016-01-15,70.67
2016-01-19,71.24
2016-01-20,70.1
2016-01-21,69.96
2016-01-22,71.61
2016-01-25,70.51
2016-01-26,71.2
2016-01-27,71.57
2016-01-28,72.79
2016-01-29,73.44
2016-02-01,73.59
2016-02-02,72.38
2016-02-03,72.34
2016-02-04,71.83
2016-02-05,71.84
2016-02-08,71.31
2016-02-09,71.4
2016-02-10,70.86
2016-02-11,73.69
2016-02-12,74.97
2016-02-16,75.19
2016-02-17,75.75
2016-02-18,75.79
2016-02-19,75.52
2016-02-22,73.82
2016-02-23,74.12
2016-02-24,73.91
2016-02-25,74.91
2016-02-26,73.45
2016-02-29,74.02
2016-03-01,74.17
2016-03-02,75.09
2016-03-03,74.84
2016-03-04,75.23
2016-03-07,74.93
2016-03-08,74.84
2016-03-09,75.2
2016-03-10,75.24
2016-03-11,75.53
2016-03-14,74.95
2016-03-15,75.09
2016-03-16,75.63
2016-03-17,76.44
2016-03-18,76.16
2016-03-21,75.49
2016-03-22,74.43
2016-03-23,75.04
2016-03-24,75.44
2016-03-28,75.67
2016-03-29,76.59
2016-03-30,76.83
2016-03-31,76.55
2016-04-01,77.86
2016-04-04,78.07
2016-04-05,76.81
2016-04-06,77.78
2016-04-07,77.11
2016-04-08,77.25
2016-04-11,76.99
2016-04-12,77.34
2016-04-13,76.67
2016-04-14,76.46
2016-04-15,77.55
2016-04-18,77.67
2016-04-19,77.6
2016-04-20,76.71
2016-04-21,74.99
2016-04-22,75.28
2016-04-25,75.8
2016-04-26,75.32
2016-04-27,76.39
2016-04-28,76.48
2016-04-29,76.81
2016-05-02,77.44
2016-05-03,76.85
2016-05-04,77.02
2016-05-05,75.05
2016-05-06,75.02
2016-05-09,75.34
2016-05-10,76.37
2016-05-11,76.18
2016-05-12,77.31
2016-05-13,77.19
2016-05-16,77.23
2016-05-17,75.42
2016-05-18,75.04
2016-05-19,75.24
2016-05-20,74.3
2016-05-23,74.41
2016-05-24,74.65
2016-05-25,74.75
2016-05-26,75.33
2016-05-27,74.49
2016-05-31,74.37
2016-06-01,74.9
2016-06-02,74.53
2016-06-03,75.13
2016-06-06,74.52
2016-06-07,75.16
2016-06-08,76.08
2016-06-09,77.69
2016-06-10,78.12
2016-06-13,76.9
2016-06-14,76.88
2016-06-15,76.31
2016-06-16,77.03
2016-06-17,76.77
2016-06-20,76.86
2016-06-21,77.33
2016-06-22,77.35
2016-06-23,77.83
2016-06-24,77.19
2016-06-27,76.83
2016-06-28,76.16
2016-06-29,77.57
2016-06-30,81.65
2016-07-01,81.6
2016-07-05,82.26
2016-07-06,82.48
2016-07-07,82.27
2016-07-08,82.64
2016-07-11,81.69
2016-07-12,81.52
2016-07-13,83.11
2016-07-14,85.32
2016-07-15,85.99
2016-07-18,85.61
2016-07-19,86.98
2016-07-20,82.26
2016-07-21,82.48
2016-07-22,82.86
2016-07-25,83.51
2016-07-26,82.84
2016-07-27,81.27
2016-07-28,81.79
2016-07-29,82.71
2016-08-01,82.37
2016-08-02,81.87
2016-08-03,81.08
2016-08-04,82.42
2016-08-05,82.71
2016-08-08,82.92
2016-08-09,82.98
2016-08-10,82.96
2016-08-11,83.46
2016-08-12,83.53
2016-08-15,83.39
2016-08-16,82.45
2016-08-17,82.57
2016-08-18,83.02
2016-08-19,83.04
2016-08-22,83.05
2016-08-23,82.69
2016-08-24,82.34
2016-08-25,82.82
2016-08-26,82.37
2016-08-29,83.11
2016-08-30,81.78
2016-08-31,82.21
2016-09-01,81.69
2016-09-02,82.42
2016-09-06,82.56
2016-09-07,80.8
2016-09-08,79.99
2016-09-09,77.13
2016-09-12,79.13
2016-09-13,78.13
2016-09-14,78.09
2016-09-15,78.26
2016-09-16,78.02
2016-09-19,78.17
2016-09-20,77.28
2016-09-21,77.58
2016-09-22,78.22
2016-09-23,77.71
2016-09-26,77.39
2016-09-27,77.38
2016-09-28,77.82
2016-09-29,77.26
2016-09-30,77.47
2016-10-03,77.25
2016-10-04,76.15
2016-10-05,76.18
2016-10-06,75.97
2016-10-07,76.34
2016-10-10,76.47
2016-10-11,76.05
2016-10-12,76.46
2016-10-13,75.78
2016-10-14,75.49
2016-10-17,74.99
2016-10-18,75.36
2016-10-19,74.93
2016-10-20,74.23
2016-10-21,74.34
2016-10-24,74.28
2016-10-25,74.21
2016-10-26,74.07
2016-10-27,74.16
2016-10-28,74.63
2016-10-31,75.13
2016-11-01,75.21
2016-11-02,75.09
2016-11-03,73.97
2016-11-04,73.67
2016-11-07,74.95
2016-11-08,76.96
2016-11-09,74.88
2016-11-10,72.65
2016-11-11,72.5
2016-11-14,72.53
2016-11-15,73.4
2016-11-16,73.26
2016-11-17,73.44
2016-11-18,73.07
2016-11-21,73.39
2016-11-22,74.49
2016-11-23,73.39
