date,LLL
2015-07-01,115.85
2015-07-02,115.74
2015-07-06,116.01
2015-07-07,118.24
2015-07-08,117.21
2015-07-09,117.59
2015-07-10,120.22
2015-07-13,121.05
2015-07-14,121.66
2015-07-15,122.05
2015-07-16,123.29
2015-07-17,122.67
2015-07-20,122.8
2015-07-21,121.75
2015-07-22,121.75
2015-07-23,121.93
2015-07-24,120.65
2015-07-27,120.19
2015-07-28,121.58
2015-07-29,124.04
2015-07-30,114.75
2015-07-31,115.46
2015-08-03,114.41
2015-08-04,114.76
2015-08-05,115.55
2015-08-06,115.71
2015-08-07,115.27
2015-08-10,116.34
2015-08-11,115.63
2015-08-12,115.54
2015-08-13,115.55
2015-08-14,115.43
2015-08-17,115.79
2015-08-18,115.05
2015-08-19,113.78
2015-08-20,111.63
2015-08-21,108.5
2015-08-24,105.66
2015-08-25,104.37
2015-08-26,107.12
2015-08-27,107.12
2015-08-28,106.97
2015-08-31,105.47
2015-09-01,103.07
2015-09-02,105.95
2015-09-03,106.32
2015-09-04,104.63
2015-09-08,107.02
2015-09-09,105.94
2015-09-10,105.84
2015-09-11,105.61
2015-09-14,105.84
2015-09-15,107.51
2015-09-16,107.65
2015-09-17,108.08
2015-09-18,106.89
2015-09-21,107.94
2015-09-22,105.99
2015-09-23,104.44
2015-09-24,104.34
2015-09-25,104.27
2015-09-28,101.9
2015-09-29,102.08
2015-09-30,104.52
2015-10-01,103.99
2015-10-02,105.26
2015-10-05,107.13
2015-10-06,107.64
2015-10-07,110.44
2015-10-08,112.83
2015-10-09,113.68
2015-10-12,113.58
2015-10-13,111.48
2015-10-14,109.5
2015-10-15,110.34
2015-10-16,110.34
2015-10-19,109.93
2015-10-20,110.66
2015-10-21,111.35
2015-10-22,114.01
2015-10-23,114.84
2015-10-26,115.04
2015-10-27,114.55
2015-10-28,125.59
2015-10-29,128.4
2015-10-30,126.4
2015-11-02,124.23
2015-11-03,123.72
2015-11-04,123.04
2015-11-05,122.93
2015-11-06,122.09
2015-11-09,120.68
2015-11-10,119.89
2015-11-11,120.17
2015-11-12,118.85
2015-11-13,118.41
2015-11-16,123.65
2015-11-17,124.42
2015-11-18,125.16
2015-11-19,125.36
2015-11-20,126.35
2015-11-23,126.02
2015-11-24,124.61
2015-11-25,123.57
2015-11-27,124.47
2015-11-30,122.41
2015-12-01,122.96
2015-12-02,122.36
2015-12-03,120.74
2015-12-04,124.01
2015-12-07,125.47
2015-12-08,124.21
2015-12-09,120.61
2015-12-10,121.19
2015-12-11,119.26
2015-12-14,119.51
2015-12-15,119.48
2015-12-16,120.77
2015-12-17,117.65
2015-12-18,116.56
2015-12-21,117.26
2015-12-22,118.48
2015-12-23,119.72
2015-12-24,119.95
2015-12-28,119.38
2015-12-29,120.72
2015-12-30,120.94
2015-12-31,119.51
2016-01-04,117.28
2016-01-05,119.6
2016-01-06,117.48
2016-01-07,115.68
2016-01-08,114.55
2016-01-11,115.89
2016-01-12,116.94
2016-01-13,114.18
2016-01-14,113.55
2016-01-15,111.69
2016-01-19,109.87
2016-01-20,108.05
2016-01-21,108.85
2016-01-22,111.56
2016-01-25,110.27
2016-01-26,111.92
2016-01-27,110.21
2016-01-28,111.98
2016-01-29,116.84
2016-02-01,117.59
2016-02-02,116.75
2016-02-03,117.57
2016-02-04,117.39
2016-02-05,117.58
2016-02-08,117.2
2016-02-09,118.15
2016-02-10,118.1
2016-02-11,114.73
2016-02-12,115.33
2016-02-16,116.2
2016-02-17,117.14
2016-02-18,117.43
2016-02-19,117.56
2016-02-22,118.61
2016-02-23,117.8
2016-02-24,117.92
2016-02-25,119.19
2016-02-26,118.92
2016-02-29,117.31
2016-03-01,118.91
2016-03-02,119.47
2016-03-03,120.55
2016-03-04,119.5
2016-03-07,118.01
2016-03-08,117.91
2016-03-09,117.59
2016-03-10,117.0
2016-03-11,119.09
2016-03-14,117.85
2016-03-15,117.82
2016-03-16,117.93
2016-03-17,117.99
2016-03-18,118.74
2016-03-21,118.79
2016-03-22,119.38
2016-03-23,119.58
2016-03-24,118.42
2016-03-28,118.69
2016-03-29,118.97
2016-03-30,120.01
2016-03-31,118.5
2016-04-01,118.54
