date,PX
2015-07-01,119.28
2015-07-02,118.9
2015-07-06,117.86
2015-07-07,118.5
2015-07-08,116.09
2015-07-09,116.0
2015-07-10,117.37
2015-07-13,118.47
2015-07-14,119.27
2015-07-15,118.69
2015-07-16,118.21
2015-07-17,117.01
2015-07-20,116.71
2015-07-21,115.4
2015-07-22,115.15
2015-07-23,115.2
2015-07-24,112.98
2015-07-27,111.82
2015-07-28,115.38
2015-07-29,115.93
2015-07-30,114.27
2015-07-31,114.14
2015-08-03,113.63
2015-08-04,113.39
2015-08-05,113.39
2015-08-06,113.34
2015-08-07,113.15
2015-08-10,115.47
2015-08-11,113.98
2015-08-12,113.45
2015-08-13,113.67
2015-08-14,113.99
2015-08-17,114.0
2015-08-18,113.51
2015-08-19,112.42
2015-08-20,111.65
2015-08-21,108.61
2015-08-24,105.36
2015-08-25,103.0
2015-08-26,104.05
2015-08-27,105.19
2015-08-28,106.19
2015-08-31,105.75
2015-09-01,102.38
2015-09-02,102.95
2015-09-03,103.01
2015-09-04,101.44
2015-09-08,104.27
2015-09-09,104.3
2015-09-10,105.19
2015-09-11,104.77
2015-09-14,104.41
2015-09-15,105.7
2015-09-16,107.45
2015-09-17,107.05
2015-09-18,105.13
2015-09-21,105.25
2015-09-22,103.43
2015-09-23,100.64
2015-09-24,101.0
2015-09-25,100.92
2015-09-28,99.17
2015-09-29,100.55
2015-09-30,101.86
2015-10-01,101.41
2015-10-02,103.15
2015-10-05,106.34
2015-10-06,105.97
2015-10-07,107.24
2015-10-08,108.59
2015-10-09,108.65
2015-10-12,108.53
2015-10-13,108.37
2015-10-14,108.97
2015-10-15,109.49
2015-10-16,109.43
2015-10-19,109.13
2015-10-20,109.36
2015-10-21,107.88
2015-10-22,110.26
2015-10-23,111.75
2015-10-26,110.14
2015-10-27,109.27
2015-10-28,109.91
2015-10-29,112.75
2015-10-30,111.09
2015-11-02,112.38
2015-11-03,113.56
2015-11-04,113.02
2015-11-05,113.38
2015-11-06,113.58
2015-11-09,112.5
2015-11-10,111.6
2015-11-11,111.04
2015-11-12,110.16
2015-11-13,113.51
2015-11-16,115.98
2015-11-17,113.41
2015-11-18,115.58
2015-11-19,115.56
2015-11-20,115.05
2015-11-23,114.58
2015-11-24,114.03
2015-11-25,113.21
2015-11-27,113.91
2015-11-30,112.8
2015-12-01,112.03
2015-12-02,110.36
2015-12-03,109.06
2015-12-04,110.28
2015-12-07,109.56
2015-12-08,106.72
2015-12-09,107.06
2015-12-10,106.68
2015-12-11,105.3
2015-12-14,104.72
2015-12-15,105.81
2015-12-16,105.99
2015-12-17,102.92
2015-12-18,101.52
2015-12-21,102.12
2015-12-22,102.81
2015-12-23,104.74
2015-12-24,104.51
2015-12-28,103.78
2015-12-29,104.4
2015-12-30,103.18
2015-12-31,102.4
2016-01-04,101.67
2016-01-05,101.32
2016-01-06,100.3
2016-01-07,97.79
2016-01-08,97.85
2016-01-11,98.44
2016-01-12,99.89
2016-01-13,98.01
2016-01-14,99.79
2016-01-15,97.39
2016-01-19,98.18
2016-01-20,97.82
2016-01-21,97.96
2016-01-22,98.09
2016-01-25,96.13
2016-01-26,98.14
2016-01-27,98.1
2016-01-28,98.2
2016-01-29,100.0
2016-02-01,100.53
2016-02-02,98.15
2016-02-03,103.29
2016-02-04,105.53
2016-02-05,105.1
2016-02-08,101.93
2016-02-09,103.82
2016-02-10,103.37
2016-02-11,102.06
2016-02-12,103.83
2016-02-16,104.0
2016-02-17,104.5
2016-02-18,104.5
2016-02-19,103.31
2016-02-22,104.22
2016-02-23,102.22
2016-02-24,101.89
2016-02-25,102.61
2016-02-26,103.24
2016-02-29,101.79
2016-03-01,105.34
2016-03-02,104.14
2016-03-03,105.84
2016-03-04,108.79
2016-03-07,108.59
2016-03-08,108.14
2016-03-09,109.06
2016-03-10,110.66
2016-03-11,111.11
2016-03-14,109.9
2016-03-15,109.44
2016-03-16,110.13
2016-03-17,113.12
2016-03-18,112.88
2016-03-21,112.96
2016-03-22,112.58
2016-03-23,112.8
2016-03-24,111.74
2016-03-28,112.45
2016-03-29,112.46
2016-03-30,115.0
2016-03-31,114.45
2016-04-01,115.24
2016-04-04,114.71
2016-04-05,112.99
2016-04-06,113.28
2016-04-07,111.67
2016-04-08,112.3
2016-04-11,112.74
2016-04-12,114.06
2016-04-13,115.57
2016-04-14,115.53
2016-04-15,116.32
2016-04-18,116.12
2016-04-19,118.82
2016-04-20,119.29
2016-04-21,118.85
2016-04-22,119.62
2016-04-25,119.19
2016-04-26,119.42
2016-04-27,118.45
2016-04-28,118.26
2016-04-29,117.46
2016-05-02,117.4
2016-05-03,115.09
2016-05-04,113.94
2016-05-05,113.47
2016-05-06,114.3
2016-05-09,113.03
2016-05-10,114.02
2016-05-11,113.43
2016-05-12,113.6
2016-05-13,111.96
2016-05-16,112.95
2016-05-17,112.28
2016-05-18,110.78
2016-05-19,110.06
2016-05-20,110.08
2016-05-23,110.49
2016-05-24,110.77
2016-05-25,111.63
2016-05-26,110.57
2016-05-27,110.77
2016-05-31,109.86
2016-06-01,110.84
2016-06-02,110.57
2016-06-03,110.24
2016-06-06,111.65
2016-06-07,111.86
2016-06-08,113.67
2016-06-09,113.44
2016-06-10,113.73
2016-06-13,112.88
2016-06-14,112.45
2016-06-15,112.0
2016-06-16,112.12
2016-06-17,112.1
2016-06-20,112.62
2016-06-21,111.85
2016-06-22,112.86
2016-06-23,115.2
2016-06-24,110.29
2016-06-27,107.01
2016-06-28,108.48
2016-06-29,110.65
2016-06-30,112.39
2016-07-01,113.39
2016-07-05,111.48
2016-07-06,111.83
2016-07-07,111.84
2016-07-08,114.74
2016-07-11,114.36
2016-07-12,116.99
2016-07-13,117.55
2016-07-14,118.35
2016-07-15,118.99
2016-07-18,118.66
2016-07-19,118.18
2016-07-20,118.27
2016-07-21,117.68
2016-07-22,117.7
2016-07-25,117.74
2016-07-26,118.39
2016-07-27,118.34
2016-07-28,117.11
2016-07-29,116.54
2016-08-01,115.9
2016-08-02,116.05
2016-08-03,116.58
2016-08-04,116.67
2016-08-05,116.71
2016-08-08,116.81
2016-08-09,116.92
2016-08-10,116.49
2016-08-11,116.98
2016-08-12,116.77
2016-08-15,118.03
2016-08-16,121.27
2016-08-17,120.44
2016-08-18,121.89
2016-08-19,122.56
2016-08-22,122.43
2016-08-23,122.45
2016-08-24,122.09
2016-08-25,123.04
2016-08-26,121.82
2016-08-29,122.25
2016-08-30,122.52
2016-08-31,122.04
2016-09-01,122.85
2016-09-02,123.45
2016-09-06,122.16
2016-09-07,122.24
2016-09-08,120.57
2016-09-09,117.41
2016-09-12,118.53
2016-09-13,118.0
2016-09-14,116.84
2016-09-15,118.21
2016-09-16,117.68
2016-09-19,117.81
2016-09-20,117.61
2016-09-21,118.0
2016-09-22,118.37
2016-09-23,116.84
2016-09-26,116.43
2016-09-27,117.0
2016-09-28,118.35
2016-09-29,118.86
2016-09-30,120.83
2016-10-03,121.24
2016-10-04,120.36
2016-10-05,120.36
2016-10-06,120.85
2016-10-07,118.85
2016-10-10,118.77
2016-10-11,117.13
2016-10-12,117.31
2016-10-13,117.1
2016-10-14,117.18
2016-10-17,117.08
2016-10-18,118.49
2016-10-19,119.88
2016-10-20,119.77
2016-10-21,119.88
2016-10-24,119.56
2016-10-25,118.53
2016-10-26,118.57
2016-10-27,116.56
2016-10-28,117.44
2016-10-31,117.06
2016-11-01,115.98
2016-11-02,115.0
2016-11-03,114.84
2016-11-04,114.5
2016-11-07,117.48
2016-11-08,117.85
2016-11-09,118.68
2016-11-10,120.23
2016-11-11,117.85
2016-11-14,116.79
2016-11-15,117.08
2016-11-16,117.15
2016-11-17,116.29
2016-11-18,115.78
2016-11-21,116.74
2016-11-22,116.83
2016-11-23,118.71
2016-11-25,119.08
2016-11-28,118.69
2016-11-29,122.18
2016-11-30,120.3
2016-12-01,119.73
2016-12-02,119.58
2016-12-05,119.76
2016-12-06,119.02
2016-12-07,122.26
2016-12-08,122.96
2016-12-09,123.92
2016-12-12,123.48
2016-12-13,123.73
2016-12-14,122.58
2016-12-15,123.43
2016-12-16,122.49
2016-12-19,123.0
2016-12-20,118.39
2016-12-21,118.53
2016-12-22,117.19
2016-12-23,117.59
2016-12-27,118.55
2016-12-28,117.48
2016-12-29,117.41
2016-12-30,117.19
2017-01-03,116.9
2017-01-04,116.85
2017-01-05,115.67
2017-01-06,116.2
2017-01-09,116.55
2017-01-10,115.85
2017-01-11,116.92
2017-01-12,117.25
2017-01-13,117.08
2017-01-17,116.92
2017-01-18,116.6
2017-01-19,116.1
2017-01-20,117.39
2017-01-23,116.68
2017-01-24,117.69
2017-01-25,119.57
2017-01-26,119.5
2017-01-27,120.2
2017-01-30,119.3
2017-01-31,118.44
2017-02-01,117.95
2017-02-02,116.62
2017-02-03,117.47
2017-02-06,116.44
2017-02-07,116.3
2017-02-08,116.3
2017-02-09,115.76
2017-02-10,116.23
2017-02-13,117.44
2017-02-14,117.32
2017-02-15,117.59
2017-02-16,117.5
2017-02-17,117.42
2017-02-21,118.31
2017-02-22,117.79
2017-02-23,118.06
2017-02-24,118.11
2017-02-27,118.52
2017-02-28,118.71
2017-03-01,120.36
2017-03-02,118.78
2017-03-03,117.6
2017-03-06,117.73
2017-03-07,118.79
2017-03-08,118.57
2017-03-09,116.99
2017-03-10,116.95
2017-03-13,116.72
2017-03-14,116.65
2017-03-15,118.62
2017-03-16,117.12
2017-03-17,118.32
2017-03-20,118.24
2017-03-21,116.95
2017-03-22,117.07
2017-03-23,117.64
2017-03-24,116.41
2017-03-27,117.89
2017-03-28,118.78
2017-03-29,118.38
2017-03-30,118.6
2017-03-31,118.6
2017-04-03,118.0
2017-04-04,119.27
2017-04-05,118.13
2017-04-06,119.37
2017-04-07,118.85
2017-04-10,119.57
2017-04-11,119.18
2017-04-12,118.23
2017-04-13,117.47
2017-04-17,118.05
2017-04-18,118.32
2017-04-19,118.16
2017-04-20,119.73
2017-04-21,119.58
2017-04-24,123.01
2017-04-25,124.7
2017-04-26,125.11
2017-04-27,125.48
2017-04-28,124.98
2017-05-01,124.96
2017-05-02,125.57
2017-05-03,125.53
2017-05-04,126.32
2017-05-05,129.48
2017-05-08,129.09
2017-05-09,128.62
2017-05-10,129.17
2017-05-11,129.09
2017-05-12,129.72
2017-05-15,130.17
2017-05-16,131.03
2017-05-17,128.82
2017-05-18,128.37
2017-05-19,129.23
2017-05-22,129.82
2017-05-23,129.97
2017-05-24,132.27
2017-05-25,131.93
2017-05-26,131.97
2017-05-30,131.59
2017-05-31,132.29
2017-06-01,134.09
2017-06-02,136.62
2017-06-05,133.42
2017-06-06,133.29
2017-06-07,133.08
2017-06-08,132.98
2017-06-09,136.19
2017-06-12,134.97
2017-06-13,136.28
2017-06-14,135.19
2017-06-15,134.86
2017-06-16,136.0
2017-06-19,136.46
2017-06-20,134.76
2017-06-21,132.86
2017-06-22,132.47
2017-06-23,132.8
2017-06-26,132.88
2017-06-27,132.23
2017-06-28,133.64
2017-06-29,131.67
2017-06-30,132.55
2017-07-03,134.18
2017-07-05,132.66
2017-07-06,132.43
2017-07-07,133.06
2017-07-10,133.34
2017-07-11,132.96
2017-07-12,133.82
