ticker,status,n_rows,start_date,end_date,note
AABA,delisted,0,2015-07-01,2016-12-31,sem dados no Yahoo
ABC,delisted,0,2015-07-01,2023-06-30,sem dados no Yahoo
ABMD,delisted,0,2018-01-01,2022-06-30,sem dados no Yahoo
ADS,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
ADT,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
AGN,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
ALXN,delisted,0,2015-07-01,2021-06-30,sem dados no Yahoo
ANSS,delisted,0,2017-01-01,2025-06-30,sem dados no Yahoo
ANTM,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
APC,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
ARG,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
ARNC,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
ATVI,delisted,0,2015-07-01,2023-06-30,sem dados no Yahoo
BCR,delisted,0,2015-07-01,2017-06-30,sem dados no Yahoo
BF.B,delisted,0,2015-07-01,2025-12-31,sem dados no Yahoo
BHGE,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
BLL,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
BRCM,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
BRK.B,delisted,0,2015-07-01,2025-12-31,sem dados no Yahoo
BXLT,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
CA,delisted,0,2015-07-01,2018-06-30,sem dados no Yahoo
CAM,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
CBS,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
CCE,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
CDAY,delisted,0,2021-07-01,2023-12-31,sem dados no Yahoo
CELG,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
CERN,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
CHK,delisted,0,2015-07-01,2017-12-31,sem dados no Yahoo
CMA,delisted,0,2015-07-01,2023-12-31,sem dados no Yahoo
COG,delisted,0,2015-07-01,2021-06-30,sem dados no Yahoo
CPGX,delisted,0,2015-07-01,2016-06-30,sem dados no Yahoo
CTL,delisted,0,2015-07-01,2020-06-30,sem dados no Yahoo
CTLT,delisted,0,2020-07-01,2024-06-30,sem dados no Yahoo
CTXS,delisted,0,2015-07-01,2022-06-30,sem dados no Yahoo
CVC,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
CXO,delisted,0,2016-01-01,2020-12-31,sem dados no Yahoo
DFS,delisted,0,2015-07-01,2024-12-31,sem dados no Yahoo
DISCA,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
DISCK,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
DISH,delisted,0,2017-01-01,2022-12-31,sem dados no Yahoo
DNB,delisted,0,2015-07-01,2016-12-31,sem dados no Yahoo
DO,delisted,0,2015-07-01,2016-06-30,sem dados no Yahoo
DRE,delisted,0,2017-07-01,2022-06-30,sem dados no Yahoo
DWDP,delisted,0,2017-07-01,2018-12-31,sem dados no Yahoo
EMC,delisted,0,2015-07-01,2016-06-30,sem dados no Yahoo
ENDP,delisted,0,2015-07-01,2016-12-31,sem dados no Yahoo
