ticker,status,n_rows,price_from,price_until
ARNC,deletado_ticker_reciclado,0,—,—
DISCA,deletado_ticker_reciclado,0,—,—
DNB,deletado_ticker_reciclado,0,—,—
DO,deletado_ticker_reciclado,0,—,—
FTR,deletado_ticker_reciclado,0,—,—
HCP,deletado_ticker_reciclado,0,—,—
MON,deletado_ticker_reciclado,0,—,—
CA,deletado_ticker_reciclado,0,—,—
EMC,deletado_ticker_reciclado,0,—,—
FB,deletado_ticker_reciclado,0,—,—
LB,deletado_ticker_reciclado,0,—,—
SE,deletado_ticker_reciclado,0,—,—
STI,deletado_ticker_reciclado,0,—,—
TE,deletado_ticker_reciclado,0,—,—
VIAC,deletado_ticker_reciclado,0,—,—
APC,irrecuperavel,0,—,—
CBS,irrecuperavel,0,—,—
ENDP,irrecuperavel,0,—,—
MNK,irrecuperavel,0,—,—
ANTM,irrecuperavel,0,—,—
BLL,irrecuperavel,0,—,—
CDAY,irrecuperavel,0,—,—
FBHS,irrecuperavel,0,—,—
FRC,irrecuperavel,0,—,—
GPS,irrecuperavel,0,—,—
MMC,irrecuperavel,0,—,—
PEAK,irrecuperavel,0,—,—
PKI,irrecuperavel,0,—,—
RE,irrecuperavel,0,—,—
TMK,irrecuperavel,0,—,—
WRK,irrecuperavel,0,—,—
KORS,ok_tiingo,631,2015-07-01,2017-12-29
FOX,parcial_sem_21CF,1711,2019-03-13,2025-12-30
FOXA,parcial_sem_21CF,1712,2019-03-12,2025-12-30
IR,parcial_sem_2016,2171,2017-05-12,2025-12-30
BHGE,lacuna_legitima,500,2017-07-05,2019-06-28
DOW,lacuna_legitima,1706,2019-03-20,2025-12-30
