Date,DO
2016-01-04,21.85
2016-01-05,20.8
2016-01-06,18.98
2016-01-07,18.41
2016-01-08,18.33
2016-01-11,18.17
2016-01-12,17.94
2016-01-13,17.51
2016-01-14,18.17
2016-01-15,16.91
2016-01-19,16.14
2016-01-20,15.55
2016-01-21,16.08
2016-01-22,16.53
2016-01-25,15.9
2016-01-26,16.98
2016-01-27,17.05
2016-01-28,17.86
2016-01-29,18.59
2016-02-01,18.36
2016-02-02,17.42
2016-02-03,17.9
2016-02-04,19.02
2016-02-05,18.85
2016-02-08,19.14
2016-02-09,17.37
2016-02-10,16.68
2016-02-11,17.23
2016-02-12,16.92
2016-02-16,17.35
2016-02-17,18.7
2016-02-18,19.05
2016-02-19,19.62
2016-02-22,20.62
2016-02-23,19.76
2016-02-24,19.39
2016-02-25,19.26
2016-02-26,20.08
2016-02-29,20.01
2016-03-01,20.62
2016-03-02,21.17
2016-03-03,22.74
2016-03-04,23.71
2016-03-07,23.08
2016-03-08,21.64
2016-03-09,21.33
2016-03-10,21.83
2016-03-11,22.79
2016-03-14,22.13
2016-03-15,22.25
2016-03-16,22.99
2016-03-17,24.09
2016-03-18,23.62
2016-03-21,23.3
2016-03-22,23.15
2016-03-23,21.9
2016-03-24,21.96
2016-03-28,22.6
2016-03-29,21.46
2016-03-30,21.38
2016-03-31,21.73
2016-04-01,20.97
2016-04-04,20.99
2016-04-05,20.96
2016-04-06,21.02
2016-04-07,20.28
2016-04-08,21.13
2016-04-11,21.26
2016-04-12,22.25
2016-04-13,22.55
2016-04-14,22.27
2016-04-15,22.13
2016-04-18,22.35
2016-04-19,23.76
2016-04-20,23.88
2016-04-21,23.2
2016-04-22,23.9
2016-04-25,23.14
2016-04-26,23.65
2016-04-27,24.63
2016-04-28,24.29
2016-04-29,24.26
2016-05-02,24.54
2016-05-03,23.9
2016-05-04,23.61
2016-05-05,23.67
2016-05-06,24.8
2016-05-09,23.2
2016-05-10,23.6
2016-05-11,23.98
2016-05-12,24.18
2016-05-13,23.5
2016-05-16,23.88
2016-05-17,24.39
2016-05-18,23.55
2016-05-19,23.57
2016-05-20,24.18
2016-05-23,23.75
2016-05-24,24.19
2016-05-25,25.45
2016-05-26,25.3
2016-05-27,25.12
2016-05-31,25.82
2016-06-01,25.31
2016-06-02,24.3
2016-06-03,23.88
2016-06-06,25.58
2016-06-07,26.04
2016-06-08,25.59
2016-06-09,25.48
2016-06-10,24.32
2016-06-13,24.28
2016-06-14,24.68
2016-06-15,24.56
2016-06-16,23.84
2016-06-17,24.75
2016-06-20,24.54
2016-06-21,25.2
2016-06-22,25.52
2016-06-23,25.86
2016-06-24,24.6
2016-06-27,23.43
2016-06-28,23.98
2016-06-29,24.27
2016-06-30,24.33
