Date,FBHS
2015-07-01,39.29
2015-07-02,39.33
2015-07-06,38.6
2015-07-07,38.88
2015-07-08,38.3
2015-07-09,38.23
2015-07-10,38.49
2015-07-13,39.21
2015-07-14,39.46
2015-07-15,38.67
2015-07-16,38.31
2015-07-17,37.85
2015-07-20,38.080002
2015-07-21,37.71
2015-07-22,37.76
2015-07-23,40.23
2015-07-24,39.82
2015-07-27,39.0099983
2015-07-28,39.87
2015-07-29,40.74
2015-07-30,41.0099983
2015-07-31,40.81
2015-08-03,40.55
2015-08-04,40.8
2015-08-05,40.65
2015-08-06,40.48
2015-08-07,41.2
2015-08-10,41.86
2015-08-11,42.47
2015-08-12,42.61
2015-08-13,43.049999
2015-08-14,43.5
2015-08-17,43.94
2015-08-18,44.48
2015-08-19,44.87
2015-08-20,43.29
2015-08-21,42.46
2015-08-24,40.22
2015-08-25,39.59
2015-08-26,40.47
2015-08-27,41.38
2015-08-28,41.31
2015-08-31,40.89
2015-09-01,39.66
2015-09-02,41.35
2015-09-03,41.82
2015-09-04,41.7
2015-09-08,43.37
2015-09-09,43.31
2015-09-10,43.49
2015-09-11,44.25
2015-09-14,44.41
2015-09-15,44.47
2015-09-16,44.35
2015-09-17,44.44
2015-09-18,43.89
2015-09-21,43.64
2015-09-22,43.049999
2015-09-23,42.81
2015-09-24,42.17
2015-09-25,42.14
2015-09-28,41.09
2015-09-29,39.95
2015-09-30,40.57
2015-10-01,41.040001
2015-10-02,41.22
2015-10-05,41.79
2015-10-06,41.57
2015-10-07,42.41
2015-10-08,42.98
2015-10-09,43.26
2015-10-12,43.45
2015-10-13,41.74
2015-10-14,40.71
2015-10-15,41.59
2015-10-16,41.74
2015-10-19,41.53
2015-10-20,42.0
2015-10-21,42.11
2015-10-22,44.47
2015-10-23,44.25
2015-10-26,44.47
2015-10-27,43.79
2015-10-28,44.31
2015-10-29,44.46
2015-10-30,44.72
2015-11-02,45.55
2015-11-03,44.88
2015-11-04,44.67
2015-11-05,45.17
2015-11-06,44.41
2015-11-09,44.44
2015-11-10,44.7
2015-11-11,45.13
2015-11-12,44.62
2015-11-13,44.02
2015-11-16,44.64
2015-11-17,44.99
2015-11-18,46.26
2015-11-19,46.61
2015-11-20,46.67
2015-11-23,47.27
2015-11-24,47.25
2015-11-25,47.52
2015-11-27,47.52
2015-11-30,46.98
2015-12-01,47.74
2015-12-02,48.2
2015-12-03,47.02
2015-12-04,47.8
