ticker,fonte,n_dias,ratio_medio,ratio_min,ratio_max,cv_pct,status
VTR,cache,251,0.767319,0.644745,0.840711,12.3852,ok
DD,cache,251,0.362303,0.28736,0.435361,10.5709,ok
BBBY,cache,251,0.302012,0.230651,0.367141,9.7678,ok
JCI,cache,251,0.615712,0.559157,0.703172,5.4556,ok
BBT,cache,251,0.54033,0.50355,0.586861,4.7439,ok
HBI,cache,251,0.764194,0.709139,0.775008,3.1894,ok
MRO,cache,251,0.878396,0.804634,0.968745,2.8879,ok
SPGI,cache,251,0.920148,0.867407,0.974586,1.4645,ok
TGNA,cache,251,0.509856,0.504371,0.515655,1.1082,ok
LB,cache,251,0.913114,0.910522,0.930704,0.7246,ok
NBL,cache,251,1.008811,1.0,1.017759,0.5532,ok
BAX,cache,251,0.855194,0.850801,0.859724,0.5193,ok
T,cache,251,0.365091,0.361011,0.36766,0.5139,ok
LYB,cache,251,0.562782,0.561047,0.5654,0.3793,ok
NSC,cache,251,0.801081,0.79799,0.802528,0.2644,ok
PPL,cache,251,0.638056,0.637071,0.63945,0.182,ok
LDOS,cache,251,0.621559,0.616916,0.621693,0.1268,ok
HOT,cache,201,0.989776,0.984796,0.990037,0.1154,ok
REGN,cache,251,0.993342,0.993289,1.006461,0.0837,ok
DRI,cache,251,0.743668,0.74349,0.744761,0.0592,ok
FTR,cache,251,0.872281,0.871647,0.873498,0.0535,ok
VRTX,cache,251,0.999978,0.994231,1.00004,0.0364,ok
ADI,cache,251,0.817953,0.81759,0.818201,0.0325,ok
SPLS,cache,251,0.923549,0.922248,0.923829,0.0242,ok
CTL,cache,251,0.538383,0.538193,0.538593,0.0209,ok
AAPL,cache,251,0.225041,0.224325,0.225053,0.0202,ok
DOW,cache,251,0.945146,0.944967,0.945428,0.02,ok
AEP,cache,251,0.692176,0.691864,0.692423,0.0198,ok
SE,cache,251,0.942985,0.942736,0.943224,0.0192,ok
GPS,cache,251,0.935754,0.935452,0.935939,0.0186,ok
JWN,cache,251,0.751569,0.751484,0.751829,0.0182,ok
SYMC,cache,251,0.391666,0.391561,0.391763,0.0176,ok
VNO,cache,251,0.541898,0.541487,0.541915,0.0155,ok
STI,cache,251,0.960954,0.960753,0.961086,0.0146,ok
RAI,cache,251,0.95125,0.950998,0.951392,0.0144,ok
HCP,cache,251,0.896164,0.896016,0.896393,0.0133,ok
AEE,cache,251,0.733743,0.733606,0.733879,0.0131,ok
GAS,cache,251,0.984101,0.983925,0.984244,0.0129,ok
CA,cache,251,0.94523,0.945104,0.945415,0.0127,ok
PBCT,cache,251,0.767939,0.767477,0.768009,0.0123,ok
FB,cache,251,0.999992,0.998109,1.0,0.0119,ok
AGN,cache,251,0.944154,0.943859,0.944193,0.0107,ok
HPQ,cache,251,0.707013,0.706847,0.707048,0.0103,ok
AMGN,cache,251,0.738046,0.737308,0.738181,0.0102,ok
TE,cache,251,0.983438,0.983236,0.983544,0.01,ok
ABBV,cache,251,0.655079,0.654911,0.655186,0.0099,ok
VIAB,cache,251,0.952124,0.951646,0.952492,0.0098,ok
DO,cache,251,0.999967,0.999808,1.000086,0.0097,ok
APC,cache,251,0.993089,0.993005,0.993384,0.0092,ok
MON,cache,251,0.964962,0.964857,0.965093,0.0092,ok
DNB,cache,251,0.978991,0.978918,0.97912,0.0089,ok
MAS,cache,251,0.859854,0.859775,0.859931,0.0089,ok
NWSA,cache,251,0.881304,0.88102,0.881626,0.0088,ok
HBAN,cache,251,0.656709,0.656375,0.657015,0.0087,ok
ALL,cache,251,0.798923,0.798831,0.799,0.0083,ok
