Date,TE
2016-01-04,26.81
2016-01-05,26.99
2016-01-06,26.9
2016-01-07,26.9
2016-01-08,26.68
2016-01-11,26.92
2016-01-12,26.97
2016-01-13,26.86
2016-01-14,26.92
2016-01-15,26.91
2016-01-19,27.09
2016-01-20,26.92
2016-01-21,26.99
2016-01-22,27.04
2016-01-25,26.98
2016-01-26,27.05
2016-01-27,27.22
2016-01-28,27.31
2016-01-29,27.12
2016-02-01,27.39
2016-02-02,27.31
2016-02-03,27.34
2016-02-04,27.37
2016-02-05,27.28
2016-02-08,27.18
2016-02-09,27.36
2016-02-10,27.13
2016-02-11,27.09
2016-02-12,27.18
2016-02-16,27.19
2016-02-17,27.24
2016-02-18,27.43
2016-02-19,27.45
2016-02-22,27.54
2016-02-23,27.44
2016-02-24,27.49
2016-02-25,27.48
2016-02-26,27.46
2016-02-29,27.47
2016-03-01,27.49
2016-03-02,27.47
2016-03-03,27.49
2016-03-04,27.5
2016-03-07,27.52
2016-03-08,27.46
2016-03-09,27.46
2016-03-10,27.46
2016-03-11,27.43
2016-03-14,27.48
2016-03-15,27.48
2016-03-16,27.54
2016-03-17,27.55
2016-03-18,27.46
2016-03-21,27.49
2016-03-22,27.44
2016-03-23,27.49
2016-03-24,27.51
2016-03-28,27.51
2016-03-29,27.52
2016-03-30,27.53
2016-03-31,27.53
2016-04-01,27.56
2016-04-04,27.49
2016-04-05,27.43
2016-04-06,27.49
2016-04-07,27.47
2016-04-08,27.45
2016-04-11,27.45
2016-04-12,27.65
2016-04-13,27.68
2016-04-14,27.72
2016-04-15,27.69
2016-04-18,27.75
2016-04-19,27.78
2016-04-20,27.74
2016-04-21,27.69
2016-04-22,27.72
2016-04-25,27.72
2016-04-26,27.76
2016-04-27,27.76
2016-04-28,27.76
2016-04-29,27.77
2016-05-02,27.73
2016-05-03,27.73
2016-05-04,27.75
2016-05-05,27.76
2016-05-06,27.74
2016-05-09,27.77
2016-05-10,27.76
2016-05-11,27.75
2016-05-12,27.53
2016-05-13,27.52
2016-05-16,27.54
2016-05-17,27.5
2016-05-18,27.5
2016-05-19,27.52
2016-05-20,27.49
2016-05-23,27.5
2016-05-24,27.54
2016-05-25,27.52
2016-05-26,27.52
2016-05-27,27.53
2016-05-31,27.54
2016-06-01,27.6
2016-06-02,27.64
2016-06-03,27.59
2016-06-06,27.61
2016-06-07,27.64
2016-06-08,27.67
2016-06-09,27.69
2016-06-10,27.66
2016-06-13,27.63
2016-06-14,27.65
2016-06-15,27.66
2016-06-16,27.68
2016-06-17,27.63
2016-06-20,27.68
2016-06-21,27.6
2016-06-22,27.69
2016-06-23,27.67
2016-06-24,27.66
2016-06-27,27.65
2016-06-28,27.66
2016-06-29,27.65
2016-06-30,27.64
