date,AIV
2015-01-02,2.0272587504
2015-01-05,2.0449150024
2015-01-06,2.0615011785
2015-01-07,2.0823676581
2015-01-08,2.1048392516
2015-01-09,2.1160750483
2015-01-12,2.1567379316
2015-01-13,2.0791574305
2015-01-14,2.1085845171
2015-01-15,2.1107246689
2015-01-16,2.1524576281
2015-01-20,2.1219604656
2015-01-21,2.1342663382
2015-01-22,2.1669036525
2015-01-23,2.1695788422
2015-01-26,2.18830517
2015-01-27,2.1979358529
2015-01-28,2.18830517
2015-01-29,2.1824197527
2015-01-30,2.1326612244
2015-02-02,2.1331962623
2015-02-03,2.1433619832
2015-02-04,2.1465722108
2015-02-05,2.1685087663
2015-02-06,2.0893231513
2015-02-09,2.0588259888
2015-02-10,2.0508004197
2015-02-11,2.0491953059
2015-02-12,2.1047100657
2015-02-13,2.0777611532
2015-02-17,2.0648256752
2015-02-18,2.0906966312
2015-02-19,2.0341039149
2015-02-20,2.0610528274
2015-02-23,2.0950084572
2015-02-24,2.0319480019
2015-02-25,2.0195515022
2015-02-26,1.9996093069
2015-02-27,2.0308700454
2015-03-02,2.0448834799
2015-03-03,2.0314090237
2015-03-04,2.0157786544
2015-03-05,2.0346428932
2015-03-06,1.9866738289
2015-03-09,1.9958364592
2015-03-10,2.0281751542
2015-03-11,2.0486563277
2015-03-12,2.0750662619
2015-03-13,2.0685985229
2015-03-16,2.1106388264
2015-03-17,2.1025541527
2015-03-18,2.1580689124
2015-03-19,2.1586078906
2015-03-20,2.2200514111
2015-03-23,2.2017261506
2015-03-24,2.1736992816
2015-03-25,2.1262691956
2015-03-26,2.1171065654
2015-03-27,2.1224963479
2015-03-30,2.1489062821
2015-03-31,2.1214183914
2015-04-01,2.0987813049
2015-04-02,2.0998592614
2015-04-06,2.1165675872
2015-04-07,2.0901576529
2015-04-08,2.0944694789
2015-04-09,2.0411106322
2015-04-10,2.0389547192
2015-04-13,2.0341039149
2015-04-14,2.0508122407
2015-04-15,2.0141617197
2015-04-16,2.0292531107
2015-04-17,2.0190125239
2015-04-20,2.0265582194
2015-04-21,2.0443445017
2015-04-22,2.0820729792
2015-04-23,2.0826119574
2015-04-24,2.0847678704
2015-04-27,2.1138726959
2015-04-28,2.1003982397
