date,AMAT
2015-01-02,21.7412827793
2015-01-05,21.0444467928
2015-01-06,20.2517958581
2015-01-07,20.4390705295
2015-01-08,21.0923542669
2015-01-09,21.1141303915
2015-01-12,20.6089243012
2015-01-13,20.3214794568
2015-01-14,20.051455512
2015-01-15,20.3171242319
2015-01-16,20.4434257544
2015-01-20,20.5827929517
2015-01-21,21.1838139901
2015-01-22,21.4451274851
2015-01-23,21.0008945436
2015-01-26,21.1141303915
2015-01-27,20.5305302527
2015-01-28,20.360676481
2015-01-29,20.5740825019
2015-01-30,19.8946674151
2015-02-02,19.9077330898
2015-02-03,20.4260048548
2015-02-04,20.5740825019
2015-02-05,20.8702377962
2015-02-06,21.1097751665
2015-02-09,20.4782675538
2015-02-10,21.1489721908
2015-02-11,21.1315512911
2015-02-12,21.0270258931
2015-02-13,21.0967094918
2015-02-17,21.1054560546
2015-02-18,21.0792163662
2015-02-19,21.8051810792
2015-02-20,21.9801123354
2015-02-23,21.7876879536
2015-02-24,22.1812832799
2015-02-25,21.9538726469
2015-02-26,21.7876879536
2015-02-27,21.9101398329
2015-03-02,22.4174404757
2015-03-03,21.4159590343
2015-03-04,21.2279079339
2015-03-05,21.1491888686
2015-03-06,20.9130316728
2015-03-09,21.0704698034
2015-03-10,20.5631691605
2015-03-11,20.5150630651
2015-03-12,20.7905797935
2015-03-13,21.2016682455
2015-03-16,21.4903048181
2015-03-17,21.1710552757
2015-03-18,21.3110002806
2015-03-19,21.0617232406
2015-03-20,21.0967094918
2015-03-23,20.9655110497
2015-03-24,20.8999118286
2015-03-25,19.7890983521
2015-03-26,19.5923006889
2015-03-27,19.9684028896
2015-03-30,19.9159235128
2015-03-31,19.7322456938
2015-04-01,19.5835541261
2015-04-02,19.4785953724
2015-04-06,19.3823831815
2015-04-07,19.2293183324
2015-04-08,19.5748075633
2015-04-09,19.6885128798
2015-04-10,19.679766317
2015-04-13,19.5310747492
2015-04-14,19.4129961513
2015-04-15,19.723499131
2015-04-16,19.1374794229
2015-04-17,18.7963634734
2015-04-20,19.0325206692
2015-04-21,19.496088498
2015-04-22,19.5135816236
2015-04-23,19.3911297443
2015-04-24,19.0675069204
2015-04-27,17.4668859267
2015-04-28,17.5281118663
2015-04-29,17.5018721779
2015-04-30,17.3094477961
2015-05-01,17.4756324895
2015-05-04,17.3881668614
2015-05-05,16.9333455954
2015-05-06,17.0076913793
2015-05-07,17.1082768516
2015-05-08,17.2219821681
2015-05-11,17.4231531126
2015-05-12,17.3969134242
2015-05-13,17.4318996754
2015-05-14,17.3706737358
2015-05-15,17.6680568712
2015-05-18,17.6593103084
2015-05-19,17.5718446804
2015-05-20,17.5015221404
2015-05-21,17.7124897603
2015-05-22,17.7036994428
2015-05-26,17.5718446804
2015-05-27,17.8795057928
2015-05-28,17.8970864278
2015-05-29,17.6949091253
2015-06-01,17.8531348403
2015-06-02,17.9102719041
2015-06-03,17.8970864278
2015-06-04,17.6333769028
2015-06-05,17.7124897603
2015-06-08,17.4663608704
2015-06-09,17.5015221404
2015-06-10,17.6157962678
2015-06-11,17.3872480129
2015-06-12,17.2466029329
2015-06-15,17.3257157904
2015-06-16,17.4224092829
2015-06-17,17.1762803929
2015-06-18,17.4399899179
2015-06-19,17.3345061079
2015-06-22,17.4575705529
2015-06-23,17.5454737279
2015-06-24,17.6685381728
2015-06-25,17.6333769028
2015-06-26,17.3872480129
2015-06-29,16.8861999154
2015-06-30,16.8949902329
2015-07-01,17.1499094404
2015-07-02,17.2378126154
2015-07-06,16.9389418204
2015-07-07,16.8510386454
2015-07-08,16.3060389605
2015-07-09,16.279668008
2015-07-10,16.4994259455
2015-07-13,16.9741030904
2015-07-14,16.6049097555
2015-07-15,16.3236195955
2015-07-16,15.7082973706
2015-07-17,15.6203941956
2015-07-20,15.6203941956
2015-07-21,15.6731361006
2015-07-22,15.3742653056
2015-07-23,15.5764426081
2015-07-24,15.2687814956
2015-07-27,15.2775718131
2015-07-28,15.4885394331
2015-07-29,15.4270072106
2015-07-30,15.4445878456
2015-07-31,15.2599911781
2015-08-03,15.0841848282
2015-08-04,14.7941043507
2015-08-05,14.9699107007
2015-08-06,14.8116849857
2015-08-07,14.9259591132
2015-08-10,15.4709587981
2015-08-11,15.2424105431
2015-08-12,15.2072492731
2015-08-13,14.9874913357
2015-08-14,14.6270883182
2015-08-17,14.9699107007
2015-08-18,14.6182980007
2015-08-19,14.5387065415
2015-08-20,14.1319057502
2015-08-21,13.6897309771
2015-08-24,13.3536781495
2015-08-25,13.1237472674
2015-08-26,13.477487086
2015-08-27,14.0965317684
2015-08-28,14.1407492457
2015-08-31,14.2247624526
2015-09-01,13.6985744725
2015-09-02,13.8666008863
2015-09-03,13.93734885
2015-09-04,13.6101395179
2015-09-08,13.9108183637
2015-09-09,13.6720439861
2015-09-10,13.7604789408
2015-09-11,13.707417968
2015-09-14,13.7958529226
2015-09-15,14.0788447775
2015-09-16,14.299932164
2015-09-17,14.1672797321
2015-09-18,14.0876882729
2015-09-21,13.8312269045
2015-09-22,13.3536781495
2015-09-23,12.915925124
2015-09-24,12.9910948355
2015-09-25,12.9115033763
2015-09-28,12.7081029807
2015-09-29,12.867285899
2015-09-30,12.98225134
2015-10-01,12.9734078446
2015-10-02,13.2121822221
2015-10-05,13.3536781495
2015-10-06,13.477487086
2015-10-07,13.6101395179
2015-10-08,13.8577573909
2015-10-09,13.8400704
2015-10-12,13.7958529226
2015-10-13,13.3890521313
2015-10-14,13.6543569952
2015-10-15,13.9019748682
2015-10-16,13.9992533183
2015-10-19,13.9771445796
2015-10-20,14.317619155
2015-10-21,14.2114972094
2015-10-22,14.3353061459
2015-10-23,14.5387065415
2015-10-26,14.4414280914
2015-10-27,14.3883671187
2015-10-28,14.6271414962
2015-10-29,14.8040114054
2015-10-30,14.8305418918
2015-11-02,14.9366638374
2015-11-03,15.0339422875
2015-11-04,14.9189768465
2015-11-05,14.8659158737
2015-11-06,15.0781597648
2015-11-09,14.8659158737
2015-11-10,14.8216983964
2015-11-11,14.8482288828
2015-11-12,14.6182980007
2015-11-13,15.2461861786
2015-11-16,15.6883609518
2015-11-17,15.8431221224
2015-11-18,16.1232559124
2015-11-19,16.1855078657
2015-11-20,16.1677215933
2015-11-23,16.1232559124
2015-11-24,16.3455843171
2015-11-25,16.4078362704
2015-11-27,16.5590195857
2015-11-30,16.6924166285
2015-12-01,17.0570352123
2015-12-02,17.0125695313
2015-12-03,16.6835234923
2015-12-04,16.9236381694
2015-12-07,16.8169205352
2015-12-08,16.8524930799
2015-12-09,16.9236381694
2015-12-10,16.6746303561
2015-12-11,16.2922255
2015-12-14,16.0521108228
2015-12-15,16.4167294066
2015-12-16,16.4523019514
2015-12-17,16.061003959
2015-12-18,16.0965765038
2015-12-21,16.4700882238
2015-12-22,16.6790769242
2015-12-23,16.9769969866
2015-12-24,16.994783259
2015-12-28,16.8969587609
2015-12-29,17.1281803018
2015-12-30,16.8613862161
2015-12-31,16.6034852666
