date,AMZN
2015-01-02,15.426
2015-01-05,15.1095
2015-01-06,14.7645
2015-01-07,14.921
2015-01-08,15.023
2015-01-09,14.8465
2015-01-12,14.5705
2015-01-13,14.737
2015-01-14,14.6635
2015-01-15,14.3475
2015-01-16,14.537
2015-01-20,14.472
2015-01-21,14.8625
2015-01-22,15.516
2015-01-23,15.6195
2015-01-26,15.483
2015-01-27,15.3375
2015-01-28,15.1955
2015-01-29,15.589
2015-01-30,17.7265
2015-02-02,18.2235
2015-02-03,18.1775
2015-02-04,18.2375
2015-02-05,18.6945
2015-02-06,18.714
2015-02-09,18.528
2015-02-10,18.64975
2015-02-11,18.757
2015-02-12,18.8585
2015-02-13,19.0915
2015-02-17,18.7715
2015-02-18,18.6685
2015-02-19,18.94975
2015-02-20,19.183
2015-02-23,19.007
2015-02-24,18.9295
2015-02-25,19.2685
2015-02-26,19.24
2015-02-27,19.008
2015-03-02,19.28275
2015-03-03,19.2305
2015-03-04,19.136
2015-03-05,19.3915
2015-03-06,19.0045
2015-03-09,18.928
2015-03-10,18.4755
2015-03-11,18.3185
2015-03-12,18.712
2015-03-13,18.529
2015-03-16,18.6675
2015-03-17,18.596
2015-03-18,18.75675
2015-03-19,18.662
2015-03-20,18.9245
2015-03-23,18.7555
2015-03-24,18.7045
2015-03-25,18.548
2015-03-26,18.3675
2015-03-27,18.528
2015-03-30,18.7295
2015-03-31,18.605
2015-04-01,18.51275
2015-04-02,18.6125
2015-04-06,18.852
2015-04-07,18.7205
2015-04-08,19.06
2015-04-09,19.177
2015-04-10,19.1325
2015-04-13,19.118
2015-04-14,19.2555
2015-04-15,19.1725
2015-04-16,19.302
2015-04-17,18.778
2015-04-20,19.4755
2015-04-21,19.559
2015-04-22,19.49
2015-04-23,19.4995
2015-04-24,22.255
2015-04-27,21.928
2015-04-28,21.4655
2015-04-29,21.4685
2015-04-30,21.089
2015-05-01,21.1435
2015-05-04,21.152
2015-05-05,21.0595
2015-05-06,20.955
2015-05-07,21.344
2015-05-08,21.6845
2015-05-11,21.6425
2015-05-12,21.551
2015-05-13,21.3435
2015-05-14,21.614
2015-05-15,21.3
2015-05-18,21.262
2015-05-19,21.0855
2015-05-20,21.193
2015-05-21,21.5815
2015-05-22,21.3815
2015-05-26,21.2735
2015-05-27,21.571
2015-05-28,21.3285
2015-05-29,21.4615
2015-06-01,21.546
2015-06-02,21.5495
2015-06-03,21.8295
2015-06-04,21.539
2015-06-05,21.3475
2015-06-08,21.175
2015-06-09,21.274
2015-06-10,21.5385
2015-06-11,21.6485
2015-06-12,21.496
2015-06-15,21.1835
2015-06-16,21.363
2015-06-17,21.3905
2015-06-18,21.9695
2015-06-19,21.746
2015-06-22,21.8145
2015-06-23,22.2995
2015-06-24,22.042
2015-06-25,22.005
2015-06-26,21.905
2015-06-29,21.493
2015-06-30,21.7045
2015-07-01,21.8695
2015-07-02,21.8855
2015-07-06,21.802
2015-07-07,21.836
2015-07-08,21.485
2015-07-09,21.7195
2015-07-10,22.1755
2015-07-13,22.7785
2015-07-14,23.2785
2015-07-15,23.0595
2015-07-16,23.774
2015-07-17,24.1505
2015-07-20,24.405
2015-07-21,24.4
2015-07-22,24.4135
2015-07-23,24.109
2015-07-24,26.471
