date,APA
2015-01-02,48.19516114
2015-01-05,45.2353455099
2015-01-06,44.7445597549
2015-01-07,44.2462234498
2015-01-08,45.9601983172
2015-01-09,45.8242884158
2015-01-12,44.1405157487
2015-01-13,44.1405157487
2015-01-14,44.9484246069
2015-01-15,45.3033004606
2015-01-16,47.0021742278
2015-01-20,45.6128730137
2015-01-21,47.2505692522
2015-01-22,48.3423667446
2015-01-23,47.6751571659
2015-01-26,48.8806835637
2015-01-27,48.9716666881
2015-01-28,46.3407380086
2015-01-29,46.4241392059
2015-01-30,47.440117428
2015-02-02,50.215102721
2015-02-03,51.6025953676
2015-02-04,51.0339508403
2015-02-05,51.8376351055
2015-02-06,51.8073073974
2015-02-09,50.965713497
2015-02-10,50.2302665751
2015-02-11,49.0929775206
2015-02-12,48.964084761
2015-02-13,50.8368207375
2015-02-17,50.6396906347
2015-02-18,49.8511702236
2015-02-19,50.5183798022
2015-02-20,50.207520794
2015-02-23,50.207520794
2015-02-24,50.7306737591
2015-02-25,51.4282110459
2015-02-26,49.8435882966
2015-02-27,49.9194075669
2015-03-02,49.8814979317
2015-03-03,50.5866171455
2015-03-04,50.4425605319
2015-03-05,49.6085485586
2015-03-06,47.8647053417
2015-03-09,46.5606138925
2015-03-10,45.6052910867
2015-03-11,46.3710657167
2015-03-12,45.6204549407
2015-03-13,45.0063188513
2015-03-16,45.3626694217
2015-03-17,44.8016068215
2015-03-18,46.6288512357
2015-03-19,45.4005790569
2015-03-20,45.1503754649
2015-03-23,44.4907478132
2015-03-24,44.7561152593
2015-03-25,45.3626694217
2015-03-26,45.3475055676
2015-03-27,45.0442284864
2015-03-30,46.1208621247
2015-03-31,45.7417657732
2015-04-01,45.9692235841
2015-04-02,46.5833596736
2015-04-06,49.1612148638
2015-04-07,49.6161304856
2015-04-08,49.4720738721
2015-04-09,50.3970689698
2015-04-10,51.4357929729
2015-04-13,51.1855893809
2015-04-14,52.9294325978
2015-04-15,54.1349589956
2015-04-16,53.6876253009
2015-04-17,53.3616024386
2015-04-20,53.7710264982
2015-04-21,52.0210143156
2015-04-22,51.5873156442
2015-04-23,52.0057968183
2015-04-24,50.4612208485
2015-04-27,50.7655707933
2015-04-28,50.8188320336
2015-04-29,52.1655805394
2015-04-30,52.0438405614
2015-05-01,52.1047105504
2015-05-04,52.1579717907
2015-05-05,51.6938381249
2015-05-06,51.2373132077
2015-05-07,49.5177360196
2015-05-08,49.8677384561
2015-05-11,48.0340300386
2015-05-12,48.4220762183
