date,APH
2015-01-02,11.9997430557
2015-01-05,11.7805083764
2015-01-06,11.6306234426
2015-01-07,11.8297243248
2015-01-08,12.0601444469
2015-01-09,11.9907947014
2015-01-12,11.8453839448
2015-01-13,11.818538882
2015-01-14,11.7335295166
2015-01-15,11.6172009113
2015-01-16,11.7268182509
2015-01-20,11.7111586309
2015-01-21,12.064618624
2015-01-22,12.2502969748
2015-01-23,12.2838533032
2015-01-26,12.2570082405
2015-01-27,12.151865078
2015-01-28,12.0735669783
2015-01-29,12.2950387461
2015-01-30,12.0154026756
2015-02-02,12.1339683695
2015-02-03,12.2100293806
2015-02-04,12.2077922921
2015-02-05,12.3576772258
2015-02-06,12.3151725431
2015-02-09,12.259245329
2015-02-10,12.469531654
2015-02-11,12.4270269713
2015-02-12,12.5276959567
2015-02-13,12.6149424107
2015-02-17,12.5276959567
2015-02-18,12.5836231708
2015-02-19,12.5769119051
2015-02-20,12.7335081045
2015-02-23,12.6887663333
2015-02-24,12.7111372189
2015-02-25,12.7178484846
2015-02-26,12.7066630418
2015-02-27,12.6306020306
2015-03-02,12.8006207615
2015-03-03,12.8229916471
2015-03-04,13.028803795
2015-03-05,13.136184046
2015-03-06,12.9236606325
2015-03-09,12.9382017081
2015-03-10,12.8373146735
2015-03-11,12.8440404758
2015-03-12,13.0682338861
2015-03-13,12.9920081266
2015-03-16,13.2969111646
2015-03-17,13.2274112074
2015-03-18,13.4964432998
2015-03-19,13.4448788154
2015-03-20,13.4628142882
2015-03-23,13.393314331
2015-03-24,13.2475886143
2015-03-25,12.9157823671
2015-03-26,12.891121092
2015-03-27,12.9225081694
2015-03-30,13.175846723
2015-03-31,13.2117176687
2015-04-01,13.065991952
2015-04-02,13.1825725253
2015-04-06,13.2206854051
2015-04-07,13.1915402618
2015-04-08,13.2744918236
2015-04-09,13.2946692305
2015-04-10,13.348475649
2015-04-13,13.2296531415
2015-04-14,13.2117176687
2015-04-15,13.2767337577
2015-04-16,13.1736047889
2015-04-17,12.9942500607
2015-04-20,13.1018628976
2015-04-21,13.0390887428
2015-04-22,12.7364276389
2015-04-23,12.7117663637
2015-04-24,12.5929438563
2015-04-27,12.6041535268
2015-04-28,12.5525890424
2015-04-29,12.5077503604
2015-04-30,12.413589128
2015-05-01,12.6646857476
2015-05-04,12.7409115071
2015-05-05,12.5368955037
2015-05-06,12.4875729534
2015-05-07,12.4987826239
2015-05-08,12.7364276389
2015-05-11,12.8126533984
2015-05-12,12.7274599024
2015-05-13,12.7678147163
