date,AVB
2015-01-02,114.2083747477
2015-01-05,114.9798202559
2015-01-06,116.5433749913
2015-01-07,117.8934046307
2015-01-08,118.9885817361
2015-01-09,119.3536407712
2015-01-12,120.3868267197
2015-01-13,120.2628444059
2015-01-14,121.8126233287
2015-01-15,122.2603372397
2015-01-16,123.3486264388
2015-01-20,120.9309713193
2015-01-21,121.8746144856
2015-01-22,123.2659715629
2015-01-23,123.2246441249
2015-01-26,124.1682872912
2015-01-27,123.6103668791
2015-01-28,122.2947767713
2015-01-29,120.4694815956
2015-01-30,119.1538914878
2015-02-02,118.9197026728
2015-02-03,119.6291570242
2015-02-04,119.3949682092
2015-02-05,120.5383606588
2015-02-06,116.515823366
2015-02-09,116.0198941107
2015-02-10,117.1495107477
2015-02-11,117.3974753754
2015-02-12,119.4294077408
2015-02-13,117.6592158157
2015-02-17,117.6041125651
2015-02-18,119.2985375206
2015-02-19,116.4262805838
2015-02-20,117.7831981295
2015-02-23,119.477623085
2015-02-24,116.3367378016
2015-02-25,115.7030504198
2015-02-26,114.4976668132
2015-02-27,115.9510150475
2015-03-02,116.8602186822
2015-03-03,116.281634551
2015-03-04,115.813256921
2015-03-05,117.0461921529
2015-03-06,113.4024897078
2015-03-09,114.662976565
2015-03-10,114.917829099
2015-03-11,115.2277848835
2015-03-12,117.9347320686
2015-03-13,117.5627851271
2015-03-16,119.5878295862
2015-03-17,119.0643487056
2015-03-18,120.9929624762
2015-03-19,120.393714626
2015-03-20,123.865219413
2015-03-23,124.588449577
2015-03-24,124.1820631039
2015-03-25,121.8332870476
2015-03-26,121.1995996659
2015-03-27,120.7932131928
2015-03-30,122.2014961171
2015-03-31,120.8833987988
2015-04-01,119.9537933217
2015-04-02,121.2233291598
2015-04-06,121.9656260707
2015-04-07,119.7317979838
2015-04-08,120.6267166894
2015-04-09,117.4008469367
2015-04-10,116.7626103405
2015-04-13,116.3533064363
2015-04-14,117.6089675659
2015-04-15,116.5475523569
2015-04-16,117.2690372049
2015-04-17,116.7626103405
2015-04-20,116.7209862146
2015-04-21,117.2759745592
2015-04-22,118.379013894
2015-04-23,118.7883177981
2015-04-24,118.8160672153
2015-04-27,119.0103131359
2015-04-28,118.7605683809
2015-04-29,116.3741184993
2015-04-30,114.0084806806
2015-05-01,116.2908702476
2015-05-04,117.2135383704
2015-05-05,113.5644900049
2015-05-06,113.3771814387
2015-05-07,115.1462067869
2015-05-08,116.9013574266
2015-05-11,114.1680398297
2015-05-12,114.6397799225
2015-05-13,113.8350468229
2015-05-14,115.9856266581
2015-05-15,116.8597333008
2015-05-18,116.436554688
2015-05-19,116.2839328933
2015-05-20,116.1729352244
2015-05-21,114.8825873233
2015-05-22,115.3265779989
2015-05-26,114.3484110416
2015-05-27,116.1590605157
2015-05-28,116.3949305622
2015-05-29,115.5069492109
2015-06-01,116.7487356318
2015-06-02,114.7091534656
2015-06-03,111.9688985143
2015-06-04,111.6983416964
2015-06-05,111.7260911136
2015-06-08,111.6567175705
2015-06-09,111.4485969413
2015-06-10,111.9272743885
2015-06-11,113.0511257862
2015-06-12,112.7597569053
