date,AVY
2015-01-02,41.8912567016
2015-01-05,41.3735813919
2015-01-06,41.7861039044
2015-01-07,42.1986264168
2015-01-08,43.4523713074
2015-01-09,42.8861639375
2015-01-12,43.1854449759
2015-01-13,43.1611789457
2015-01-14,43.2986864499
2015-01-15,42.3765773045
2015-01-16,42.643503636
2015-01-20,43.3553071869
2015-01-21,42.9508733512
2015-01-22,43.5898788116
2015-01-23,42.530262162
2015-01-26,42.8538092306
2015-01-27,42.3684886278
2015-01-28,41.9802321455
2015-01-29,42.6758583429
2015-01-30,42.2795131839
2015-02-02,41.4140247755
2015-02-03,41.9236114085
2015-02-04,41.6566850769
2015-02-05,42.3361339209
2015-02-06,42.3846659812
2015-02-09,42.0449415592
2015-02-10,43.1288242389
2015-02-11,43.0236714416
2015-02-12,43.3957505704
2015-02-13,43.5089920444
2015-02-17,43.6707655787
2015-02-18,43.7435636691
2015-02-19,43.5170807211
2015-02-20,43.7435636691
2015-02-23,44.0751994144
2015-02-24,44.1965295651
2015-02-25,44.0266673541
2015-02-26,43.9215145568
2015-02-27,43.3148638033
2015-03-02,43.9053372034
2015-03-03,43.3598787216
2015-03-04,43.3354552075
2015-03-05,43.1482082659
2015-03-06,42.5376204131
2015-03-09,42.667879155
2015-03-10,42.0491501308
2015-03-11,42.0817148163
2015-03-12,42.6027497841
2015-03-13,42.3422323002
2015-03-16,42.8958319534
2015-03-17,42.5213380704
2015-03-18,43.0098083526
2015-03-19,43.1482082659
2015-03-20,43.5471256631
2015-03-23,43.392443407
2015-03-24,43.1237847518
2015-03-25,42.667879155
2015-03-26,42.4562086994
2015-03-27,42.6271732982
2015-03-30,43.6855255764
2015-03-31,43.0749377236
2015-04-01,43.1319259232
2015-04-02,43.1482082659
2015-04-06,43.4738551208
2015-04-07,43.4005845784
2015-04-08,43.8483490038
2015-04-09,43.7343726046
2015-04-10,43.9948900885
2015-04-13,43.9053372034
2015-04-14,43.2051964655
2015-04-15,42.7248673546
2015-04-16,42.2445382437
2015-04-17,41.5769621913
2015-04-20,41.8700443607
2015-04-21,41.9270325603
2015-04-22,42.1549853587
2015-04-23,41.9351737317
2015-04-24,42.2608205865
2015-04-27,42.3015264433
2015-04-28,42.2038323869
2015-04-29,44.4589368566
2015-04-30,45.256771651
2015-05-01,45.7208184191
2015-05-04,46.1115946449
2015-05-05,46.2988415865
2015-05-06,46.990841153
2015-05-07,46.9745588103
2015-05-08,47.3816173788
2015-05-11,47.4711702639
2015-05-12,47.430464407
2015-05-13,48.7086283123
2015-05-14,49.2622279655
2015-05-15,49.2703691369
2015-05-18,49.0179928244
2015-05-19,49.6611453627
2015-05-20,49.6855688768
2015-05-21,50.4426978143
2015-05-22,50.9474504393
2015-05-26,50.5403918707
2015-05-27,51.4359207215
2015-05-28,51.1346973808
2015-05-29,50.4019919574
2015-06-01,50.678791784
2015-06-02,49.7697184343
2015-06-03,50.0727428842
2015-06-04,49.5977315844
2015-06-05,49.7942879843
2015-06-08,49.7041996343
2015-06-09,50.1464515342
2015-06-10,50.818019234
2015-06-11,50.916297434
2015-06-12,50.850778634
2015-06-15,50.0154139342
2015-06-16,50.613272984
2015-06-17,51.1456132339
2015-06-18,51.2848406838
2015-06-19,50.9654365339
2015-06-22,51.0719045839
2015-06-23,50.899917734
2015-06-24,50.4904252341
2015-06-25,50.2856789842
2015-06-26,50.9408669839
2015-06-29,49.9744646843
2015-06-30,49.9089458843
2015-07-01,50.9490568339
2015-07-02,50.916297434
2015-07-06,50.4330962841
2015-07-07,50.736120734
2015-07-08,49.7041996343
2015-07-09,49.6550605344
2015-07-10,50.4494759841
2015-07-13,51.0882842839
2015-07-14,51.6533839337
2015-07-15,52.0219271836
2015-07-16,51.5632955837
2015-07-17,50.629652684
2015-07-20,50.801639534
2015-07-21,50.4167165841
2015-07-22,50.695171484
2015-07-23,50.1382616842
2015-07-24,49.2291883345
2015-07-27,48.9671131346
2015-07-28,50.0645530342
2015-07-29,49.8434270843
2015-07-30,50.4494759841
2015-07-31,49.8352372343
2015-08-03,49.5813518844
2015-08-04,49.3929853344
2015-08-05,50.2611094342
2015-08-06,50.670601934
2015-08-07,51.6288143837
2015-08-10,52.9473802333
2015-08-11,52.6525456334
2015-08-12,52.1529647836
2015-08-13,52.1611546336
2015-08-14,52.3904704335
2015-08-17,52.8163426334
2015-08-18,52.2348632835
2015-08-19,52.0301170336
2015-08-20,50.777069984
2015-08-21,49.3438462344
2015-08-24,46.8705115352
2015-08-25,45.7894513356
2015-08-26,47.517509685
2015-08-27,48.4102033347
2015-08-28,48.7869364346
2015-08-31,47.8696732349
2015-09-01,46.402593029
2015-09-02,47.3751518172
2015-09-03,47.8037370459
2015-09-04,47.3421837227
2015-09-08,48.7186016687
2015-09-09,48.2405642982
2015-09-10,48.5372771488
2015-09-11,48.3889207235
2015-09-14,48.3641946526
2015-09-15,48.8175059522
2015-09-16,49.6252242678
