date,AXP
2015-01-02,79.0634459894
2015-01-05,76.9725399785
2015-01-06,75.3321137179
2015-01-07,76.9725399785
2015-01-08,78.0636236017
2015-01-09,77.0748290682
2015-01-12,76.290612714
2015-01-13,76.0604622622
2015-01-14,74.2192586481
2015-01-15,73.2048918422
2015-01-16,73.3412772951
2015-01-20,74.3812163735
2015-01-21,74.7307040965
2015-01-22,71.9177541305
2015-01-23,71.7131759512
2015-01-26,71.0056764143
2015-01-27,70.2385082417
2015-01-28,69.6673941577
2015-01-29,69.8975446095
2015-01-30,68.7808887139
2015-02-02,70.00835779
2015-02-03,71.3722123189
2015-02-04,71.2699232293
2015-02-05,72.2246213995
2015-02-06,72.4632959421
2015-02-09,72.4377236697
2015-02-10,73.170795479
2015-02-11,73.3157050227
2015-02-12,68.601882807
2015-02-13,66.5561010135
2015-02-17,67.4085100941
2015-02-18,68.0051964505
2015-02-19,66.8288719193
2015-02-20,68.0478169046
2015-02-23,68.4484491725
2015-02-24,68.9257982576
2015-02-25,70.0424541532
2015-02-26,70.9630559602
2015-02-27,69.5480568864
2015-03-02,69.9231168819
2015-03-03,69.8208277922
2015-03-04,68.7297441691
2015-03-05,69.172996891
2015-03-06,68.4569732633
2015-03-09,68.6274550794
2015-03-10,67.4340823665
2015-03-11,67.7239014539
2015-03-12,69.522484614
2015-03-13,68.7041718966
2015-03-16,69.4713400692
2015-03-17,69.0962800737
2015-03-18,69.7782073382
2015-03-19,69.5054364324
2015-03-20,70.4942309659
2015-03-23,70.0680264256
2015-03-24,69.3605268887
2015-03-25,68.2864914471
2015-03-26,66.8970646458
2015-03-27,66.4623360146
2015-03-30,66.5305287411
2015-03-31,66.8118237377
2015-04-01,67.5045730622
2015-04-02,68.1631125435
2015-04-06,68.1032453179
2015-04-07,66.9914254144
2015-04-08,67.2993140031
2015-04-09,67.7012796605
2015-04-10,68.0690354747
2015-04-13,67.7953567292
2015-04-14,67.9835108667
2015-04-15,68.2058748474
2015-04-16,69.1979602998
2015-04-17,66.127626874
2015-04-20,66.0506547269
2015-04-21,66.0934170308
2015-04-22,67.0855024832
2015-04-23,66.8374811201
2015-04-24,66.7006417474
2015-04-27,66.2730187076
2015-04-28,66.2730187076
2015-04-29,65.9907875013
2015-04-30,66.2388088644
