date,BAC
2015-01-02,14.1279478305
2015-01-05,13.7175269997
2015-01-06,13.3071061688
2015-01-07,13.3702478351
2015-01-08,13.6464926251
2015-01-09,13.4018186683
2015-01-12,13.1650374197
2015-01-13,12.9835051291
2015-01-14,12.6599040895
2015-01-15,11.9969165935
2015-01-16,12.1389853426
2015-01-20,12.0442728432
2015-01-21,12.1626634675
2015-01-22,12.6993676309
2015-01-23,12.4152301326
2015-01-26,12.509942632
2015-01-27,12.3363030498
2015-01-28,11.9969165935
2015-01-29,12.1784488841
2015-01-30,11.9574530521
2015-02-02,12.2021270089
2015-02-03,12.5415134652
2015-02-04,12.4625863823
2015-02-05,12.6046551315
2015-02-06,13.0150759623
2015-02-09,12.9045780463
2015-02-10,12.9598270043
2015-02-11,12.9124707546
2015-02-12,13.1571447114
2015-02-13,13.1097884617
2015-02-17,13.1255738783
2015-02-18,12.8651145049
2015-02-19,12.7940801303
2015-02-20,12.9282561711
2015-02-23,12.786187422
2015-02-24,12.9282561711
2015-02-25,13.0150759623
2015-02-26,12.6599040895
2015-02-27,12.4783717989
2015-03-02,12.6362259646
2015-03-03,12.6599040895
2015-03-04,12.5415134652
2015-03-05,12.6681954194
2015-03-06,12.8423831064
2015-03-09,12.8027949957
2015-03-10,12.5019253545
2015-03-11,12.7552892629
2015-03-12,12.7394540186
2015-03-13,12.7394540186
2015-03-16,12.7711245071
2015-03-17,12.7394540186
2015-03-18,12.6523601751
2015-03-19,12.359408156
2015-03-20,12.5415134652
2015-03-23,12.4465019995
2015-03-24,12.359408156
2015-03-25,12.2010557133
2015-03-26,12.2089733354
2015-03-27,12.1218794919
2015-03-30,12.2881495568
2015-03-31,12.185220469
2015-04-01,12.2010557133
2015-04-02,12.3039848011
2015-04-06,12.2802319346
2015-04-07,12.240643824
2015-04-08,12.359408156
2015-04-09,12.4385843774
2015-04-10,12.4465019995
2015-04-13,12.5098429766
2015-04-14,12.5256782209
2015-04-15,12.3831610224
2015-04-16,12.5019253545
2015-04-17,12.3198200453
2015-04-20,12.3277376675
2015-04-21,12.2723143125
2015-04-22,12.4623372438
2015-04-23,12.4227491331
2015-04-24,12.3831610224
2015-04-27,12.3198200453
2015-04-28,12.3910786446
2015-04-29,12.6523601751
2015-04-30,12.6127720644
2015-05-01,12.7552892629
2015-05-04,13.0165707934
2015-05-05,12.9453121942
2015-05-06,12.8978064613
2015-05-07,12.8582183507
2015-05-08,13.0244884155
2015-05-11,13.0561589041
2015-05-12,13.0086531713
2015-05-13,13.0403236598
2015-05-14,13.0799117705
2015-05-15,12.9453121942
2015-05-18,13.0719941484
2015-05-19,13.2778523239
2015-05-20,13.2540994575
2015-05-21,13.2461818354
2015-05-22,13.2620170796
2015-05-26,13.0640765262
2015-05-27,13.2540994575
2015-05-28,13.1986761026
2015-05-29,13.0640765262
2015-06-01,13.1036646369
2015-06-02,13.2382642132
2015-06-03,13.4441223888
2015-06-04,13.3250073056
2015-06-05,13.650588533
2015-06-08,13.563237472
2015-06-09,13.7458805995
2015-06-10,13.9682287548
2015-06-11,13.8888186994
2015-06-12,13.8888186994
2015-06-15,13.8729366883
2015-06-16,13.9364647326
2015-06-17,13.7935266328
2015-06-18,13.8014676384
2015-06-19,13.6347065219
2015-06-22,13.8729366883
2015-06-23,14.0317567992
2015-06-24,13.8888186994
2015-06-25,13.7935266328
2015-06-26,13.825290655
2015-06-29,13.4123583666
2015-06-30,13.5155914387
2015-07-01,13.6744115496
2015-07-02,13.5235324443
2015-07-06,13.4520633943
2015-07-07,13.2535382557
2015-07-08,12.9041340117
2015-07-09,13.0867771392
2015-07-10,13.2614792613
2015-07-13,13.5155914387
2015-07-14,13.6029424997
2015-07-15,14.0396978047
2015-07-16,14.2541049545
2015-07-17,14.3732200376
2015-07-20,14.3891020487
2015-07-21,14.3573380266
2015-07-22,14.6511552317
2015-07-23,14.436748082
2015-07-24,14.2143999267
2015-07-27,14.0317567992
2015-07-28,14.1985179156
2015-07-29,14.4208660709
2015-07-30,14.3970430543
2015-07-31,14.1985179156
2015-08-03,14.1111668546
2015-08-04,14.1349898713
2015-08-05,14.1905769101
2015-08-06,14.1429308768
2015-08-07,14.0952848435
2015-08-10,14.3255740044
2015-08-11,14.1270488657
2015-08-12,13.912641716
2015-08-13,13.9920517715
2015-08-14,14.0555798158
2015-08-17,14.1111668546
2015-08-18,14.0476388103
2015-08-19,13.8649956827
2015-08-20,13.2773612723
2015-08-21,12.7850189285
2015-08-24,12.1417974793
2015-08-25,12.1179744627
2015-08-26,12.7532549063
2015-08-27,13.0550131171
2015-08-28,12.9914850727
2015-08-31,12.9756030616
2015-09-01,12.3720866401
2015-09-02,12.6261988176
2015-09-03,12.6978933219
2015-09-04,12.4668776969
2015-09-08,12.8731465547
2015-09-09,12.6660290978
2015-09-10,12.7775538823
2015-09-11,12.7775538823
2015-09-14,12.713825434
2015-09-15,12.9926373953
2015-09-16,13.0085695073
2015-09-17,12.6341648736
2015-09-18,12.3951831925
2015-09-21,12.5067079771
2015-09-22,12.4031492486
2015-09-23,12.5226400891
2015-09-24,12.3872171365
2015-09-25,12.6580630417
2015-09-28,12.3234886882
2015-09-29,12.2278960158
2015-09-30,12.4111153046
2015-10-01,12.3872171365
2015-10-02,12.2517941839
2015-10-05,12.498741921
2015-10-06,12.498741921
2015-10-07,12.5465382572
2015-10-08,12.5465382572
2015-10-09,12.4111153046
2015-10-12,12.3633189684
2015-10-13,12.3633189684
2015-10-14,12.4589116408
2015-10-15,12.8970447228
2015-10-16,12.8412823306
2015-10-19,12.8572144427
2015-10-20,12.9050107789
2015-10-21,12.6660290978
2015-10-22,12.8731465547
2015-10-23,13.159924572
2015-10-26,13.151958516
2015-10-27,13.0643318996
2015-10-28,13.7653448308
2015-10-29,13.6139897661
2015-10-30,13.367042029
2015-11-02,13.590091598
2015-11-03,13.6856842704
2015-11-04,13.5502613178
2015-11-05,13.7892429989
2015-11-06,14.2990705852
2015-11-09,14.0839870723
2015-11-10,14.2194100249
2015-11-11,14.1397494645
2015-11-12,13.8370393351
2015-11-13,13.7016163825
2015-11-16,13.8848356713
2015-11-17,13.8768696153
2015-11-18,14.2114439688
2015-11-19,14.0919531283
2015-11-20,14.0600889041
2015-11-23,13.9166998955
2015-11-24,13.9166998955
2015-11-25,13.8928017274
2015-11-27,13.9246659515
2015-11-30,13.8848356713
2015-12-01,14.1875458007
2015-12-02,14.0760210162
2015-12-03,13.8203838581
2015-12-04,14.2198169176
2015-12-07,14.0121117267
2015-12-08,13.7325085851
2015-12-09,13.6606106344
2015-12-10,13.7404972462
2015-12-11,13.3650301703
