date,CERN
2015-01-02,62.9115995824
2015-01-05,62.0796147194
2015-01-06,61.4507889508
2015-01-07,62.0989632046
2015-01-08,63.4630314102
2015-01-09,62.8342056416
2015-01-12,62.6794177602
2015-01-13,63.1437814046
2015-01-14,62.5730010916
2015-01-15,61.9828722935
2015-01-16,63.4533571676
2015-01-20,62.8535541268
2015-01-21,63.4243344398
2015-01-22,64.9818874973
2015-01-23,65.0302587103
2015-01-26,65.9009405436
2015-01-27,65.3301602306
2015-01-28,64.6916602195
2015-01-29,65.0883041658
2015-01-30,64.1885996047
2015-02-02,64.5562208232
2015-02-03,65.0786299232
2015-02-04,64.6045920362
2015-02-05,64.8270996158
2015-02-06,65.5139708399
2015-02-09,64.6916602195
2015-02-10,65.2140693195
2015-02-11,65.5042965973
2015-02-12,67.555236027
2015-02-13,68.6677739252
2015-02-17,67.4778420863
2015-02-18,68.3001527067
2015-02-19,68.9386527178
2015-02-20,69.7271034892
2015-02-23,70.6993648698
2015-02-24,70.409137592
2015-02-25,70.3220694086
2015-02-26,70.4043004707
2015-02-27,69.7125921253
2015-03-02,70.0221678883
2015-03-03,69.577152729
2015-03-04,69.5578042438
2015-03-05,70.147933042
2015-03-06,67.6906754233
2015-03-09,67.8164405771
2015-03-10,67.3617511752
2015-03-11,67.4197966307
2015-03-12,68.6000542271
2015-03-13,68.0873193697
2015-03-16,69.2385542382
2015-03-17,69.0353951438
2015-03-18,69.3062739364
2015-03-19,71.4152588217
2015-03-20,71.3281906383
2015-03-23,71.6571148865
2015-03-24,71.5603724605
2015-03-25,69.9447739475
2015-03-26,69.9737966753
2015-03-27,70.8928497216
2015-03-30,71.6958118569
2015-03-31,70.8735012364
2015-04-01,70.621970929
2015-04-02,70.3994633494
2015-04-06,71.0089406327
2015-04-07,70.0898875864
2015-04-08,70.8348042661
2015-04-09,71.9570164069
2015-04-10,72.5568194476
2015-04-13,72.1021300458
2015-04-14,71.2798194254
2015-04-15,70.6026224438
2015-04-16,70.4962057753
2015-04-17,69.4707360605
2015-04-20,69.3643193919
2015-04-21,69.8673800068
2015-04-22,70.051190616
2015-04-23,70.670342142
2015-04-24,70.931546692
2015-04-27,70.6800163846
2015-04-28,70.7477360827
2015-04-29,70.6509936568
2015-04-30,69.4707360605
2015-05-01,69.7609633382
2015-05-04,70.6800163846
2015-05-05,69.7319406105
2015-05-06,68.5420087715
2015-05-07,68.9289784752
2015-05-08,65.8041981177
2015-05-11,65.8815920584
2015-05-12,65.0496071954
2015-05-13,65.0786299232
2015-05-14,65.9202890288
2015-05-15,65.1463496214
2015-05-18,66.0363799399
2015-05-19,66.2685617622
2015-05-20,65.9686602418
2015-05-21,65.6203875084
2015-05-22,66.1040996381
2015-05-26,65.5720162955
2015-05-27,66.2395390344
2015-05-28,66.1040996381
2015-05-29,65.0979784084
2015-06-01,65.6010390232
2015-06-02,64.9528647695
2015-06-03,65.5381564464
2015-06-04,64.8754708288
2015-06-05,64.0821829361
2015-06-08,63.9370692973
2015-06-09,63.6274935343
2015-06-10,64.9818874973
2015-06-11,65.6590844788
2015-06-12,65.6397359936
2015-06-15,64.9818874973
2015-06-16,65.3108117455
2015-06-17,65.6010390232
2015-06-18,67.1295693529
2015-06-19,67.1682663233
2015-06-22,67.9809027011
2015-06-23,67.6423042104
2015-06-24,66.8683648029
2015-06-25,66.9360845011
2015-06-26,66.8586905603
2015-06-29,66.0073572122
2015-06-30,66.8103193474
2015-07-01,67.1392435955
2015-07-02,66.249213277
2015-07-06,66.0073572122
2015-07-07,66.3556299455
2015-07-08,65.596201902
2015-07-09,66.2395390344
2015-07-10,67.6423042104
2015-07-13,68.3291754345
2015-07-14,68.9773496882
2015-07-15,69.267576966
2015-07-16,68.9773496882
2015-07-17,69.006372416
2015-07-20,69.6061754568
2015-07-21,69.2095315104
2015-07-22,69.7029178827
2015-07-23,67.7196981511
2015-07-24,65.9009405436
2015-07-27,65.4559253844
2015-07-28,66.2588875196
2015-07-29,71.0089406327
2015-07-30,69.6158496994
2015-07-31,69.3836678771
2015-08-03,68.5903799845
2015-08-04,68.0292739141
2015-08-05,65.107652651
2015-08-06,63.1728041324
2015-08-07,61.518508649
2015-08-10,61.1508874305
2015-08-11,60.7639177267
2015-08-12,61.0638192471
2015-08-13,60.8413116675
2015-08-14,62.1570086601
2015-08-17,62.4375616953
2015-08-18,63.4630314102
2015-08-19,62.8825768546
2015-08-20,61.208932886
2015-08-21,59.7094252841
2015-08-24,58.6549328415
2015-08-25,58.2776373803
2015-08-26,59.6223571008
2015-08-27,59.4385464915
2015-08-28,61.0734934897
2015-08-31,59.7481222545
2015-09-01,57.9196904044
2015-09-02,58.974182847
2015-09-03,58.8290692081
2015-09-04,57.880993434
2015-09-08,60.3479252952
2015-09-09,59.4288722489
2015-09-10,59.7964934674
2015-09-11,60.4833646915
2015-09-14,59.7384480119
2015-09-15,60.5994556027
2015-09-16,61.3250237971
2015-09-17,62.4182132101
2015-09-18,61.1799101582
2015-09-21,61.4120919805
2015-09-22,60.8703343953
2015-09-23,60.9670768212
2015-09-24,60.2995540823
2015-09-25,58.7323267822
2015-09-28,56.2557206784
2015-09-29,57.5423949433
2015-09-30,57.97773586
2015-10-01,58.190569197
2015-10-02,59.3418040656
2015-10-05,60.0963949878
2015-10-06,59.4772434619
2015-10-07,60.8219631823
2015-10-08,61.3540465249
2015-10-09,61.9925465361
2015-10-12,63.0760617065
2015-10-13,62.9502965528
2015-10-14,62.4278874527
2015-10-15,62.398864725
2015-10-16,63.1244329194
2015-10-19,63.3082435287
2015-10-20,63.5500995935
2015-10-21,63.5597738361
2015-10-22,61.1025162175
