date,COL
2015-01-02,80.3568406035
2015-01-05,79.6541218367
2015-01-06,79.5496636417
2015-01-07,80.6417265901
2015-01-08,81.5248731484
2015-01-09,80.5182759959
2015-01-12,79.9105192246
2015-01-13,80.1669166125
2015-01-14,80.1479242134
2015-01-15,80.5752531932
2015-01-16,80.8886277784
2015-01-20,81.6673161416
2015-01-21,81.2874681596
2015-01-22,82.5979436977
2015-01-23,82.8638372851
2015-01-26,82.75937909
2015-01-27,81.9332097291
2015-01-28,81.91421733
2015-01-29,82.3415463098
2015-01-30,81.3064605587
2015-02-02,81.9332097291
2015-02-03,82.6454246954
2015-02-04,82.8923258838
2015-02-05,82.9682954802
2015-02-06,82.9493030811
2015-02-09,83.3576396618
2015-02-10,84.0698546281
2015-02-11,83.5950446506
2015-02-12,84.3927254129
2015-02-13,84.6214061637
2015-02-17,84.6214061637
2015-02-18,85.2502782284
2015-02-19,85.5742426254
2015-02-20,86.5747209102
2015-02-23,86.7081180148
2015-02-24,87.1083093287
2015-02-25,85.6790546362
2015-02-26,85.1264094884
2015-02-27,84.8786720083
2015-03-02,86.4413238055
2015-03-03,85.9458488454
2015-03-04,86.1173594086
2015-03-05,86.6128343686
2015-03-06,86.8224583902
2015-03-09,88.8043582305
2015-03-10,86.9939689533
2015-03-11,86.3460401594
2015-03-12,87.3084049857
2015-03-13,88.8329433244
2015-03-16,90.4432369447
2015-03-17,90.2717263816
2015-03-18,91.7200378034
2015-03-19,91.5961690633
2015-03-20,91.9868320126
2015-03-23,91.5485272402
2015-03-24,90.7862580709
2015-03-25,89.0806808044
2015-03-26,90.0811590892
2015-03-27,91.081637374
2015-03-30,92.4156084204
2015-03-31,91.9963603772
2015-04-01,91.529470511
2015-04-02,91.4437152295
2015-04-06,91.9201334603
2015-04-07,91.9677752834
2015-04-08,92.749101182
2015-04-09,92.6919309943
2015-04-10,93.644767456
2015-04-13,93.4923136221
2015-04-14,92.9873102974
2015-04-15,92.7014593589
2015-04-16,92.5585338897
2015-04-17,90.5480489555
