date,ENDP
2015-01-02,72.15
2015-01-05,71.97
2015-01-06,73.86
2015-01-07,76.98
2015-01-08,78.22
2015-01-09,77.96
2015-01-12,77.96
2015-01-13,79.87
2015-01-14,79.09
2015-01-15,78.08
2015-01-16,79.99
2015-01-20,81.04
2015-01-21,79.82
2015-01-22,80.02
2015-01-23,78.87
2015-01-26,79.15
2015-01-27,79.73
2015-01-28,81.195
2015-01-29,81.64
2015-01-30,79.61
2015-02-02,80.62
2015-02-03,79.4
2015-02-04,77.57
2015-02-05,79.33
2015-02-06,79.69
2015-02-09,79.46
2015-02-10,81.11
2015-02-11,81.32
2015-02-12,82.89
2015-02-13,84.01
2015-02-17,85.37
2015-02-18,85.21
2015-02-19,84.99
2015-02-20,86.32
2015-02-23,84.94
2015-02-24,85.25
2015-02-25,85.19
2015-02-26,85.24
2015-02-27,85.6
2015-03-02,87.32
2015-03-03,85.88
2015-03-04,85.65
2015-03-05,87.71
2015-03-06,87.03
2015-03-09,89.54
2015-03-10,89.0
2015-03-11,87.76
2015-03-12,90.495
2015-03-13,87.33
2015-03-16,89.65
2015-03-17,90.78
2015-03-18,91.74
2015-03-19,91.48
2015-03-20,92.37
2015-03-23,90.81
2015-03-24,89.51
2015-03-25,88.28
2015-03-26,87.81
2015-03-27,90.04
2015-03-30,91.53
2015-03-31,89.7
2015-04-01,89.68
2015-04-02,90.42
2015-04-06,90.02
2015-04-07,91.4
2015-04-08,93.64
2015-04-09,93.68
2015-04-10,94.46
2015-04-13,93.43
2015-04-14,93.32
2015-04-15,95.92
2015-04-16,95.11
2015-04-17,93.34
2015-04-20,93.2
2015-04-21,95.18
2015-04-22,94.09
2015-04-23,94.08
2015-04-24,93.27
2015-04-27,90.64
2015-04-28,87.83
2015-04-29,86.54
2015-04-30,84.065
2015-05-01,85.05
2015-05-04,86.31
2015-05-05,84.67
2015-05-06,84.64
2015-05-07,86.33
2015-05-08,87.04
2015-05-11,86.66
2015-05-12,84.6
2015-05-13,83.89
2015-05-14,85.02
2015-05-15,85.35
2015-05-18,80.77
2015-05-19,83.03
2015-05-20,85.65
2015-05-21,85.0
2015-05-22,84.92
2015-05-26,83.17
2015-05-27,83.41
2015-05-28,82.94
2015-05-29,83.76
2015-06-01,84.14
2015-06-02,83.71
2015-06-03,84.65
2015-06-04,84.18
2015-06-05,83.53
2015-06-08,84.15
2015-06-09,82.4
2015-06-10,82.4
2015-06-11,82.17
2015-06-12,80.54
2015-06-15,81.45
2015-06-16,81.52
2015-06-17,80.7
2015-06-18,83.34
2015-06-19,84.03
2015-06-22,84.16
2015-06-23,83.93
2015-06-24,82.26
2015-06-25,82.22
2015-06-26,80.81
2015-06-29,78.39
2015-06-30,79.65
2015-07-01,80.89
2015-07-02,82.02
2015-07-06,81.58
2015-07-07,81.39
2015-07-08,78.41
2015-07-09,80.46
2015-07-10,83.12
2015-07-13,84.02
2015-07-14,85.5
2015-07-15,84.79
2015-07-16,85.05
2015-07-17,85.38
2015-07-20,86.94
2015-07-21,86.13
2015-07-22,86.52
2015-07-23,85.9
2015-07-24,85.39
2015-07-27,85.81
2015-07-28,87.63
2015-07-29,86.19
2015-07-30,85.96
2015-07-31,87.54
2015-08-03,86.99
2015-08-04,85.11
2015-08-05,85.85
2015-08-06,81.7
2015-08-07,83.75
2015-08-10,84.18
2015-08-11,83.43
2015-08-12,83.3
2015-08-13,83.45
2015-08-14,84.82
2015-08-17,86.36
2015-08-18,85.41
2015-08-19,84.32
2015-08-20,80.82
2015-08-21,76.61
2015-08-24,73.45
2015-08-25,73.09
2015-08-26,76.38
2015-08-27,79.0
2015-08-28,78.7
2015-08-31,77.0
2015-09-01,73.48
2015-09-02,74.96
2015-09-03,74.46
2015-09-04,73.0
2015-09-08,76.59
2015-09-09,74.98
2015-09-10,75.23
2015-09-11,74.8
2015-09-14,74.47
2015-09-15,75.97
2015-09-16,79.3
2015-09-17,80.99
2015-09-18,81.92
2015-09-21,78.33
2015-09-22,75.78
2015-09-23,75.4
2015-09-24,72.4
2015-09-25,68.84
2015-09-28,61.82
2015-09-29,60.57
2015-09-30,69.28
2015-10-01,70.02
2015-10-02,71.06
2015-10-05,67.28
2015-10-06,64.1
2015-10-07,63.14
2015-10-08,63.42
2015-10-09,64.27
2015-10-12,64.0
2015-10-13,62.87
2015-10-14,64.94
2015-10-15,66.6
2015-10-16,69.02
2015-10-19,66.79
2015-10-20,62.83
2015-10-21,54.46
2015-10-22,51.46
2015-10-23,56.6
2015-10-26,58.97
2015-10-27,58.52
2015-10-28,60.89
2015-10-29,60.38
2015-10-30,59.99
2015-11-02,61.4
2015-11-03,61.26
2015-11-04,60.49
2015-11-05,51.7
2015-11-06,55.3
2015-11-09,54.5
2015-11-10,55.57
2015-11-11,56.51
2015-11-12,56.1
2015-11-13,57.99
2015-11-16,56.9
2015-11-17,57.65
2015-11-18,59.33
2015-11-19,59.41
2015-11-20,59.37
2015-11-23,60.16
2015-11-24,60.28
2015-11-25,61.0
2015-11-27,62.33
2015-11-30,61.48
2015-12-01,61.95
2015-12-02,61.55
2015-12-03,59.81
2015-12-04,62.7
2015-12-07,59.63
2015-12-08,59.28
2015-12-09,58.49
2015-12-10,58.33
2015-12-11,57.12
2015-12-14,57.43
2015-12-15,60.88
2015-12-16,62.03
2015-12-17,61.38
2015-12-18,61.02
2015-12-21,61.16
2015-12-22,62.61
2015-12-23,62.71
2015-12-24,62.62
2015-12-28,61.82
2015-12-29,62.49
2015-12-30,62.42
2015-12-31,61.22
