date,HBI
2015-01-02,19.3526051479
2015-01-05,18.8767070736
2015-01-06,18.5705226508
2015-01-07,19.2161343766
2015-01-08,19.5818060588
2015-01-09,19.5135706731
2015-01-12,19.3928465292
2015-01-13,19.5170699236
2015-01-14,19.4033442809
2015-01-15,18.6964956705
2015-01-16,18.7489844287
2015-01-20,18.738486677
2015-01-21,19.1164057361
2015-01-22,19.7777640894
2015-01-23,20.0244612529
2015-01-26,19.8494987256
2015-01-27,19.6780354488
2015-01-28,20.0192123771
2015-01-29,20.3079005472
2015-01-30,19.487326294
2015-02-02,19.4855766687
2015-02-03,19.9947176232
2015-02-04,19.992967998
2015-02-05,20.0402078804
2015-02-06,20.2825023159
2015-02-09,20.2930368566
2015-02-10,20.5037276701
2015-02-11,20.5932712659
2015-02-12,20.6915936455
2015-02-13,20.9145747565
2015-02-17,20.7109069701
2015-02-18,20.8829711345
2015-02-19,20.7109069701
2015-02-20,21.3938963573
2015-02-23,21.5677162785
2015-02-24,21.4781726827
2015-02-25,21.961005797
2015-02-26,22.6334606436
2015-02-27,22.3929219648
2015-03-02,22.614147319
2015-03-03,22.4649079927
2015-03-04,24.8053317797
2015-03-05,24.6671832735
2015-03-06,24.5597344354
2015-03-09,24.7899819457
2015-03-10,24.5981090204
2015-03-11,24.7285826096
2015-03-12,24.9051057009
2015-03-13,25.027904373
2015-03-16,25.8184208252
2015-03-17,26.0870429206
2015-03-18,26.394039601
2015-03-19,26.3556650159
2015-03-20,26.2328663438
2015-03-23,26.2712409288
2015-03-24,26.1944917587
2015-03-25,25.8414455762
2015-03-26,25.680272319
2015-03-27,25.9872689994
2015-03-30,25.8337706592
2015-03-31,25.718646904
2015-04-01,26.2328663438
2015-04-02,26.2021666757
2015-04-06,26.1023927546
2015-04-07,25.9335445803
2015-04-08,26.1714670077
2015-04-09,26.4784636881
2015-04-10,26.4784636881
2015-04-13,26.2098415927
2015-04-14,26.0102937504
2015-04-15,25.9795940824
2015-04-16,25.9258696633
2015-04-17,25.7723713231
2015-04-20,25.9258696633
2015-04-21,26.0102937504
2015-04-22,26.1868168417
2015-04-23,26.5398630242
2015-04-24,24.7285826096
2015-04-27,24.4215859292
2015-04-28,24.0378400786
2015-04-29,23.7078186471
2015-04-30,23.8536420703
2015-05-01,24.1222641657
2015-05-04,24.337161842
2015-05-05,23.8996915724
2015-05-06,23.7615430662
2015-05-07,24.0071404106
2015-05-08,24.298787257
2015-05-11,24.4215859292
2015-05-12,23.7999176513
2015-05-13,23.3777972157
2015-05-14,23.8689919044
2015-05-15,24.0301651616
2015-05-18,24.4292608462
2015-05-19,24.6825331075
2015-05-20,24.7980159511
2015-05-21,24.9827885009
2015-05-22,24.9057999385
2015-05-26,24.6363399701
2015-05-27,24.5978456889
2015-05-28,24.5824479764
2015-05-29,24.5285559827
2015-06-01,24.6517376826
2015-06-02,24.4900617015
2015-06-03,24.6594365388
2015-06-04,24.6748342513
2015-06-05,24.9057999385
2015-06-08,24.8673056573
2015-06-09,24.8596068011
2015-06-10,25.0828736321
2015-06-11,25.0212827821
2015-06-12,25.1598621945
2015-06-15,24.9442942197
2015-06-16,25.4524187316
2015-06-17,25.3831290254
2015-06-18,25.8296626874
2015-06-19,25.9990375247
2015-06-22,26.2684974931
2015-06-23,26.4301734742
2015-06-24,26.2607986369
2015-06-25,26.3685826242
2015-06-26,26.4455711866
2015-06-29,25.6987821313
2015-06-30,25.6525889939
2015-07-01,26.1838100745
2015-07-02,26.1453157933
2015-07-06,26.0298329497
2015-07-07,25.9374466748
2015-07-08,25.2445496131
2015-07-09,25.5217084378
2015-07-10,25.9374466748
2015-07-13,26.1607135057
2015-07-14,26.3685826242
2015-07-15,26.1992077869
2015-07-16,26.1761112182
2015-07-17,26.137616937
2015-07-20,26.5379574615
2015-07-21,26.4686677554
2015-07-22,26.4301734742
2015-07-23,26.1761112182
2015-07-24,25.975940956
2015-07-27,25.2368507569
2015-07-28,25.529407294
2015-07-29,25.975940956
2015-07-30,26.2838952056
2015-07-31,23.8895509148
2015-08-03,22.3728762353
2015-08-04,22.426768229
2015-08-05,22.2573933917
2015-08-06,22.1650071168
2015-08-07,22.041825417
2015-08-10,22.5730464976
2015-08-11,22.1804048293
2015-08-12,22.7655179036
2015-08-13,23.0118813033
2015-08-14,23.4199206841
2015-08-17,23.5589571525
2015-08-18,23.4662661736
2015-08-19,23.8679270824
2015-08-20,23.2886084639
2015-08-21,22.446665405
2015-08-24,21.6356193391
2015-08-25,21.8132770488
2015-08-26,22.5470806322
2015-08-27,23.1804689884
2015-08-28,23.3735751946
2015-08-31,23.2577114709
2015-09-01,22.6938413489
2015-09-02,23.1495719954
2015-09-03,23.0877780095
2015-09-04,22.8406020656
2015-09-08,23.2886084639
2015-09-09,22.9950870305
2015-09-10,22.9873627823
2015-09-11,23.1495719954
2015-09-14,22.979638534
2015-09-15,23.103226506
2015-09-16,23.3735751946
2015-09-17,23.8602028341
2015-09-18,23.1804689884
2015-09-21,23.2731599674
2015-09-22,23.1109507542
2015-09-23,22.7556353349
2015-09-24,22.8174293208
2015-09-25,22.6706686041
2015-09-28,21.9986590067
2015-09-29,21.6510678356
2015-09-30,22.353974426
2015-10-01,22.1917652128
2015-10-02,22.4234926602
2015-10-05,22.8792233068
2015-10-06,22.4234926602
2015-10-07,22.3616986743
2015-10-08,22.7401868384
2015-10-09,22.7401868384
2015-10-12,22.917844548
2015-10-13,22.5548048804
2015-10-14,22.2381107023
2015-10-15,22.1685924681
2015-10-16,22.2458349506
2015-10-19,21.2648554232
2015-10-20,21.4502373812
2015-10-21,21.6356193391
2015-10-22,21.790104304
2015-10-23,20.9018157556
2015-10-26,20.8322975214
2015-10-27,20.8940915074
2015-10-28,21.318925161
