date,IPG
2015-01-02,13.5737916112
2015-01-05,13.1850114071
2015-01-06,12.8297467377
2015-01-07,13.1649020861
2015-01-08,13.7748848203
2015-01-09,13.6006040391
2015-01-12,13.5268698624
2015-01-13,13.5804947182
2015-01-14,13.4598387928
2015-01-15,13.1783083001
2015-01-16,13.2520424767
2015-01-20,13.2654486907
2015-01-21,13.5603853973
2015-01-22,13.9826811363
2015-01-23,13.8016972482
2015-01-26,13.9089469596
2015-01-27,13.6475257879
2015-01-28,13.2386362628
2015-01-29,13.5939009321
2015-01-30,13.3659952952
2015-02-02,13.5402760764
2015-02-03,13.8151034621
2015-02-04,13.7949941412
2015-02-05,13.9826811363
2015-02-06,13.7145568576
2015-02-09,13.9558687084
2015-02-10,13.9692749224
2015-02-11,13.9424624945
2015-02-12,14.1837743454
2015-02-13,14.8138664004
2015-02-17,14.9814440746
2015-02-18,14.9211161119
2015-02-19,14.9546316467
2015-02-20,15.0350689304
2015-02-23,15.0886937861
2015-02-24,15.0618813582
2015-02-25,15.0752875722
2015-02-26,15.1356155349
2015-02-27,15.0277928062
2015-03-02,15.162571217
2015-03-03,15.1288766143
2015-03-04,15.0884430911
2015-03-05,14.8391030311
2015-03-06,14.663891097
2015-03-09,14.7178024613
2015-03-10,14.6099797327
2015-03-11,14.3741175138
2015-03-12,14.6234575738
2015-03-13,14.5156348451
2015-03-16,14.7649749051
2015-03-17,14.6167186532
2015-03-18,14.7784527462
2015-03-19,14.7649749051
2015-03-20,14.8862754749
2015-03-23,14.8660587132
2015-03-24,14.8525808722
2015-03-25,14.6032408122
2015-03-26,14.663891097
2015-03-27,14.8660587132
2015-03-30,14.8930143954
2015-03-31,14.9064922365
2015-04-01,14.7986695078
2015-04-02,14.9064922365
2015-04-06,14.9199700776
2015-04-07,14.6841078586
2015-04-08,14.7784527462
2015-04-09,14.6571521765
2015-04-10,14.6975856997
2015-04-13,14.5628072889
2015-04-14,14.5965018916
2015-04-15,14.3875953548
2015-04-16,14.1989055797
2015-04-17,14.0371714867
2015-04-20,14.0573882483
2015-04-21,14.2460780235
2015-04-22,14.3808564343
2015-04-23,14.2595558646
2015-04-24,14.6841078586
2015-04-27,14.0169547251
2015-04-28,14.1921666592
2015-04-29,13.9832601224
2015-04-30,14.0439104073
2015-05-01,14.1584720565
2015-05-04,14.1989055797
2015-05-05,14.0371714867
2015-05-06,13.9360876786
2015-05-07,13.9563044402
2015-05-08,14.1584720565
2015-05-11,14.1719498975
2015-05-12,14.0506493278
2015-05-13,14.0169547251
2015-05-14,14.2460780235
2015-05-15,14.2056445002
2015-05-18,14.32694507
2015-05-19,14.1180385332
2015-05-20,14.091082851
2015-05-21,14.165210977
2015-05-22,14.0978217716
2015-05-26,13.915870917
2015-05-27,13.9832601224
2015-05-28,13.9091319964
2015-05-29,13.841742791
2015-06-01,13.8485213135
2015-06-02,13.9095280153
2015-06-03,13.9840917619
2015-06-04,13.6993938201
2015-06-05,13.6858367753
2015-06-08,13.5299307595
2015-06-09,13.4689240577
2015-06-10,13.6722797304
2015-06-11,13.6587226856
2015-06-12,13.5434878043
2015-06-15,13.4824811025
2015-06-16,13.6248300734
2015-06-17,13.5841589389
2015-06-18,13.712950865
2015-06-19,13.6316085959
2015-06-22,13.6993938201
2015-06-23,13.5095951922
2015-06-24,13.3130180419
2015-06-25,13.4146958783
2015-06-26,13.3536891765
2015-06-29,12.946977831
2015-06-30,13.0622127122
2015-07-01,13.1503335037
2015-07-02,13.0622127122
2015-07-06,12.9266422637
2015-07-07,13.1096623692
2015-07-08,12.8791926067
2015-07-09,13.0757697571
2015-07-10,13.3197965643
2015-07-13,13.4757025801
2015-07-14,13.4960381474
2015-07-15,13.4079173559
2015-07-16,13.6316085959
2015-07-17,13.6383871183
2015-07-20,13.5502663268
2015-07-21,13.4214744007
2015-07-22,14.1467763001
2015-07-23,14.0789910759
2015-07-24,14.0993266432
2015-07-27,13.9773132395
2015-07-28,14.2891252711
2015-07-29,14.3636890177
2015-07-30,14.384024585
2015-07-31,14.4382527644
2015-08-03,14.3026823159
2015-08-04,14.3026823159
2015-08-05,14.336574928
2015-08-06,14.065434031
2015-08-07,14.1671118674
2015-08-10,14.3433534505
2015-08-11,14.4179171971
2015-08-12,14.4382527644
2015-08-13,14.2891252711
2015-08-14,14.336574928
2015-08-17,14.384024585
2015-08-18,14.2416756141
2015-08-19,14.207783002
2015-08-20,13.7197293874
2015-08-21,13.2926824746
2015-08-24,12.7029510237
2015-08-25,12.5334879631
2015-08-26,12.946977831
2015-08-27,13.0418771449
2015-08-28,13.0825482795
2015-08-31,12.8779203085
2015-09-01,12.4618434341
2015-09-02,12.8847412408
2015-09-03,13.05526455
2015-09-04,12.8438156466
2015-09-08,13.2667134534
2015-09-09,13.0620854824
2015-09-10,13.1098320089
2015-09-11,13.4099530331
2015-09-14,13.5054460862
2015-09-15,13.5463716804
2015-09-16,13.8328508398
2015-09-17,13.9692694872
2015-09-18,13.7305368543
2015-09-21,13.723715922
2015-09-22,13.4372367625
2015-09-23,13.3826693036
2015-09-24,13.2803553181
2015-09-25,13.1643994679
2015-09-28,12.850636579
2015-09-29,12.7824272553
2015-09-30,13.0484436176
2015-10-01,13.0893692118
2015-10-02,13.3963111683
2015-10-05,13.6623275307
2015-10-06,13.6827903278
2015-10-07,13.8192089751
2015-10-08,14.2489277142
2015-10-09,14.3512416997
2015-10-12,14.2966742408
2015-10-13,14.2966742408
2015-10-14,14.2216439847
