date,JEC
2015-01-02,33.7502700293
2015-01-05,32.5330223871
2015-01-06,31.9432999269
2015-01-07,31.5199094427
2015-01-08,32.6539910969
2015-01-09,31.776967951
2015-01-12,30.8167788171
2015-01-13,30.438751599
2015-01-14,30.1590114576
2015-01-15,29.1534590576
2015-01-16,29.4483202877
2015-01-20,29.4634413764
2015-01-21,29.9246345824
2015-01-22,29.9397556712
2015-01-23,30.083406014
2015-01-26,30.2194958125
2015-01-27,29.5768495418
2015-01-28,29.0022481703
2015-01-29,29.2971094004
2015-01-30,28.8056740169
2015-02-02,30.1287692802
2015-02-03,31.0889584141
2015-02-04,30.0909665584
2015-02-05,30.8999448051
2015-02-06,30.9301869825
2015-02-09,31.3308958337
2015-02-10,31.3460169224
2015-02-11,31.7089230517
2015-02-12,32.1776768021
2015-02-13,32.7144754518
2015-02-17,32.6993543631
2015-02-18,33.1303053917
2015-02-19,33.1227448473
2015-02-20,33.5990591421
2015-02-23,33.4176060774
2015-02-24,33.6519829526
2015-02-25,33.8334360173
2015-02-26,33.6746645857
2015-02-27,33.5234536985
2015-03-02,33.410045533
2015-03-03,33.2588346458
2015-03-04,33.1000632142
2015-03-05,33.1529870248
2015-03-06,32.5783856533
2015-03-09,32.7069149074
2015-03-10,32.7749598067
2015-03-11,32.5405829315
2015-03-12,32.9866550488
2015-03-13,32.67667273
2015-03-16,33.0093366819
2015-03-17,32.8808074277
2015-03-18,33.7427094849
2015-03-19,33.2588346458
2015-03-20,33.8712387391
2015-03-23,33.9922074489
2015-03-24,34.1056156143
2015-03-25,33.9846469045
2015-03-26,33.9922074489
2015-03-27,33.4780904323
2015-03-30,33.9922074489
2015-03-31,34.1434183361
2015-04-01,33.5007720654
2015-04-02,33.4780904323
2015-04-06,34.2114632354
2015-04-07,33.9846469045
2015-04-08,34.2114632354
2015-04-09,34.7028986188
2015-04-10,35.2321367241
2015-04-13,35.0960469256
2015-04-14,35.3833476114
2015-04-15,36.4493843663
2015-04-16,36.1091598701
2015-04-17,35.8823435392
2015-04-20,35.8294197287
2015-04-21,35.6252850309
2015-04-22,35.4967557768
2015-04-23,35.6555272084
2015-04-24,35.0128809377
2015-04-27,35.2774999903
2015-04-28,33.2663951902
2015-04-29,33.3798033556
2015-04-30,32.404493133
2015-05-01,32.321327145
2015-05-04,32.4271747661
2015-05-05,32.3591298668
2015-05-06,32.4725380322
2015-05-07,32.7295965405
2015-05-08,33.0773815811
2015-05-11,33.1076237586
2015-05-12,32.9110496052
2015-05-13,33.2890768233
2015-05-14,33.4856509767
2015-05-15,33.2663951902
2015-05-18,33.4629693436
2015-05-19,33.0698210368
2015-05-20,33.3949244443
2015-05-21,33.5083326097
2015-05-22,32.9412917826
2015-05-26,32.5481434758
2015-05-27,32.9337312383
2015-05-28,32.7673992623
2015-05-29,32.7069149074
2015-06-01,32.8505652503
2015-06-02,33.0093366819
2015-06-03,33.4554087992
2015-06-04,32.6313094638
2015-06-05,32.9942155932
2015-06-08,32.2457217014
2015-06-09,32.4649774879
2015-06-10,33.0168972263
2015-06-11,32.8505652503
2015-06-12,32.593506742
2015-06-15,31.9811026487
2015-06-16,32.2684033345
2015-06-17,32.3515693224
2015-06-18,32.6539910969
2015-06-19,32.9186101496
2015-06-22,33.0849421255
2015-06-23,33.1605475691
2015-06-24,32.5330223871
2015-06-25,32.132313536
2015-06-26,31.9281788382
2015-06-29,30.7336128291
2015-06-30,30.710931196
2015-07-01,30.7260522847
2015-07-02,30.5597203088
2015-07-06,30.1816930907
2015-07-07,30.2799801674
2015-07-08,30.1363298246
2015-07-09,30.1212087358
2015-07-10,30.355585611
2015-07-13,30.8697026276
2015-07-14,31.2250482126
2015-07-15,30.3858277885
2015-07-16,30.5824019419
2015-07-17,30.2270563569
2015-07-20,30.4311910547
2015-07-21,30.8318999058
2015-07-22,30.8167788171
2015-07-23,30.4614332321
2015-07-24,29.9095134937
2015-07-27,29.9397556712
2015-07-28,31.5199094427
2015-07-29,32.2759638788
2015-07-30,32.4422958548
2015-07-31,31.8450128502
2015-08-03,32.1701162578
2015-08-04,32.0718291811
2015-08-05,32.2306006127
2015-08-06,32.8808074277
2015-08-07,32.6842332743
2015-08-10,33.7200278519
2015-08-11,33.5234536985
2015-08-12,33.3873639
2015-08-13,33.1076237586
2015-08-14,33.3873639
2015-08-17,33.221031924
2015-08-18,32.782520351
2015-08-19,32.5405829315
2015-08-20,31.5652727089
2015-08-21,30.4765543208
2015-08-24,28.9266427267
2015-08-25,28.011816859
2015-08-26,28.4200862545
2015-08-27,29.7885447839
2015-08-28,30.2119352682
2015-08-31,30.5521597644
2015-09-01,29.8490291388
2015-09-02,30.2194958125
2015-09-03,30.4992359539
2015-09-04,29.811226417
2015-09-08,30.2951012561
2015-09-09,30.083406014
2015-09-10,30.1212087358
2015-09-11,30.3858277885
2015-09-14,29.6751366185
2015-09-15,29.6373338967
2015-09-16,29.6902577072
2015-09-17,29.6373338967
2015-09-18,28.6469025854
2015-09-21,28.7149474846
2015-09-22,28.283996456
2015-09-23,27.9740141372
2015-09-24,28.2386331898
2015-09-25,28.2461937342
2015-09-28,27.7093950845
2015-09-29,28.2083910124
2015-09-30,28.2991175447
2015-10-01,27.7925610725
2015-10-02,28.2764359117
2015-10-05,29.7356209734
2015-10-06,30.0607243809
2015-10-07,30.5370386757
2015-10-08,31.1948060352
2015-10-09,31.2628509344
2015-10-12,30.9301869825
2015-10-13,30.9075053494
2015-10-14,30.7336128291
2015-10-15,30.6731284742
2015-10-16,29.728060429
2015-10-19,29.53904682
2015-10-20,29.7431815178
2015-10-21,29.4331991989
2015-10-22,29.622212808
2015-10-23,30.0531638366
2015-10-26,29.9926794817
2015-10-27,28.6317814966
2015-10-28,29.4029570215
2015-10-29,29.5163651869
2015-10-30,30.3480250667
2015-11-02,31.1796849464
2015-11-03,31.4443039991
2015-11-04,31.4291829104
2015-11-05,31.6333176081
2015-11-06,31.1570033133
2015-11-09,31.0738373254
2015-11-10,31.3762590998
2015-11-11,31.4140618216
2015-11-12,30.5672808532
2015-11-13,30.7865366396
2015-11-16,31.3460169224
2015-11-17,30.9453080712
2015-11-18,31.6257570638
2015-11-19,32.3137666006
2015-11-20,32.0415870036
2015-11-23,32.9186101496
2015-11-24,33.2437135571
2015-11-25,32.6993543631
2015-11-27,32.865686339
2015-11-30,33.3722428112
2015-12-01,33.9922074489
2015-12-02,33.3722428112
2015-12-03,33.8183149286
2015-12-04,33.7200278519
2015-12-07,33.1907897466
2015-12-08,32.5254618428
2015-12-09,32.3364482337
2015-12-10,32.321327145
2015-12-11,31.6559992412
2015-12-14,31.5274699871
2015-12-15,31.8676944833
2015-12-16,32.1852373465
2015-12-17,31.4518645434
2015-12-18,30.8318999058
2015-12-21,30.9528686156
2015-12-22,31.7391652292
2015-12-23,32.782520351
2015-12-24,32.7371570849
2015-12-28,32.2608427901
2015-12-29,32.5632645646
2015-12-30,32.0718291811
2015-12-31,31.7164835961
