date,JWN
2015-01-02,53.8530345584
2015-01-05,53.1040259113
2015-01-06,52.7673156021
2015-01-07,54.5745566496
2015-01-08,54.8219356523
2015-01-09,53.9423658649
2015-01-12,53.8599061973
2015-01-13,53.5644257219
2015-01-14,52.9391065762
2015-01-15,52.0732800668
2015-01-16,52.8360319917
2015-01-20,52.025178594
2015-01-21,52.2038412071
2015-01-22,53.1864855789
2015-01-23,52.9665931321
2015-01-26,53.5919122778
2015-01-27,54.0935419221
2015-01-28,53.5025809712
2015-01-29,53.7843181687
2015-01-30,52.3618889033
2015-02-02,52.6161395449
2015-02-03,54.2103597845
2015-02-04,54.2172314234
2015-02-05,54.121028478
2015-02-06,53.9423658649
2015-02-09,53.9561091428
2015-02-10,54.4646104261
2015-02-11,54.30656273
2015-02-12,54.5401984547
2015-02-13,54.5676850106
2015-02-17,54.2172314234
2015-02-18,53.6331421115
2015-02-19,53.0078229658
2015-02-20,56.1687768891
2015-02-23,55.7358636344
2015-02-24,55.3579234914
2015-02-25,56.0450873878
2015-02-26,55.8103869356
2015-02-27,55.5204628476
2015-03-02,55.6930367095
2015-03-03,55.2029269418
2015-03-04,55.1891210328
2015-03-05,55.6723278461
2015-03-06,55.8172898901
2015-03-09,55.4583362574
2015-03-10,54.8370703545
2015-03-11,54.7197201285
2015-03-12,55.4169185305
2015-03-13,55.4721421663
2015-03-16,55.3824037581
2015-03-17,55.3685978492
2015-03-18,55.5618805745
2015-03-19,56.0519903423
2015-03-20,56.8251212435
2015-03-23,56.5973237458
2015-03-24,56.3488173847
2015-03-25,55.133897397
2015-03-26,54.6299817203
2015-03-27,55.0372560343
2015-03-30,55.2374417141
2015-03-31,55.4445303484
2015-04-01,54.9130028538
2015-04-02,55.1960239873
2015-04-06,55.423821485
2015-04-07,55.1269944425
2015-04-08,55.568783529
2015-04-09,55.2305387597
2015-04-10,55.3893067126
2015-04-13,55.2581505776
2015-04-14,54.6644964927
2015-04-15,53.9534921817
2015-04-16,54.1881926338
2015-04-17,52.7592810574
2015-04-20,52.9456608282
2015-04-21,53.5738296855
2015-04-22,53.8499478645
2015-04-23,54.1812896794
2015-04-24,53.9534921817
2015-04-27,53.2355849162
2015-04-28,53.3874499147
2015-04-29,52.8904371924
2015-04-30,52.158724018
2015-05-01,52.5314835597
2015-05-04,52.4900658328
2015-05-05,52.0689856098
2015-05-06,52.0758885643
2015-05-07,53.000884464
2015-05-08,53.3391292333
2015-05-11,53.1320405991
2015-05-12,53.1113317356
2015-05-13,52.579804241
2015-05-14,51.1854074369
2015-05-15,51.6340994778
2015-05-18,51.882605839
2015-05-19,51.4063019802
2015-05-20,51.5719728876
2015-05-21,51.9999560651
2015-05-22,51.9309265203
2015-05-26,51.3510783443
2015-05-27,51.3234665264
2015-05-28,51.0806547762
