date,LLL
2015-01-02,117.3969947785
2015-01-05,114.3029960142
2015-01-06,113.8517878611
2015-01-07,115.7579120998
2015-01-08,117.7100779868
2015-01-09,117.1115365592
2015-01-12,116.7708283619
2015-01-13,116.2551619012
2015-01-14,115.8499953963
2015-01-15,115.7579120998
2015-01-16,115.7210787812
2015-01-20,115.8407870667
2015-01-21,115.8407870667
2015-01-22,118.0968278323
2015-01-23,117.6272030199
2015-01-26,117.6548280088
2015-01-27,115.7579120998
2015-01-28,114.7265791784
2015-01-29,113.3177047411
2015-01-30,113.372954719
2015-02-02,114.5792459039
2015-02-03,116.8721199881
2015-02-04,117.0194532626
2015-02-05,117.6916613275
2015-02-06,118.7045775896
2015-02-09,117.4614530861
2015-02-10,118.5388276558
2015-02-11,118.2073277882
2015-02-12,119.0268691275
2015-02-13,119.201827391
2015-02-17,119.0729107758
2015-02-18,119.3215356765
2015-02-19,120.7948684214
2015-02-20,122.3510761332
2015-02-23,121.5039098048
2015-02-24,121.955117958
2015-02-25,120.7027851248
2015-02-26,120.9974516738
2015-02-27,119.7759095231
2015-03-02,121.4694111411
2015-03-03,119.2206630909
2015-03-04,118.3692852283
2015-03-05,117.7677682601
2015-03-06,115.9539632484
2015-03-09,116.8608657542
2015-03-10,114.6306259184
2015-03-11,115.7503728899
2015-03-12,116.2593487861
2015-03-13,115.5745448531
2015-03-16,117.5179073656
2015-03-17,117.5456696872
2015-03-18,117.6289566521
2015-03-19,117.3143170072
2015-03-20,119.0170727324
2015-03-23,118.1471866554
2015-03-24,117.7029895097
2015-03-25,115.343192173
2015-03-26,115.8336598548
2015-03-27,115.889184498
2015-03-30,117.2402841495
2015-03-31,116.4074145013
2015-04-01,115.9447091412
2015-04-02,115.6670859251
2015-04-06,116.3518898581
2015-04-07,116.0187419988
2015-04-08,116.8886280758
2015-04-09,116.4259227157
2015-04-10,116.6387671814
2015-04-13,115.2876675298
2015-04-14,114.7139128832
2015-04-15,114.4177814528
2015-04-16,115.1396018146
2015-04-17,113.3072885884
2015-04-20,114.4640519888
2015-04-21,114.1216500223
2015-04-22,114.5936094896
2015-04-23,114.5103225248
2015-04-24,114.1679205583
2015-04-27,112.7983126923
2015-04-28,113.4461001965
2015-04-29,112.5762141194
2015-04-30,106.3389458649
2015-05-01,105.978035684
2015-05-04,106.6073149738
2015-05-05,104.9230674629
2015-05-06,105.385772823
2015-05-07,106.3296917577
2015-05-08,107.7640783741
2015-05-11,107.9399064109
2015-05-12,108.0602098046
2015-05-13,109.587137493
2015-05-14,111.6230410776
2015-05-15,111.2415669854
2015-05-18,111.8649514775
2015-05-19,112.1347746159
2015-05-20,112.6278996619
2015-05-21,112.6837251388
2015-05-22,111.2043500008
2015-05-26,109.5388899397
2015-05-27,110.357663601
2015-05-28,109.9854937549
2015-05-29,109.6133239089
2015-06-01,109.7156706166
2015-06-02,109.4086304936
2015-06-03,110.2180999087
2015-06-04,108.7108120322
2015-06-05,107.6966492017
2015-06-08,107.0918732019
2015-06-09,106.1707528329
2015-06-10,107.7803874171
2015-06-11,109.0457648937
2015-06-12,108.4409888938
2015-06-15,107.4547388018
2015-06-16,107.6780407094
2015-06-17,108.3386421862
2015-06-18,109.4458474782
2015-06-19,108.6456823091
2015-06-22,109.2318498167
2015-06-23,108.5898568322
2015-06-24,107.6780407094
2015-06-25,106.3289250175
2015-06-26,106.7197033558
2015-06-29,105.3985004023
2015-06-30,105.4915428638
2015-07-01,107.7896916632
2015-07-02,107.6873449556
2015-07-06,107.9385596016
2015-07-07,110.0134064934
2015-07-08,109.0550691398
2015-07-09,109.4086304936
2015-07-10,111.8556472314
2015-07-13,112.6278996619
2015-07-14,113.1954586772
2015-07-15,113.5583242771
2015-07-16,114.7120507998
2015-07-17,114.1351875384
2015-07-20,114.2561427384
2015-07-21,113.2791968925
2015-07-22,113.2791968925
2015-07-23,113.4466733232
2015-07-24,112.2557298159
2015-07-27,111.8277344929
2015-07-28,113.1210247079
2015-07-29,115.4098692612
