date,RHT
2015-01-02,68.99
2015-01-05,68.09
2015-01-06,67.5
2015-01-07,68.8
2015-01-08,69.03
2015-01-09,68.74
2015-01-12,67.62
2015-01-13,67.44
2015-01-14,66.38
2015-01-15,64.37
2015-01-16,65.19
2015-01-20,65.15
2015-01-21,64.79
2015-01-22,65.92
2015-01-23,66.06
2015-01-26,66.27
2015-01-27,65.08
2015-01-28,64.66
2015-01-29,65.75
2015-01-30,63.79
2015-02-02,64.24
2015-02-03,64.99
2015-02-04,64.79
2015-02-05,65.31
2015-02-06,64.97
2015-02-09,64.9
2015-02-10,65.74
2015-02-11,67.35
2015-02-12,67.9
2015-02-13,68.47
2015-02-17,68.6
2015-02-18,69.23
2015-02-19,69.47
2015-02-20,70.46
2015-02-23,68.54
2015-02-24,68.89
2015-02-25,69.76
2015-02-26,69.4
2015-02-27,69.12
2015-03-02,69.66
2015-03-03,68.5
2015-03-04,67.19
2015-03-05,67.98
2015-03-06,66.58
2015-03-09,66.83
2015-03-10,65.13
2015-03-11,65.12
2015-03-12,66.34
2015-03-13,66.15
2015-03-16,67.3
2015-03-17,67.09
2015-03-18,67.07
2015-03-19,69.18
2015-03-20,69.5
2015-03-23,69.47
2015-03-24,69.4
2015-03-25,68.45
2015-03-26,75.36
2015-03-27,76.52
2015-03-30,76.69
2015-03-31,75.75
2015-04-01,75.39
2015-04-02,75.1
2015-04-06,75.37
2015-04-07,75.38
2015-04-08,75.04
2015-04-09,75.48
2015-04-10,75.75
2015-04-13,75.03
2015-04-14,74.92
2015-04-15,75.9
2015-04-16,74.81
2015-04-17,73.93
2015-04-20,74.46
2015-04-21,75.22
2015-04-22,75.76
2015-04-23,76.85
2015-04-24,76.83
2015-04-27,76.57
2015-04-28,76.56
2015-04-29,76.42
2015-04-30,75.26
2015-05-01,75.36
2015-05-04,74.78
2015-05-05,75.0
2015-05-06,74.75
2015-05-07,74.76
2015-05-08,75.98
2015-05-11,76.38
2015-05-12,76.14
2015-05-13,76.59
2015-05-14,78.01
2015-05-15,77.77
2015-05-18,78.49
2015-05-19,78.14
2015-05-20,78.48
2015-05-21,78.83
2015-05-22,78.81
2015-05-26,77.28
2015-05-27,78.48
2015-05-28,77.78
2015-05-29,77.27
2015-06-01,76.74
2015-06-02,77.51
2015-06-03,77.83
2015-06-04,77.03
2015-06-05,77.9
2015-06-08,78.24
2015-06-09,77.37
2015-06-10,78.41
2015-06-11,78.55
2015-06-12,78.19
2015-06-15,78.65
2015-06-16,78.51
2015-06-17,78.26
2015-06-18,78.49
2015-06-19,79.3
2015-06-22,79.47
2015-06-23,79.62
2015-06-24,78.52
2015-06-25,79.12
2015-06-26,77.48
2015-06-29,75.45
2015-06-30,75.93
2015-07-01,77.52
2015-07-02,76.88
2015-07-06,76.62
2015-07-07,76.86
2015-07-08,75.99
2015-07-09,77.26
2015-07-10,78.54
2015-07-13,79.56
2015-07-14,80.69
2015-07-15,80.1
2015-07-16,80.59
2015-07-17,79.06
2015-07-20,79.19
2015-07-21,78.29
2015-07-22,79.41
2015-07-23,79.34
2015-07-24,78.96
2015-07-27,77.16
2015-07-28,78.73
2015-07-29,79.27
2015-07-30,79.45
2015-07-31,79.08
2015-08-03,78.29
2015-08-04,79.04
2015-08-05,80.14
2015-08-06,77.64
2015-08-07,77.59
2015-08-10,79.16
2015-08-11,77.41
2015-08-12,77.05
2015-08-13,76.97
2015-08-14,78.32
2015-08-17,78.78
2015-08-18,78.66
2015-08-19,77.51
2015-08-20,75.13
2015-08-21,72.33
2015-08-24,69.03
2015-08-25,68.96
2015-08-26,73.05
2015-08-27,74.2
2015-08-28,73.86
2015-08-31,72.21
2015-09-01,70.04
2015-09-02,70.27
2015-09-03,69.68
2015-09-04,68.66
2015-09-08,71.02
2015-09-09,69.66
2015-09-10,70.37
2015-09-11,70.53
2015-09-14,69.79
2015-09-15,71.76
2015-09-16,70.99
2015-09-17,71.38
2015-09-18,71.06
2015-09-21,72.72
2015-09-22,72.72
2015-09-23,73.25
2015-09-24,73.16
2015-09-25,72.92
2015-09-28,70.75
2015-09-29,70.49
2015-09-30,71.88
2015-10-01,73.19
2015-10-02,73.62
2015-10-05,74.12
2015-10-06,72.79
2015-10-07,74.17
2015-10-08,75.14
2015-10-09,76.48
2015-10-12,75.98
2015-10-13,74.72
2015-10-14,75.12
2015-10-15,77.7
2015-10-16,77.62
2015-10-19,78.9
2015-10-20,78.26
2015-10-21,76.81
2015-10-22,76.97
2015-10-23,77.39
2015-10-26,77.78
2015-10-27,77.87
2015-10-28,79.08
2015-10-29,78.85
2015-10-30,79.11
2015-11-02,80.14
2015-11-03,80.85
2015-11-04,82.55
2015-11-05,81.57
2015-11-06,81.02
2015-11-09,80.29
2015-11-10,80.8
2015-11-11,81.46
2015-11-12,79.81
2015-11-13,77.83
2015-11-16,79.09
2015-11-17,80.28
2015-11-18,80.53
2015-11-19,81.32
2015-11-20,82.21
2015-11-23,82.75
2015-11-24,82.05
2015-11-25,82.52
2015-11-27,82.5
2015-11-30,81.41
2015-12-01,82.22
2015-12-02,81.61
2015-12-03,80.33
2015-12-04,81.89
2015-12-07,80.52
2015-12-08,81.0
2015-12-09,79.05
2015-12-10,79.63
2015-12-11,78.58
2015-12-14,77.49
2015-12-15,78.06
2015-12-16,78.77
2015-12-17,78.86
2015-12-18,81.4
2015-12-21,80.44
2015-12-22,80.89
2015-12-23,82.2
2015-12-24,81.74
2015-12-28,82.34
2015-12-29,83.53
2015-12-30,83.65
2015-12-31,82.81
