date,SNI
2015-01-02,72.2793606311
2015-01-05,70.6517900928
2015-01-06,69.2431325508
2015-01-07,68.986147729
2015-01-08,71.5750318601
2015-01-09,71.3180470383
2015-01-12,71.3085290819
2015-01-13,71.8129807692
2015-01-14,70.1949281873
2015-01-15,69.4144557654
2015-01-16,70.0236049727
2015-01-20,68.281818958
2015-01-21,68.2247112198
2015-01-22,69.4905994163
2015-01-23,69.1860248126
2015-01-26,69.9474613218
2015-01-27,69.5001173727
2015-01-28,68.3008548708
2015-01-29,68.9100040781
2015-01-30,67.6631517943
2015-02-02,68.2913369144
2015-02-03,70.0521588418
2015-02-04,70.5090207473
2015-02-05,68.2342291762
2015-02-06,69.4715635036
2015-02-09,69.8332458454
2015-02-10,70.3091436636
2015-02-11,70.10926658
2015-02-12,69.1098811617
2015-02-13,69.4810814599
2015-02-17,69.6428867181
2015-02-18,69.1669888999
2015-02-19,69.3954198527
2015-02-20,70.0236049727
2015-02-23,70.7088978309
2015-02-24,70.813595351
2015-02-25,70.7469696564
2015-02-26,69.5667430672
2015-02-27,69.0320549514
2015-03-02,69.1657269804
2015-03-03,70.7220513174
2015-03-04,70.3019392265
2015-03-05,70.2064592058
2015-03-06,69.9391151479
2015-03-09,70.1491711934
2015-03-10,69.0225069493
2015-03-11,68.9556709349
2015-03-12,69.1943709866
2015-03-13,68.6596828708
2015-03-16,69.4044270321
2015-03-17,68.4973668356
2015-03-18,67.6189506454
2015-03-19,67.1320025399
2015-03-20,68.268214786
2015-03-23,67.9053907074
2015-03-24,68.0104187301
2015-03-25,67.0747145275
2015-03-26,66.2440383476
2015-03-27,65.7857342483
2015-03-30,66.4731903972
2015-03-31,65.461102178
2015-04-01,65.6138702111
2015-04-02,66.2822303558
2015-04-06,66.1103663186
2015-04-07,65.9862422917
2015-04-08,67.007878513
2015-04-09,66.167654331
2015-04-10,65.8907622711
2015-04-13,66.4159023848
2015-04-14,66.4254503869
2015-04-15,66.30132636
2015-04-16,66.7405344551
2015-04-17,65.461102178
2015-04-20,66.5686704179
2015-04-21,65.6425142173
2015-04-22,66.721438451
2015-04-23,67.0269745171
2015-04-24,66.7500824572
2015-04-27,65.9671462876
2015-04-28,65.7857342483
2015-04-29,66.3299703662
2015-04-30,66.7023424468
2015-05-01,67.0556185233
2015-05-04,68.6405868666
2015-05-05,67.5330186267
2015-05-06,66.8264664737
2015-05-07,64.9646060705
2015-05-08,64.9264140622
2015-05-11,63.9620658533
2015-05-12,63.6947217954
2015-05-13,63.5037617541
2015-05-14,63.1504856775
2015-05-15,64.0957378823
2015-05-18,65.2605941346
2015-05-19,64.8118380374
2015-05-20,65.2319501284
2015-05-21,65.5088421883
