date,SRCL
2015-01-02,131.64
2015-01-05,130.1
2015-01-06,130.5
2015-01-07,131.3
2015-01-08,133.27
2015-01-09,131.92
2015-01-12,132.325
2015-01-13,135.205
2015-01-14,134.75
2015-01-15,133.51
2015-01-16,134.15
2015-01-20,134.2
2015-01-21,134.29
2015-01-22,135.36
2015-01-23,135.1
2015-01-26,135.275
2015-01-27,134.44
2015-01-28,133.445
2015-01-29,133.33
2015-01-30,131.29
2015-02-02,131.98
2015-02-03,133.49
2015-02-04,133.34
2015-02-05,134.97
2015-02-06,130.19
2015-02-09,130.83
2015-02-10,131.47
2015-02-11,131.59
2015-02-12,131.805
2015-02-13,131.07
2015-02-17,131.91
2015-02-18,134.65
2015-02-19,134.09
2015-02-20,134.61
2015-02-23,134.86
2015-02-24,134.57
2015-02-25,135.4
2015-02-26,135.0
2015-02-27,134.97
2015-03-02,137.145
2015-03-03,136.295
2015-03-04,135.11
2015-03-05,136.285
2015-03-06,136.19
2015-03-09,137.54
2015-03-10,136.06
2015-03-11,135.67
2015-03-12,136.88
2015-03-13,136.41
2015-03-16,138.68
2015-03-17,138.81
2015-03-18,140.51
2015-03-19,140.0
2015-03-20,139.79
2015-03-23,140.525
2015-03-24,140.335
2015-03-25,138.6
2015-03-26,138.285
2015-03-27,138.96
2015-03-30,140.86
2015-03-31,140.43
2015-04-01,138.8
2015-04-02,140.14
2015-04-06,141.29
2015-04-07,139.915
2015-04-08,140.66
2015-04-09,141.54
2015-04-10,141.93
2015-04-13,141.56
2015-04-14,140.81
2015-04-15,141.19
2015-04-16,140.83
2015-04-17,138.06
2015-04-20,138.92
2015-04-21,139.38
2015-04-22,139.66
2015-04-23,140.5
2015-04-24,136.94
2015-04-27,135.06
2015-04-28,135.29
2015-04-29,134.065
2015-04-30,133.43
2015-05-01,134.18
2015-05-04,135.24
2015-05-05,132.76
2015-05-06,132.8
2015-05-07,133.1
2015-05-08,134.01
2015-05-11,133.57
2015-05-12,134.34
2015-05-13,134.42
2015-05-14,136.71
2015-05-15,136.8
2015-05-18,138.2
2015-05-19,138.46
2015-05-20,137.8
2015-05-21,138.25
2015-05-22,138.24
2015-05-26,137.36
2015-05-27,138.45
2015-05-28,138.17
2015-05-29,137.3
2015-06-01,137.58
2015-06-02,136.88
2015-06-03,137.53
2015-06-04,136.715
2015-06-05,136.4
2015-06-08,136.4
2015-06-09,135.34
2015-06-10,136.61
2015-06-11,137.09
2015-06-12,135.82
2015-06-15,134.75
2015-06-16,135.46
2015-06-17,135.61
2015-06-18,137.475
2015-06-19,137.09
2015-06-22,137.52
2015-06-23,137.39
2015-06-24,135.71
2015-06-25,135.01
2015-06-26,135.73
2015-06-29,133.27
2015-06-30,133.91
2015-07-01,134.855
2015-07-02,134.64
2015-07-06,136.93
2015-07-07,136.35
2015-07-08,133.79
2015-07-09,133.85
2015-07-10,134.77
2015-07-13,135.52
2015-07-14,135.16
2015-07-15,134.56
2015-07-16,138.92
2015-07-17,136.42
2015-07-20,135.18
2015-07-21,133.42
2015-07-22,133.24
2015-07-23,132.63
2015-07-24,132.92
2015-07-27,132.33
2015-07-28,134.61
2015-07-29,140.26
2015-07-30,140.41
2015-07-31,140.97
2015-08-03,140.93
2015-08-04,141.63
2015-08-05,143.3
2015-08-06,141.86
2015-08-07,142.95
2015-08-10,144.3
2015-08-11,144.28
2015-08-12,144.78
2015-08-13,144.97
2015-08-14,145.53
2015-08-17,146.62
2015-08-18,148.25
2015-08-19,148.26
2015-08-20,146.62
2015-08-21,143.43
2015-08-24,138.03
2015-08-25,135.68
2015-08-26,139.25
2015-08-27,141.84
2015-08-28,142.0
2015-08-31,141.14
2015-09-01,139.07
2015-09-02,141.22
2015-09-03,142.1
2015-09-04,141.56
2015-09-08,145.61
2015-09-09,136.25
2015-09-10,138.51
2015-09-11,140.02
2015-09-14,137.06
2015-09-15,138.34
2015-09-16,137.15
2015-09-17,138.18
2015-09-18,137.05
2015-09-21,139.07
2015-09-22,138.29
2015-09-23,138.5
2015-09-24,138.89
2015-09-25,140.05
2015-09-28,138.26
2015-09-29,138.21
2015-09-30,139.31
2015-10-01,140.48
2015-10-02,141.87
2015-10-05,144.13
2015-10-06,143.28
2015-10-07,144.7
2015-10-08,146.83
2015-10-09,148.63
2015-10-12,149.62
2015-10-13,149.28
2015-10-14,147.51
2015-10-15,148.52
2015-10-16,149.48
2015-10-19,150.84
2015-10-20,149.93
2015-10-21,148.91
2015-10-22,149.04
2015-10-23,120.31
2015-10-26,123.09
2015-10-27,121.92
2015-10-28,121.5
2015-10-29,122.45
2015-10-30,121.37
2015-11-02,124.32
2015-11-03,125.0
2015-11-04,123.92
2015-11-05,124.09
2015-11-06,125.88
2015-11-09,123.94
2015-11-10,124.53
2015-11-11,123.97
2015-11-12,122.99
2015-11-13,122.77
2015-11-16,122.81
2015-11-17,122.31
2015-11-18,122.21
2015-11-19,120.82
2015-11-20,121.91
2015-11-23,123.3
2015-11-24,123.6
2015-11-25,122.41
2015-11-27,120.69
2015-11-30,120.72
2015-12-01,120.63
2015-12-02,118.77
2015-12-03,113.64
2015-12-04,116.64
2015-12-07,115.99
2015-12-08,115.96
2015-12-09,116.55
2015-12-10,117.58
2015-12-11,116.2
2015-12-14,117.09
2015-12-15,118.53
2015-12-16,118.61
2015-12-17,118.66
2015-12-18,116.75
2015-12-21,118.29
2015-12-22,119.66
2015-12-23,121.18
2015-12-24,120.99
2015-12-28,121.64
2015-12-29,123.15
2015-12-30,121.78
2015-12-31,120.6
