date,SYMC
2015-01-02,9.7551653462
2015-01-05,9.6179297259
2015-01-06,9.4692578039
2015-01-07,9.5569361169
2015-01-08,9.7322927429
2015-01-09,9.6674870332
2015-01-12,9.6408023293
2015-01-13,9.6598628321
2015-01-14,9.6103055248
2015-01-15,9.4959425078
2015-01-16,9.7704137485
2015-01-20,9.7894742513
2015-01-21,9.7666016479
2015-01-22,10.1744964084
2015-01-23,10.1573419559
2015-01-26,10.1344693525
2015-01-27,9.888588866
2015-01-28,9.6732051841
2015-01-29,9.7589774468
2015-01-30,9.4425730999
2015-02-02,9.5073788095
2015-02-03,9.7075140892
2015-02-04,9.7589774468
2015-02-05,9.9000251677
2015-02-06,9.4444791502
2015-02-09,9.4349488988
2015-02-10,9.6217418265
2015-02-11,9.8123468547
2015-02-12,9.9686429779
2015-02-13,10.0372607881
2015-02-17,9.9114614694
2015-02-18,9.7932863519
2015-02-19,9.7570713965
2015-02-20,9.7913803016
2015-02-23,9.6941717372
2015-02-24,9.6674870332
2015-02-25,9.7748609471
2015-02-26,9.606130511
2015-02-27,9.6483131201
2015-03-02,9.6866609464
2015-03-03,9.4949218145
2015-03-04,9.3856305093
2015-03-05,9.4489044228
2015-03-06,9.2667522475
2015-03-09,9.3856305093
2015-03-10,9.1459565943
2015-03-11,8.9964000714
2015-03-12,9.0941870287
2015-03-13,8.958052245
2015-03-16,9.0846000721
2015-03-17,9.1152783332
2015-03-18,9.3070174652
2015-03-19,9.2073131166
2015-03-20,9.3492000742
2015-03-23,9.3607044221
2015-03-24,9.2494957256
2015-03-25,8.9388783318
2015-03-26,8.9273739839
2015-03-27,8.9561348537
2015-03-30,9.0309131152
2015-03-31,8.9599696363
2015-04-01,8.9465478971
2015-04-02,9.0309131152
2015-04-06,9.138287029
2015-04-07,9.1267826811
2015-04-08,9.2073131166
2015-04-09,9.2897609433
2015-04-10,9.8093739909
2015-04-13,9.2552478995
2015-04-14,9.1306174638
2015-04-15,9.1229478985
2015-04-16,9.3166044218
2015-04-17,9.2955131173
2015-04-20,9.2763392041
2015-04-21,9.2418261603
