date,ABMD
2015-07-01,66.16
2015-07-02,65.21
2015-07-06,65.7
2015-07-07,65.68
2015-07-08,64.39
2015-07-09,65.72
2015-07-10,68.04
2015-07-13,67.91
2015-07-14,69.02
2015-07-15,67.55
2015-07-16,68.84
2015-07-17,72.33
2015-07-20,72.12
2015-07-21,75.58
2015-07-22,75.18
2015-07-23,73.19
2015-07-24,73.1
2015-07-27,72.72
2015-07-28,74.12
2015-07-29,75.62
2015-07-30,77.26
2015-07-31,77.46
2015-08-03,77.4
2015-08-04,88.8
2015-08-05,92.89
2015-08-06,94.32
2015-08-07,95.68
2015-08-10,95.57
2015-08-11,100.95
2015-08-12,100.65
2015-08-13,105.75
2015-08-14,103.92
2015-08-17,106.45
2015-08-18,104.93
2015-08-19,104.55
2015-08-20,102.19
2015-08-21,97.08
2015-08-24,94.57
2015-08-25,93.88
2015-08-26,97.29
2015-08-27,98.2
2015-08-28,98.23
2015-08-31,95.9
2015-09-01,92.78
2015-09-02,95.61
2015-09-03,94.16
2015-09-04,93.82
2015-09-08,96.2
2015-09-09,94.17
2015-09-10,95.37
2015-09-11,95.57
2015-09-14,96.68
2015-09-15,100.29
2015-09-16,98.4
2015-09-17,104.08
2015-09-18,104.18
2015-09-21,103.02
2015-09-22,102.72
2015-09-23,102.4
2015-09-24,97.49
2015-09-25,95.11
2015-09-28,93.22
2015-09-29,89.03
2015-09-30,92.76
2015-10-01,89.21
2015-10-02,90.3
2015-10-05,91.84
2015-10-06,83.71
2015-10-07,84.96
2015-10-08,82.51
2015-10-09,83.63
2015-10-12,82.98
2015-10-13,82.73
2015-10-14,85.59
2015-10-15,92.83
2015-10-16,93.11
2015-10-19,94.96
2015-10-20,94.42
2015-10-21,93.54
2015-10-22,87.76
2015-10-23,92.76
2015-10-26,92.92
2015-10-27,94.13
2015-10-28,98.58
2015-10-29,70.4
2015-10-30,73.66
2015-11-02,76.5
2015-11-03,79.82
2015-11-04,80.28
2015-11-05,81.61
2015-11-06,81.09
2015-11-09,79.65
2015-11-10,81.87
2015-11-11,79.73
2015-11-12,79.36
2015-11-13,80.12
2015-11-16,78.77
2015-11-17,79.01
2015-11-18,78.79
2015-11-19,78.19
2015-11-20,81.24
2015-11-23,81.73
2015-11-24,81.5
2015-11-25,82.08
2015-11-27,83.49
2015-11-30,81.57
2015-12-01,83.84
2015-12-02,84.72
2015-12-03,79.0
2015-12-04,80.5
