date,DFS
2015-07-01,47.1236942839
2015-07-02,47.1478933738
2015-07-06,46.8333052058
2015-07-07,47.0591633777
2015-07-08,45.6475498036
2015-07-09,45.7766116161
2015-07-10,46.2847925028
2015-07-13,47.1478933738
2015-07-14,47.4060169988
2015-07-15,47.4302160886
2015-07-16,47.8416006159
2015-07-17,47.7125388034
2015-07-20,48.1239233307
2015-07-21,47.9383969753
2015-07-22,47.9948615182
2015-07-23,46.1718634169
2015-07-24,45.0183734678
2015-07-27,44.5585907608
2015-07-28,44.4537280381
2015-07-29,44.6876525733
2015-07-30,45.3974925419
2015-07-31,45.0183734678
2015-08-03,44.4859934913
2015-08-04,44.4698607647
2015-08-05,44.1617742179
2015-08-06,43.4483106359
2015-08-07,44.4050004391
2015-08-10,45.3049374573
2015-08-11,45.0130659919
2015-08-12,44.9968509105
2015-08-13,44.6644417416
2015-08-14,45.3779053236
2015-08-17,45.0292810733
2015-08-18,45.094141399
2015-08-19,45.3049374573
2015-08-20,44.9887433698
2015-08-21,43.9753007817
2015-08-24,42.4429755886
2015-08-25,41.5592536517
2015-08-26,42.9537506529
2015-08-27,44.1374515958
2015-08-28,43.7401821013
2015-08-31,43.5618162058
2015-09-01,41.6322215181
2015-09-02,41.9727382277
2015-09-03,42.321362478
2015-09-04,41.6727592216
2015-09-08,42.8402450831
2015-09-09,42.5240509956
2015-09-10,42.5645886991
2015-09-11,42.6537716469
2015-09-14,42.4754057514
2015-09-15,42.8888903273
2015-09-16,43.2861598218
2015-09-17,43.1240090077
2015-09-18,42.3700077222
2015-09-21,42.9132129494
2015-09-22,42.1186739604
2015-09-23,42.0294910126
2015-09-24,41.7132969251
2015-09-25,42.2402870709
2015-09-28,41.0241559652
2015-09-29,41.4295330005
2015-09-30,42.1511041232
2015-10-01,41.9565231463
2015-10-02,42.2970398559
2015-10-05,44.2266345436
2015-10-06,44.2347420843
2015-10-07,44.7941623929
2015-10-08,45.175216806
2015-10-09,45.2076469688
2015-10-12,45.0292810733
2015-10-13,44.6968719044
2015-10-14,44.2833873285
2015-10-15,44.8833453406
2015-10-16,45.1590017246
2015-10-19,44.5833663346
2015-10-20,44.3644627355
2015-10-21,44.5833663346
2015-10-22,45.3049374573
2015-10-23,46.2940574232
2015-10-26,46.0021859579
2015-10-27,45.5724863005
2015-10-28,46.5778213479
2015-10-29,46.164336772
2015-10-30,45.5805938412
2015-11-02,45.6292390855
2015-11-03,45.9130030101
2015-11-04,45.9292986634
2015-11-05,46.3692813009
2015-11-06,46.9396291644
2015-11-09,46.5403856599
2015-11-10,46.4833508736
2015-11-11,46.3774291275
2015-11-12,45.635976905
2015-11-13,45.3915421064
2015-11-16,46.0596638893
2015-11-17,45.5870899453
2015-11-18,46.4670552204
2015-11-19,46.9722204709
2015-11-20,46.4589073937
2015-11-23,46.3692813009
2015-11-24,46.2878030347
2015-11-25,46.3366899944
2015-11-27,46.3203943412
2015-11-30,46.2470639016
2015-12-01,46.5648291398
2015-12-02,45.635976905
2015-12-03,45.0656290415
2015-12-04,45.9537421432
2015-12-07,45.8559682238
2015-12-08,44.8048985896
2015-12-09,44.0634463671
2015-12-10,44.2182550729
2015-12-11,42.9797854265
2015-12-14,42.8168288941
2015-12-15,43.8923420081
2015-12-16,44.7397159767
2015-12-17,43.9004898347
2015-12-18,42.7272028013
2015-12-21,43.4605071972
2015-12-22,43.9901159275
2015-12-23,44.6500898838
2015-12-24,44.625646404
2015-12-28,44.2834376859
2015-12-29,44.6337942306
2015-12-30,44.2019594197
2015-12-31,43.6886463425
2016-01-04,42.94719412
2016-01-05,42.8494202006
2016-01-06,42.0101940586
2016-01-07,41.228002703
2016-01-08,40.7146896258
2016-01-11,41.1383766101
2016-01-12,41.5539157678
2016-01-13,40.2502635084
2016-01-14,40.8694983316
2016-01-15,40.0547156695
2016-01-19,39.851020004
2016-01-20,39.7206547781
2016-01-21,39.4517764996
2016-01-22,39.5902895521
2016-01-25,38.77550689
2016-01-26,39.4273330197
2016-01-27,39.6962112982
2016-01-28,36.5267067426
2016-01-29,37.3088980982
2016-02-01,37.5207415903
2016-02-02,36.9178024204
2016-02-03,37.2211465664
2016-02-04,37.9672091958
2016-02-05,37.9180182532
2016-02-08,36.9833903438
2016-02-09,37.6064756168
2016-02-10,37.5244907124
2016-02-11,35.4584711233
2016-02-12,36.4996794083
2016-02-16,37.4425058081
2016-02-17,38.0737895715
2016-02-18,38.0327971193
2016-02-19,37.8360333489
2016-02-22,38.8116537104
2016-02-23,38.0901865523
2016-02-24,38.2951488131
2016-02-25,38.6640808826
2016-02-26,38.6558823922
2016-02-29,38.0573925906
2016-03-01,39.0002189904
2016-03-02,39.4265404929
2016-03-03,39.9758393519
2016-03-04,39.787274072
2016-03-07,39.9102514285
2016-03-08,39.5495178494
2016-03-09,39.352754079
2016-03-10,39.6069072824
2016-03-11,40.3201759501
2016-03-14,39.8856559572
2016-03-15,39.9348468998
2016-03-16,40.0414272754
2016-03-17,40.5989246249
2016-03-18,41.4761631012
2016-03-21,41.3285902734
2016-03-22,41.131826503
2016-03-23,40.8776732996
2016-03-24,40.7301004718
2016-03-28,40.4021608545
2016-03-29,41.2220098978
2016-03-30,41.2056129169
2016-03-31,41.7467132855
2016-04-01,42.1320423358
2016-04-04,41.6155374386
2016-04-05,41.9926679985
2016-04-06,41.9762710176
2016-04-07,41.2056129169
2016-04-08,41.4433691395
2016-04-11,41.4597661203
2016-04-12,42.2140272402
2016-04-13,43.1322581687
2016-04-14,42.8945019461
2016-04-15,42.5255698766
2016-04-18,42.5911578001
2016-04-19,43.0830672261
2016-04-20,46.6002196219
2016-04-21,46.2066920811
2016-04-22,46.3296694376
2016-04-25,46.6330135836
2016-04-26,46.7887849019
2016-04-27,46.8707698062
2016-04-28,46.469043775
2016-04-29,46.1329056672
2016-05-02,46.2394860428
2016-05-03,45.7721720882
2016-05-04,45.4425794899
2016-05-05,45.1789054112
2016-05-06,45.5084980095
2016-05-09,45.4508193048
2016-05-10,46.1100045014
2016-05-11,45.6238554189
2016-05-12,45.5661767142
2016-05-13,44.841072998
2016-05-16,44.8575526279
2016-05-17,44.2807655809
2016-05-18,44.9646702223
2016-05-19,44.8575526279
2016-05-20,45.2613035608
2016-05-23,45.0717878168
2016-05-24,45.9204887574
2016-05-25,46.6208730288
2016-05-26,46.2995202454
2016-05-27,46.7856693279
2016-05-31,46.8103887728
2016-06-01,46.9339859971
2016-06-02,47.0905424813
2016-06-03,46.5219952493
2016-06-06,47.2223795207
2016-06-07,47.2553387805
2016-06-08,47.2882980403
2016-06-09,46.8021489578
2016-06-10,46.39015821
2016-06-13,45.7474526433
2016-06-14,43.8934942779
2016-06-15,43.7698970535
2016-06-16,43.3331868608
2016-06-17,43.5062229749
2016-06-20,43.8193359433
2016-06-21,43.9017340928
2016-06-22,43.8934942779
2016-06-23,44.7257155886
2016-06-24,42.6740016642
2016-06-27,41.7841016488
2016-06-28,42.1466535069
2016-06-29,43.2672683411
2016-06-30,44.1571683565
2016-07-01,44.2395665061
2016-07-05,43.1189516719
2016-07-06,43.5721414945
2016-07-07,43.8522952031
2016-07-08,45.3025026356
2016-07-11,45.8463304228
2016-07-12,46.7115109933
2016-07-13,46.7279906232
2016-07-14,47.3294971151
2016-07-15,47.3130174852
2016-07-18,47.0411035916
2016-07-19,46.9504656271
2016-07-20,46.39015821
2016-07-21,46.2253619108
2016-07-22,46.6291128437
2016-07-25,46.6620721036
2016-07-26,46.579673954
2016-07-27,46.6867915484
2016-07-28,46.8680674775
2016-07-29,46.8351082177
2016-08-01,46.4231174698
2016-08-02,46.002886907
2016-08-03,46.6656333418
2016-08-04,46.8147512896
2016-08-05,47.8751455853
2016-08-08,48.0159792027
2016-08-09,47.9745575506
2016-08-10,47.5851940201
2016-08-11,48.0905381766
2016-08-12,48.1899501419
2016-08-15,48.2230874636
2016-08-16,48.0491165245
2016-08-17,48.115391168
2016-08-18,48.1485284897
2016-08-19,47.9414202288
2016-08-22,47.8254396027
2016-08-23,48.1071068375
2016-08-24,47.8917142462
2016-08-25,48.0574008549
2016-08-26,48.4301957245
2016-08-29,49.0018145245
2016-08-30,49.4160310463
2016-08-31,49.7059826115
2016-09-01,49.3746093941
2016-09-02,49.7225512724
2016-09-06,49.4325997072
2016-09-07,49.3249034115
2016-09-08,49.4740213593
2016-09-09,48.6621569767
2016-09-12,49.3497564028
2016-09-13,48.0739695158
