date,ETFC
2015-07-01,29.4254003073
2015-07-02,29.1960480993
2015-07-06,28.6251074963
2015-07-07,28.3420771119
2015-07-08,27.2782732534
2015-07-09,27.79553568
2015-07-10,28.3420771119
2015-07-13,28.7812621911
2015-07-14,28.8983782123
2015-07-15,28.800781528
2015-07-16,29.6303533443
2015-07-17,29.4546793126
2015-07-20,29.4839583179
2015-07-21,29.396121302
2015-07-22,29.464438981
2015-07-23,28.7129445121
2015-07-24,27.8345743537
2015-07-27,26.7024528162
2015-07-28,27.2977925902
2015-07-29,27.7857760116
2015-07-30,27.9516903748
2015-07-31,27.7369776694
2015-08-03,27.6784196589
2015-08-04,28.5665494857
2015-08-05,28.5763091542
2015-08-06,28.9569362228
2015-08-07,28.4103947909
2015-08-10,28.9862152281
2015-08-11,28.068806396
2015-08-12,27.590582643
2015-08-13,27.6296213168
2015-08-14,27.8443340221
2015-08-17,27.9419307064
2015-08-18,27.5027456272
2015-08-19,26.8293285057
2015-08-20,25.8240826578
2015-08-21,24.9261931625
2015-08-24,23.5403202459
2015-08-25,23.5598395827
2015-08-26,24.6529224465
2015-08-27,25.9509583473
2015-08-28,25.8924003368
2015-08-31,25.6581682945
2015-09-01,24.3991710674
2015-09-02,24.7797981361
2015-09-03,24.9945108415
2015-09-04,24.7602787992
2015-09-08,26.6146158003
2015-09-09,26.3218257475
2015-09-10,26.5560577898
2015-09-11,26.4584611055
2015-09-14,26.0778340369
2015-09-15,27.0050025374
2015-09-16,27.0830798848
2015-09-17,26.331585416
2015-09-18,25.4336959207
2015-09-21,25.9802373526
2015-09-22,25.4824942628
2015-09-23,25.5996102839
2015-09-24,25.1604252047
2015-09-25,25.8338423262
2015-09-28,24.662682115
2015-09-29,24.9261931625
2015-09-30,25.6972069682
2015-10-01,25.5800909471
2015-10-02,25.1311461994
2015-10-05,25.9460785131
2015-10-06,25.1311461994
2015-10-07,25.8045633209
2015-10-08,25.9021600052
2015-10-09,25.5215329365
2015-10-12,25.6776876314
2015-10-13,25.394657247
2015-10-14,24.8578754835
2015-10-15,25.6581682945
2015-10-16,25.9607180157
2015-10-19,25.8728809999
2015-10-20,26.2047097264
2015-10-21,25.6581682945
2015-10-22,26.4194224318
2015-10-23,27.6296213168
2015-10-26,27.4149086114
2015-10-27,26.9464445269
2015-10-28,28.1078450697
2015-10-29,27.9028920327
2015-10-30,27.8248146853
2015-11-02,28.1566434118
2015-11-03,28.1273644065
2015-11-04,28.1761627487
2015-11-05,28.2835191014
2015-11-06,29.6889113548
2015-11-09,29.5132373232
2015-11-10,29.3180439546
2015-11-11,29.1814085966
2015-11-12,28.3127981066
2015-11-13,28.1664030802
2015-11-16,28.4787124699
2015-11-17,28.5665494857
2015-11-18,28.9862152281
2015-11-19,29.3863616336
2015-11-20,29.5229969916
2015-11-23,29.2399666072
2015-11-24,29.3375632915
2015-11-25,29.5229969916
2015-11-27,29.5620356653
2015-11-30,29.6986710233
2015-12-01,29.9817014077
2015-12-02,29.7669887023
2015-12-03,29.1814085966
2015-12-04,29.9914610761
2015-12-07,29.396121302
2015-12-08,29.2497262756
2015-12-09,28.9081378807
2015-12-10,29.1326102545
2015-12-11,28.1761627487
2015-12-14,28.3127981066
2015-12-15,29.5132373232
2015-12-16,29.7865080391
2015-12-17,29.2302069388
2015-12-18,28.1273644065
2015-12-21,27.9516903748
2015-12-22,28.5177511436
2015-12-23,28.9569362228
2015-12-24,28.9959748965
2015-12-28,28.8593395386
2015-12-29,29.1814085966
2015-12-30,29.1814085966
2015-12-31,28.9276572175
2016-01-04,28.0883257328
2016-01-05,27.8931323643
2016-01-06,27.3075522587
2016-01-07,26.2437484001
2016-01-08,26.0680743684
2016-01-11,26.0192760263
2016-01-12,26.3267055818
2016-01-13,24.8773948203
2016-01-14,25.3653782417
2016-01-15,24.457729078
2016-01-19,24.2137373673
2016-01-20,23.7452732828
2016-01-21,23.7159942775
2016-01-22,23.4817622353
2016-01-25,22.8669031244
2016-01-26,23.1108948351
2016-01-27,22.9059417981
2016-01-28,22.7009887611
2016-01-29,22.9937788139
2016-02-01,23.1011351666
2016-02-02,22.0861296502
2016-02-03,22.0373313081
2016-02-04,22.6033920769
2016-02-05,22.1251683239
2016-02-08,20.6612180599
2016-02-09,20.3293893334
2016-02-10,20.1927539754
2016-02-11,19.7438092278
