date,FLIR
2015-07-01,28.562607595
2015-07-02,28.3603619023
2015-07-06,28.3971338465
2015-07-07,28.5350286369
2015-07-08,27.9282915589
2015-07-09,27.652501978
2015-07-10,28.1029582935
2015-07-13,28.5809935671
2015-07-14,28.5212391579
2015-07-15,28.2408530839
2015-07-16,28.1673091957
2015-07-17,27.7628178104
2015-07-20,27.7260458663
2015-07-21,27.330747467
2015-07-22,27.4594492714
2015-07-23,27.4594492714
2015-07-24,28.2868180141
2015-07-27,27.8087827405
2015-07-28,27.8639406567
2015-07-29,28.1397302376
2015-07-30,28.3419759303
2015-07-31,28.3052039862
2015-08-03,28.2408530839
2015-08-04,27.9834494751
2015-08-05,28.268432042
2015-08-06,28.268432042
2015-08-07,28.562607595
2015-08-10,29.4083623097
2015-08-11,28.7832392597
2015-08-12,28.2132741259
2015-08-13,27.9834494751
2015-08-14,28.0753793354
2015-08-17,28.1029582935
2015-08-18,27.9190985729
2015-08-19,27.7076598942
2015-08-20,27.3109135154
2015-08-21,26.5266474179
2015-08-24,25.3733149214
2015-08-25,24.9673418827
2015-08-26,25.4932615011
2015-08-27,26.4067008382
2015-08-28,26.3605675384
2015-08-31,26.4159274982
2015-09-01,25.85310124
2015-09-02,26.1022210592
2015-09-03,26.1852609989
2015-09-04,25.7423813203
2015-09-08,26.7296339372
2015-09-09,26.4436074781
2015-09-10,26.3697941984
2015-09-11,26.2129409788
2015-09-14,26.0237944494
2015-09-15,26.3605675384
2015-09-16,26.5358740778
2015-09-17,26.4436074781
2015-09-18,26.166807679
2015-09-21,26.1206743791
2015-09-22,25.6593413806
2015-09-23,25.6085947507
2015-09-24,25.3364082816
2015-09-25,25.4471282012
2015-09-28,25.0042485226
2015-09-29,25.3271816216
2015-09-30,25.82542126
2015-10-01,25.4286748813
2015-10-02,26.0191811194
2015-10-05,26.4067008382
2015-10-06,26.2221676388
2015-10-07,26.3605675384
2015-10-08,26.5451007378
2015-10-09,26.4528341381
2015-10-12,26.3328875585
2015-10-13,26.0468610994
2015-10-14,25.8715545599
2015-10-15,26.0837677392
2015-10-16,25.6685680405
2015-10-19,25.511714821
2015-10-20,25.5578481209
2015-10-21,25.3271816216
2015-10-22,25.5578481209
2015-10-23,25.530168141
2015-10-26,25.3364082816
2015-10-27,24.9119819229
2015-10-28,23.9985425857
2015-10-29,24.4229689444
2015-10-30,24.6075021438
2015-11-02,25.3917682414
2015-11-03,25.2810483217
2015-11-04,25.207235042
2015-11-05,25.2256883619
2015-11-06,25.4471282012
2015-11-09,24.6444087837
2015-11-10,24.6536354437
2015-11-11,24.7089954035
2015-11-12,24.1923024451
2015-11-13,24.0169959056
2015-11-16,26.498967438
2015-11-17,26.8495805169
2015-11-18,27.449313415
2015-11-19,27.6437923562
2015-11-20,27.6808359641
2015-11-23,27.699357768
2015-11-24,27.940141219
2015-11-25,27.9771848268
2015-11-27,28.0327502386
2015-11-30,28.3013163955
2015-12-01,28.3013163955
2015-12-02,28.1531419641
2015-12-03,27.7178795719
2015-12-04,28.18092467
2015-12-07,27.6623141601
2015-12-08,27.5048788268
2015-12-09,27.3103998856
2015-12-10,27.1807472581
2015-12-11,27.0140510228
2015-12-14,26.4213532972
2015-12-15,26.8751374934
2015-12-16,27.0788773365
2015-12-17,26.3472660815
2015-12-18,25.9120036893
2015-12-21,26.1157435325
2015-12-22,26.5139623169
2015-12-23,26.8380938855
2015-12-24,26.5510059247
2015-12-28,26.3472660815
2015-12-29,26.5510059247
2015-12-30,26.240765709
2015-12-31,25.995351807
2016-01-04,26.6250931404
2016-01-05,28.0697938465
2016-01-06,28.1994464739
2016-01-07,27.8012276896
2016-01-08,28.0420111406
2016-01-11,28.8569705132
2016-01-12,28.8014051014
2016-01-13,28.9681013368
2016-01-14,29.389472376
2016-01-15,28.9495795328
2016-01-19,27.9864457288
2016-01-20,27.949402121
2016-01-21,27.6160096503
2016-01-22,28.171663768
2016-01-25,27.940141219
2016-01-26,27.3289216895
2016-01-27,26.7547457679
2016-01-28,26.3843096894
2016-01-29,27.0788773365
2016-02-01,27.1807472581
2016-02-02,26.4676578071
2016-02-03,26.3843096894
2016-02-04,26.5602668267
2016-02-05,26.2639179639
2016-02-08,25.5600894148
2016-02-09,26.6343540424
2016-02-10,26.4213532972
2016-02-11,26.5047014149
2016-02-12,27.1344427483
2016-02-16,28.0234893366
2016-02-17,28.7087960818
2016-02-18,28.327623595
2016-02-19,28.6623116322
2016-02-22,28.9877027795
2016-02-23,28.9598121097
2016-02-24,29.043484119
2016-02-25,28.8389525407
2016-02-26,28.8668432105
2016-02-29,28.7831712012
2016-03-01,29.6756726338
2016-03-02,29.5641099547
2016-03-03,30.0289544509
2016-03-04,30.0847357904
2016-03-07,30.1498140199
2016-03-08,29.3502814865
2016-03-09,29.7500477532
2016-03-10,29.173640578
2016-03-11,29.8151259826
2016-03-14,29.7035633036
2016-03-15,29.5176255051
2016-03-16,29.768641533
2016-03-17,30.1219233501
2016-03-18,30.1777046896
2016-03-21,31.0144247827
2016-03-22,31.33981593
2016-03-23,31.0237216726
2016-03-24,30.7820025346
2016-03-28,30.9493465532
2016-03-29,30.8005963145
2016-03-30,31.4048941595
2016-03-31,30.6332522959
2016-04-01,30.6611429656
2016-04-04,30.3357518183
2016-04-05,30.1219233501
2016-04-06,30.3915331579
2016-04-07,29.8616104323
2016-04-08,29.8058290927
2016-04-11,30.1126264602
2016-04-12,30.1962984695
2016-04-13,30.6053616261
2016-04-14,30.5123927269
2016-04-15,30.3822362679
2016-04-18,30.5216896168
2016-04-19,30.6518460757
2016-04-20,30.6797367455
2016-04-21,30.4752051672
