date,HCP
2021-12-09,85.19
2021-12-10,85.7
2021-12-13,85.99
2021-12-14,84.01
2021-12-15,84.92
2021-12-16,82.0
2021-12-17,80.89
2021-12-20,80.0
2021-12-21,84.97
2021-12-22,85.87
2021-12-23,89.82
2021-12-27,97.6
2021-12-28,93.18
2021-12-29,89.83
2021-12-30,90.54
2021-12-31,91.04
2022-01-03,84.01
2022-01-04,78.83
2022-01-05,72.79
2022-01-06,77.75
2022-01-07,71.77
2022-01-10,70.75
2022-01-11,73.76
2022-01-12,72.27
2022-01-13,66.97
2022-01-14,66.69
2022-01-18,64.5
2022-01-19,62.63
2022-01-20,62.97
2022-01-21,58.93
2022-01-24,62.08
2022-01-25,55.51
2022-01-26,57.88
2022-01-27,58.65
2022-01-28,63.01
2022-01-31,66.39
2022-02-01,71.75
2022-02-02,68.7
2022-02-03,59.95
2022-02-04,64.89
2022-02-07,70.3
2022-02-08,76.0
2022-02-09,77.97
2022-02-10,76.67
2022-02-11,69.53
2022-02-14,68.15
2022-02-15,69.75
2022-02-16,66.06
2022-02-17,58.51
2022-02-18,54.41
2022-02-22,53.68
2022-02-23,48.89
2022-02-24,53.5
2022-02-25,50.9
2022-02-28,50.39
2022-03-01,49.0
2022-03-02,49.3
2022-03-03,44.99
2022-03-04,42.01
2022-03-07,37.49
2022-03-08,38.96
2022-03-09,42.25
2022-03-10,37.74
2022-03-11,33.56
2022-03-14,32.45
2022-03-15,33.79
2022-03-16,41.16
2022-03-17,44.2
2022-03-18,46.8
2022-03-21,48.44
2022-03-22,50.36
2022-03-23,50.69
2022-03-24,54.3
2022-03-25,51.3
2022-03-28,53.1
2022-03-29,56.96
2022-03-30,55.32
2022-03-31,54.0
2022-04-01,54.0
2022-04-04,58.02
2022-04-05,58.14
2022-04-06,53.85
2022-04-07,53.64
2022-04-08,50.86
2022-04-11,53.8
2022-04-12,54.29
2022-04-13,58.22
2022-04-14,56.07
2022-04-18,53.15
2022-04-19,57.68
2022-04-20,56.6
2022-04-21,50.34
2022-04-22,45.14
2022-04-25,50.39
2022-04-26,49.76
2022-04-27,49.13
2022-04-28,50.35
2022-04-29,47.08
2022-05-02,47.01
2022-05-03,47.68
2022-05-04,54.54
2022-05-05,46.33
2022-05-06,39.0
2022-05-09,33.39
2022-05-10,32.44
2022-05-11,32.35
2022-05-12,34.15
2022-05-13,38.49
2022-05-16,34.49
2022-05-17,36.17
2022-05-18,33.62
2022-05-19,35.58
2022-05-20,34.04
2022-05-23,34.65
2022-05-24,30.96
2022-05-25,32.5
2022-05-26,33.89
2022-05-27,36.95
2022-05-31,35.02
2022-06-01,35.61
2022-06-02,41.27
2022-06-03,34.0
2022-06-06,35.57
2022-06-07,38.33
2022-06-08,32.76
2022-06-09,30.15
2022-06-10,30.09
2022-06-13,28.02
2022-06-14,26.95
2022-06-15,28.47
2022-06-16,26.62
2022-06-17,27.19
2022-06-21,29.14
2022-06-22,29.42
2022-06-23,31.35
2022-06-24,32.77
2022-06-27,31.58
2022-06-28,28.66
2022-06-29,29.7
2022-06-30,29.44
2022-07-01,29.97
2022-07-05,32.74
2022-07-06,32.92
2022-07-07,34.97
2022-07-08,34.96
2022-07-11,34.1
2022-07-12,34.17
2022-07-13,35.19
2022-07-14,32.47
2022-07-15,34.14
2022-07-18,33.25
2022-07-19,32.11
2022-07-20,36.25
2022-07-21,35.99
2022-07-22,33.44
2022-07-25,34.68
2022-07-26,31.99
2022-07-27,35.37
2022-07-28,36.21
2022-07-29,36.24
2022-08-01,36.48
2022-08-02,36.87
2022-08-03,39.5
2022-08-04,36.91
2022-08-05,37.82
2022-08-08,39.67
2022-08-09,38.92
2022-08-10,40.85
2022-08-11,40.62
2022-08-12,43.62
2022-08-15,40.99
2022-08-16,40.89
2022-08-17,39.5
2022-08-18,40.24
2022-08-19,38.58
2022-08-22,37.13
2022-08-23,37.91
2022-08-24,39.24
2022-08-25,39.25
2022-08-26,37.96
2022-08-29,37.49
2022-08-30,36.19
2022-08-31,35.35
2022-09-01,30.26
2022-09-02,30.11
2022-09-06,28.55
2022-09-07,30.23
2022-09-08,29.54
2022-09-09,30.7
2022-09-12,32.56
2022-09-13,30.84
2022-09-14,32.05
2022-09-15,31.44
2022-09-16,30.07
2022-09-19,30.27
2022-09-20,29.27
2022-09-21,29.13
2022-09-22,27.12
2022-09-23,27.76
2022-09-26,28.93
2022-09-27,29.72
2022-09-28,32.83
2022-09-29,32.49
2022-09-30,32.19
2022-10-03,31.7
2022-10-04,33.32
2022-10-05,33.68
2022-10-06,33.0
2022-10-07,32.28
2022-10-10,29.27
2022-10-11,28.71
2022-10-12,28.67
2022-10-13,28.94
2022-10-14,27.34
2022-10-17,29.58
2022-10-18,30.81
2022-10-19,29.69
2022-10-20,30.58
2022-10-21,30.58
2022-10-24,30.92
2022-10-25,33.94
2022-10-26,30.83
2022-10-27,31.04
2022-10-28,31.88
2022-10-31,30.73
2022-11-01,30.28
2022-11-02,27.86
2022-11-03,26.51
2022-11-04,23.81
