date,JWN
2015-07-01,52.2392136989
2015-07-02,52.1143390844
2015-07-06,52.2253387417
2015-07-07,54.0845830008
2015-07-08,52.9676489496
2015-07-09,53.0508986926
2015-07-10,53.6822092433
2015-07-13,54.1331453509
2015-07-14,54.1192703937
2015-07-15,54.5632690228
2015-07-16,55.1668296591
2015-07-17,54.5702065014
2015-07-20,54.7367059872
2015-07-21,54.3065823154
2015-07-22,54.7991432945
2015-07-23,54.1262078723
2015-07-24,53.5573346288
2015-07-27,53.6475218504
2015-07-28,52.9260240782
2015-07-29,52.9329615567
2015-07-30,52.9607114711
2015-07-31,52.9398990353
2015-08-03,52.6693373707
2015-08-04,52.9052116424
2015-08-05,52.384900749
2015-08-06,51.6703404554
2015-08-07,51.9686520343
2015-08-10,52.7178997208
2015-08-11,52.8913366853
2015-08-12,52.384900749
2015-08-13,51.9755895129
2015-08-14,54.2025201367
2015-08-17,54.8338306873
2015-08-18,54.6048938942
2015-08-19,54.5979564157
2015-08-20,53.9180835149
2015-08-21,52.1629014345
2015-08-24,50.0261580322
2015-08-25,49.485034703
2015-08-26,51.198591912
2015-08-27,51.1222796477
2015-08-28,51.1501695984
2015-08-31,50.8154901899
2015-09-01,49.9648466933
2015-09-02,50.8294351652
2015-09-03,51.2198944751
2015-09-04,50.8294351652
2015-09-08,51.8892532921
2015-09-09,51.0316373079
2015-09-10,51.4290691054
2015-09-11,51.3175093026
2015-09-14,51.0246648202
2015-09-15,51.4778765192
2015-09-16,51.80558344
2015-09-17,51.8195284154
2015-09-18,51.4848490069
2015-09-21,51.8613633414
2015-09-22,51.3872341794
2015-09-23,51.3453992533
2015-09-24,50.9619124311
2015-09-25,50.8921875543
2015-09-28,49.4279651421
2015-09-29,49.1142031967
2015-09-30,49.9997091317
2015-10-01,49.8044794767
2015-10-02,52.3773274295
2015-10-05,51.8334733907
2015-10-06,51.0874172093
2015-10-07,50.7666827761
2015-10-08,51.5211611399
2015-10-09,51.1177766682
2015-10-12,51.4165799806
2015-10-13,51.1924774963
2015-10-14,49.9524437499
2015-10-15,50.3632983044
2015-10-16,50.2512470622
2015-10-19,51.125246751
2015-10-20,51.1924774963
2015-10-21,50.5575204575
2015-10-22,51.1775373307
2015-10-23,48.5480681816
2015-10-26,48.727350169
2015-10-27,48.2417947864
2015-10-28,48.3015554489
2015-10-29,48.3314357801
2015-10-30,48.7124100034
2015-11-02,48.7049399206
2015-11-03,50.0420847436
2015-11-04,49.6162900234
2015-11-05,49.8105121765
2015-11-06,49.1531448892
2015-11-09,46.8374192181
2015-11-10,48.3538460285
2015-11-11,46.5535560713
2015-11-12,47.4126155945
2015-11-13,40.3085668423
2015-11-16,40.8837632186
2015-11-17,40.8165324733
2015-11-18,41.5635407543
2015-11-19,41.5336604231
2015-11-20,41.8025834042
2015-11-23,42.400190029
2015-11-24,43.109847896
2015-11-25,43.4460016224
2015-11-27,43.3106792433
2015-11-30,42.3333509493
2015-12-01,42.6641389872
2015-12-02,42.5588882479
2015-12-03,42.8520867361
2015-12-04,42.9122300157
2015-12-07,42.4310837787
2015-12-08,42.7318001768
2015-12-09,42.6039957076
2015-12-10,42.6791748071
2015-12-11,41.6717748733
2015-12-14,41.1680749065
2015-12-15,40.9801271576
2015-12-16,40.6568570296
