date,LM
2015-07-01,42.7332726495
2015-07-02,42.3091829618
2015-07-06,41.8518313378
2015-07-07,41.9765635989
2015-07-08,40.9953364783
2015-07-09,40.8040803447
2015-07-10,41.0285984146
2015-07-13,41.0452293828
2015-07-14,40.9038661535
2015-07-15,40.9121816376
2015-07-16,41.294693905
2015-07-17,40.8872351854
2015-07-20,40.504722918
2015-07-21,40.4548300136
2015-07-22,40.6377706632
2015-07-23,40.3550442047
2015-07-24,39.5484422497
2015-07-27,39.357186116
2015-07-28,39.6399125745
2015-07-29,40.1388416188
2015-07-30,40.6045087269
2015-07-31,41.0285984146
2015-08-03,41.3612177775
2015-08-04,41.2780629368
2015-08-05,40.729240988
2015-08-06,40.0057938737
2015-08-07,39.7480138674
2015-08-10,40.7042945358
2015-08-11,40.0307403259
2015-08-12,40.1721035551
2015-08-13,40.837342281
2015-08-14,40.837342281
2015-08-17,40.6045087269
2015-08-18,40.5296693703
2015-08-19,40.0141093578
2015-08-20,39.240769339
2015-08-21,38.326066091
2015-08-24,36.721177665
2015-08-25,35.7316350603
2015-08-26,36.4800286269
2015-08-27,37.519464136
2015-08-28,37.2117912253
2015-08-31,36.8625408942
2015-09-01,35.5486944107
2015-09-02,35.4988015063
2015-09-03,35.2493369841
2015-09-04,34.5092589016
2015-09-08,35.9312066781
2015-09-09,35.5985873152
2015-09-10,35.3574382771
2015-09-11,35.4239621496
2015-09-14,35.0497653664
2015-09-15,35.6651111877
2015-09-16,36.4550821746
2015-09-17,36.6213918561
2015-09-18,35.6567957037
2015-09-21,35.7399505444
2015-09-22,34.9582950416
2015-09-23,34.8086163283
2015-09-24,34.9416640734
2015-09-25,35.0580808504
2015-09-28,34.3928421246
2015-09-29,34.2431634113
2015-09-30,34.6007292264
2015-10-01,34.3013717998
2015-10-02,34.891771169
2015-10-05,35.7482660285
2015-10-06,36.5049750791
2015-10-07,36.6302781972
2015-10-08,36.8140561038
2015-10-09,36.6302781972
2015-10-12,36.5383892439
2015-10-13,36.1624798896
2015-10-14,35.8617524061
2015-10-15,36.2877830077
2015-10-16,36.5968640324
2015-10-19,35.9703484418
2015-10-20,36.0622373951
2015-10-21,36.3295507137
2015-10-22,37.7245920955
2015-10-23,38.0587337438
2015-10-26,37.8749558372
