date,MXIM
2018-07-02,59.12
2018-07-03,57.76
2018-07-05,60.13
2018-07-06,60.51
2018-07-09,60.66
2018-07-10,61.32
2018-07-11,59.7
2018-07-12,60.98
2018-07-13,60.67
2018-07-16,60.67
2018-07-17,61.3
2018-07-18,61.81
2018-07-19,61.47
2018-07-20,61.45
2018-07-23,60.83
2018-07-24,59.33
2018-07-25,58.8
2018-07-26,58.96
2018-07-27,60.94
2018-07-30,60.99
2018-07-31,61.14
2018-08-01,60.72
2018-08-02,62.22
2018-08-03,62.59
2018-08-06,62.95
2018-08-07,63.36
2018-08-08,63.48
2018-08-09,63.06
2018-08-10,61.38
2018-08-13,61.41
2018-08-14,60.73
2018-08-15,60.46
2018-08-16,60.15
2018-08-17,59.99
2018-08-20,60.54
2018-08-21,61.76
2018-08-22,61.58
2018-08-23,61.67
2018-08-24,61.75
2018-08-27,62.23
2018-08-28,62.25
2018-08-29,62.31
2018-08-30,60.6
2018-08-31,60.47
2018-09-04,60.87
2018-09-05,60.39
2018-09-06,60.29
2018-09-07,58.77
2018-09-10,59.24
2018-09-11,60.03
2018-09-12,57.57
2018-09-13,57.72
2018-09-14,57.91
2018-09-17,57.26
2018-09-18,58.32
2018-09-19,58.13
2018-09-20,59.58
2018-09-21,59.52
2018-09-24,59.73
2018-09-25,58.07
2018-09-26,56.52
2018-09-27,56.35
2018-09-28,56.39
2018-10-01,56.46
2018-10-02,56.63
2018-10-03,56.99
2018-10-04,55.71
2018-10-05,53.41
2018-10-08,52.58
2018-10-09,52.86
2018-10-10,50.78
2018-10-11,51.52
2018-10-12,51.8
2018-10-15,51.31
2018-10-16,52.98
2018-10-17,52.86
2018-10-18,51.36
2018-10-19,51.14
2018-10-22,51.32
2018-10-23,51.06
2018-10-24,46.9
2018-10-25,48.13
2018-10-26,48.26
2018-10-29,48.57
2018-10-30,49.78
2018-10-31,50.02
2018-11-01,53.12
2018-11-02,51.91
2018-11-05,51.41
2018-11-06,51.68
2018-11-07,52.64
2018-11-08,53.22
2018-11-09,52.09
2018-11-12,51.31
2018-11-13,51.44
2018-11-14,51.69
2018-11-15,53.43
2018-11-16,53.32
2018-11-19,52.0
2018-11-20,52.05
2018-11-21,52.49
2018-11-23,52.76
2018-11-26,53.38
2018-11-27,55.6
2018-11-28,56.22
2018-11-29,55.34
2018-11-30,55.92
