date,SPLS
2015-07-01,15.55
2015-07-02,15.55
2015-07-06,15.52
2015-07-07,15.68
2015-07-08,15.33
2015-07-09,15.25
2015-07-10,15.39
2015-07-13,15.59
2015-07-14,15.53
2015-07-15,15.445
2015-07-16,15.34
2015-07-17,14.7
2015-07-20,14.63
2015-07-21,14.63
2015-07-22,14.82
2015-07-23,14.44
2015-07-24,14.22
2015-07-27,13.95
2015-07-28,13.91
2015-07-29,13.97
2015-07-30,14.32
2015-07-31,14.71
2015-08-03,14.13
2015-08-04,14.19
2015-08-05,14.41
2015-08-06,14.04
2015-08-07,13.96
2015-08-10,14.26
2015-08-11,14.12
2015-08-12,14.16
2015-08-13,14.08
2015-08-14,14.23
2015-08-17,14.23
2015-08-18,14.15
2015-08-19,14.12
2015-08-20,14.04
2015-08-21,13.79
2015-08-24,13.47
2015-08-25,13.24
2015-08-26,13.33
2015-08-27,13.72
2015-08-28,13.75
2015-08-31,14.21
2015-09-01,13.69
2015-09-02,14.13
2015-09-03,13.8
2015-09-04,13.6
2015-09-08,14.19
2015-09-09,13.98
2015-09-10,13.86
2015-09-11,13.86
2015-09-14,13.73
2015-09-15,13.7
2015-09-16,13.91
2015-09-17,13.83
2015-09-18,13.51
2015-09-21,13.54
2015-09-22,12.75
2015-09-23,12.4
2015-09-24,12.69
2015-09-25,12.37
2015-09-28,11.9
2015-09-29,11.83
2015-09-30,11.71
2015-10-01,11.94
2015-10-02,12.15
2015-10-05,12.36
2015-10-06,12.37
2015-10-07,12.64
2015-10-08,12.62
2015-10-09,12.37
2015-10-12,12.19
2015-10-13,12.03
2015-10-14,12.55
2015-10-15,12.54
2015-10-16,12.55
2015-10-19,12.575
2015-10-20,12.49
2015-10-21,12.58
2015-10-22,12.65
2015-10-23,12.61
2015-10-26,12.915
2015-10-27,12.72
2015-10-28,12.935
2015-10-29,12.945
2015-10-30,12.99
2015-11-02,13.09
2015-11-03,13.37
2015-11-04,13.04
2015-11-05,13.31
2015-11-06,13.2
2015-11-09,12.83
2015-11-10,13.04
2015-11-11,12.91
2015-11-12,12.78
2015-11-13,12.6
2015-11-16,12.71
2015-11-17,12.45
2015-11-18,12.11
2015-11-19,12.05
2015-11-20,12.29
2015-11-23,12.18
2015-11-24,12.25
2015-11-25,12.32
2015-11-27,12.31
2015-11-30,12.07
2015-12-01,12.18
2015-12-02,12.05
2015-12-03,11.96
