date,SWN
2015-07-01,22.04
2015-07-02,22.17
2015-07-06,21.71
2015-07-07,22.07
2015-07-08,21.01
2015-07-09,21.33
2015-07-10,20.92
2015-07-13,21.54
2015-07-14,22.13
2015-07-15,21.82
2015-07-16,21.92
2015-07-17,21.06
2015-07-20,19.81
2015-07-21,20.43
2015-07-22,19.94
2015-07-23,19.75
2015-07-24,18.55
2015-07-27,18.33
2015-07-28,19.57
2015-07-29,19.27
2015-07-30,19.06
2015-07-31,18.6
2015-08-03,17.61
2015-08-04,17.18
2015-08-05,16.57
2015-08-06,17.45
2015-08-07,16.9
2015-08-10,18.26
2015-08-11,18.11
2015-08-12,18.49
2015-08-13,17.7
2015-08-14,17.22
2015-08-17,17.52
2015-08-18,17.63
2015-08-19,17.3
2015-08-20,16.59
2015-08-21,16.4
2015-08-24,15.24
2015-08-25,14.78
2015-08-26,15.08
2015-08-27,15.53
2015-08-28,16.0
2015-08-31,16.24
2015-09-01,15.73
2015-09-02,15.67
2015-09-03,15.41
2015-09-04,15.36
2015-09-08,15.47
2015-09-09,14.94
2015-09-10,15.33
2015-09-11,15.41
2015-09-14,15.14
2015-09-15,15.4
2015-09-16,16.12
2015-09-17,15.41
2015-09-18,14.49
2015-09-21,14.39
2015-09-22,14.17
2015-09-23,13.31
2015-09-24,13.27
2015-09-25,12.99
2015-09-28,12.11
2015-09-29,12.17
2015-09-30,12.69
2015-10-01,12.38
2015-10-02,12.81
2015-10-05,13.01
2015-10-06,13.17
2015-10-07,13.48
2015-10-08,13.59
2015-10-09,12.8
2015-10-12,12.03
2015-10-13,12.16
2015-10-14,12.55
2015-10-15,13.26
2015-10-16,13.14
2015-10-19,12.99
2015-10-20,13.09
2015-10-21,12.4
2015-10-22,11.67
2015-10-23,11.18
2015-10-26,10.76
2015-10-27,10.64
2015-10-28,10.76
2015-10-29,10.78
2015-10-30,11.04
2015-11-02,11.3
2015-11-03,11.31
2015-11-04,11.66
2015-11-05,12.28
2015-11-06,11.91
2015-11-09,11.8
2015-11-10,11.43
2015-11-11,10.64
2015-11-12,10.3
2015-11-13,11.02
2015-11-16,11.66
2015-11-17,10.93
2015-11-18,10.54
2015-11-19,9.78
2015-11-20,9.04
2015-11-23,9.02
2015-11-24,9.26
2015-11-25,9.42
2015-11-27,8.74
2015-11-30,9.01
2015-12-01,8.91
2015-12-02,8.85
2015-12-03,8.19
2015-12-04,7.74
2015-12-07,7.12
2015-12-08,6.98
2015-12-09,6.95
2015-12-10,6.86
2015-12-11,5.9
2015-12-14,5.33
2015-12-15,5.37
2015-12-16,5.3
2015-12-17,5.15
2015-12-18,5.54
2015-12-21,5.87
2015-12-22,5.88
2015-12-23,6.71
2015-12-24,6.71
2015-12-28,6.85
2015-12-29,6.76
2015-12-30,6.3
2015-12-31,7.11
2016-01-04,7.71
2016-01-05,7.65
2016-01-06,6.69
2016-01-07,6.85
2016-01-08,6.95
2016-01-11,6.54
2016-01-12,5.94
2016-01-13,6.46
2016-01-14,6.63
2016-01-15,6.7
2016-01-19,6.52
2016-01-20,7.38
2016-01-21,8.8
2016-01-22,8.77
2016-01-25,7.93
2016-01-26,8.6
2016-01-27,8.82
2016-01-28,8.54
2016-01-29,8.89
2016-02-01,8.5
2016-02-02,8.17
2016-02-03,8.97
2016-02-04,8.84
2016-02-05,9.34
2016-02-08,9.34
2016-02-09,8.37
2016-02-10,8.58
2016-02-11,8.15
2016-02-12,8.93
2016-02-16,8.0
2016-02-17,8.88
2016-02-18,8.49
2016-02-19,7.09
2016-02-22,7.26
2016-02-23,6.63
2016-02-24,6.83
2016-02-25,6.77
2016-02-26,6.38
2016-02-29,5.78
2016-03-01,5.62
2016-03-02,6.21
2016-03-03,7.34
2016-03-04,7.83
2016-03-07,8.59
2016-03-08,7.33
2016-03-09,7.13
2016-03-10,7.26
2016-03-11,8.0
2016-03-14,7.46
2016-03-15,7.23
2016-03-16,7.9
2016-03-17,8.1
2016-03-18,7.93
2016-03-21,7.86
2016-03-22,8.08
2016-03-23,7.35
2016-03-24,7.38
2016-03-28,7.5
2016-03-29,8.0
2016-03-30,7.7
2016-03-31,8.07
2016-04-01,7.81
2016-04-04,8.51
2016-04-05,7.81
2016-04-06,7.68
2016-04-07,8.01
2016-04-08,8.68
2016-04-11,9.13
2016-04-12,10.54
2016-04-13,10.48
2016-04-14,10.75
2016-04-15,10.49
2016-04-18,10.47
2016-04-19,10.63
2016-04-20,10.8
2016-04-21,10.67
2016-04-22,12.27
2016-04-25,12.1
2016-04-26,12.96
2016-04-27,13.66
2016-04-28,12.78
2016-04-29,13.43
2016-05-02,12.8
2016-05-03,11.92
2016-05-04,11.71
2016-05-05,12.16
2016-05-06,11.79
2016-05-09,11.53
2016-05-10,12.36
2016-05-11,12.23
2016-05-12,11.86
2016-05-13,11.26
2016-05-16,11.46
2016-05-17,12.26
2016-05-18,11.84
2016-05-19,12.05
2016-05-20,11.65
2016-05-23,11.99
2016-05-24,12.29
2016-05-25,13.13
2016-05-26,13.13
2016-05-27,13.06
2016-05-31,13.67
2016-06-01,14.06
2016-06-02,14.42
2016-06-03,14.6
2016-06-06,15.3
2016-06-07,15.21
2016-06-08,14.12
2016-06-09,14.74
2016-06-10,13.15
2016-06-13,13.11
2016-06-14,12.82
2016-06-15,12.98
2016-06-16,12.8
2016-06-17,13.09
2016-06-20,13.91
2016-06-21,14.13
2016-06-22,13.47
2016-06-23,13.57
2016-06-24,12.62
2016-06-27,12.42
2016-06-28,13.89
2016-06-29,13.03
2016-06-30,12.58
2016-07-01,13.01
2016-07-05,11.66
2016-07-06,12.08
2016-07-07,12.33
2016-07-08,12.87
2016-07-11,12.9
2016-07-12,14.2
2016-07-13,13.96
2016-07-14,13.47
2016-07-15,13.4
2016-07-18,13.6
2016-07-19,13.39
2016-07-20,13.29
2016-07-21,13.21
2016-07-22,14.47
2016-07-25,14.47
2016-07-26,14.35
2016-07-27,14.25
2016-07-28,14.46
2016-07-29,14.58
2016-08-01,13.84
2016-08-02,13.77
2016-08-03,14.5
2016-08-04,14.33
2016-08-05,13.97
2016-08-08,14.12
2016-08-09,13.61
2016-08-10,13.32
2016-08-11,13.57
2016-08-12,13.86
2016-08-15,14.26
2016-08-16,14.16
