date,TE
2021-07-08,9.45
2021-07-09,8.8
2021-07-12,8.77
2021-07-13,9.28
2021-07-14,9.2
2021-07-15,8.38
2021-07-16,8.23
2021-07-19,8.29
2021-07-20,8.48
2021-07-21,8.06
2021-07-22,7.98
2021-07-23,8.94
2021-07-26,8.98
2021-07-27,8.23
2021-07-28,8.31
2021-07-29,8.79
2021-07-30,8.89
2021-08-02,8.75
2021-08-03,8.97
2021-08-04,9.61
2021-08-05,11.09
2021-08-06,11.94
2021-08-09,12.14
2021-08-10,13.23
2021-08-11,10.78
2021-08-12,9.96
2021-08-13,9.35
2021-08-16,8.56
2021-08-17,8.72
2021-08-18,8.23
2021-08-19,8.11
2021-08-20,8.1
2021-08-23,8.6
2021-08-24,8.82
2021-08-25,9.01
2021-08-26,8.53
2021-08-27,8.9
2021-08-30,8.93
2021-08-31,8.88
2021-09-01,8.99
2021-09-02,8.97
2021-09-03,8.85
2021-09-07,8.73
2021-09-08,8.62
2021-09-09,9.0
2021-09-10,8.89
2021-09-13,9.1
2021-09-14,9.17
2021-09-15,9.01
2021-09-16,9.08
2021-09-17,9.66
2021-09-20,9.39
2021-09-21,9.57
2021-09-22,10.19
2021-09-23,9.72
2021-09-24,9.73
2021-09-27,10.3
2021-09-28,9.86
2021-09-29,10.17
2021-09-30,9.87
2021-10-01,10.0
2021-10-04,9.48
2021-10-05,9.6
2021-10-06,9.45
2021-10-07,9.61
2021-10-08,9.6
2021-10-11,9.7
2021-10-12,9.73
2021-10-13,9.9
2021-10-14,10.01
2021-10-15,9.98
2021-10-18,10.01
2021-10-19,10.15
2021-10-20,9.76
2021-10-21,9.81
2021-10-22,9.89
2021-10-25,10.06
2021-10-26,10.13
2021-10-27,10.63
2021-10-28,10.8
2021-10-29,10.13
2021-11-01,10.5
2021-11-02,10.65
2021-11-03,11.37
2021-11-04,11.82
2021-11-05,11.48
2021-11-08,11.6
2021-11-09,11.26
2021-11-10,10.88
2021-11-11,11.1
2021-11-12,10.97
2021-11-15,12.2
2021-11-16,13.25
2021-11-17,13.72
2021-11-18,12.77
2021-11-19,12.71
2021-11-22,12.27
2021-11-23,11.3
2021-11-24,11.17
2021-11-26,10.91
2021-11-29,11.02
2021-11-30,10.53
2021-12-01,9.87
2021-12-02,9.59
2021-12-03,9.65
2021-12-06,9.35
2021-12-07,10.66
2021-12-08,11.61
2021-12-09,10.74
2021-12-10,11.58
2021-12-13,11.31
2021-12-14,10.89
2021-12-15,11.31
2021-12-16,11.45
2021-12-17,11.55
2021-12-20,11.1
2021-12-21,11.41
2021-12-22,11.55
2021-12-23,11.41
2021-12-27,11.52
2021-12-28,11.24
2021-12-29,10.83
2021-12-30,11.16
2021-12-31,11.18
2022-01-03,11.83
2022-01-04,11.4
2022-01-05,10.75
2022-01-06,10.11
2022-01-07,9.8
2022-01-10,9.4
2022-01-11,9.81
2022-01-12,10.07
2022-01-13,9.43
2022-01-14,9.34
2022-01-18,8.65
2022-01-19,9.7
2022-01-20,9.88
2022-01-21,9.15
2022-01-24,9.18
2022-01-25,8.98
2022-01-26,8.83
2022-01-27,8.01
2022-01-28,8.18
2022-01-31,9.08
2022-02-01,9.42
2022-02-02,8.87
2022-02-03,8.59
2022-02-04,8.87
2022-02-07,8.94
2022-02-08,9.38
2022-02-09,10.08
2022-02-10,9.53
2022-02-11,9.13
2022-02-14,9.11
2022-02-15,9.82
2022-02-16,9.97
2022-02-17,9.45
2022-02-18,9.01
2022-02-22,8.54
2022-02-23,8.34
2022-02-24,8.83
2022-02-25,8.93
2022-02-28,9.52
2022-03-01,9.04
2022-03-02,9.12
2022-03-03,8.73
2022-03-04,8.42
2022-03-07,8.53
2022-03-08,9.14
2022-03-09,9.31
2022-03-10,9.44
2022-03-11,9.01
2022-03-14,8.76
2022-03-15,9.06
2022-03-16,9.64
2022-03-17,10.21
2022-03-18,10.41
2022-03-21,10.2
2022-03-22,10.65
2022-03-23,11.07
2022-03-24,10.93
2022-03-25,10.64
2022-03-28,10.59
2022-03-29,11.16
2022-03-30,11.51
2022-03-31,12.26
2022-04-01,12.42
2022-04-04,13.17
2022-04-05,12.36
2022-04-06,12.01
2022-04-07,11.76
2022-04-08,11.38
2022-04-11,11.52
2022-04-12,10.92
2022-04-13,11.38
2022-04-14,11.01
2022-04-18,10.62
2022-04-19,10.78
2022-04-20,10.34
2022-04-21,9.78
2022-04-22,9.45
2022-04-25,9.67
2022-04-26,8.93
2022-04-27,8.7
2022-04-28,9.1
2022-04-29,8.98
2022-05-02,9.42
2022-05-03,9.5
2022-05-04,9.74
2022-05-05,9.0
2022-05-06,8.57
2022-05-09,7.39
2022-05-10,7.14
2022-05-11,7.0
2022-05-12,6.86
2022-05-13,7.67
2022-05-16,7.5
2022-05-17,8.15
2022-05-18,8.06
2022-05-19,8.27
2022-05-20,8.17
2022-05-23,8.15
2022-05-24,8.06
2022-05-25,8.44
2022-05-26,8.66
2022-05-27,8.76
2022-05-31,8.48
2022-06-01,8.19
2022-06-02,8.67
2022-06-03,8.45
2022-06-06,8.46
2022-06-07,8.57
2022-06-08,8.2
2022-06-09,7.63
2022-06-10,7.3
2022-06-13,6.9
2022-06-14,7.01
2022-06-15,7.44
2022-06-16,6.87
2022-06-17,7.41
2022-06-21,7.19
2022-06-22,6.92
2022-06-23,6.93
2022-06-24,6.93
2022-06-27,6.74
2022-06-28,6.57
2022-06-29,6.66
2022-06-30,6.84
2022-07-01,7.5
2022-07-05,7.41
2022-07-06,7.69
2022-07-07,7.94
2022-07-08,7.8
2022-07-11,7.7
2022-07-12,7.79
2022-07-13,7.83
2022-07-14,7.85
2022-07-15,7.92
2022-07-18,8.23
2022-07-19,8.25
2022-07-20,8.58
2022-07-21,8.82
2022-07-22,8.48
2022-07-25,8.55
2022-07-26,8.6
2022-07-27,8.89
2022-07-28,9.75
2022-07-29,9.98
2022-08-01,9.95
2022-08-02,10.55
2022-08-03,10.72
2022-08-04,11.05
2022-08-05,11.25
2022-08-08,11.1
2022-08-09,11.38
2022-08-10,11.66
2022-08-11,11.87
2022-08-12,12.5
2022-08-15,12.17
2022-08-16,11.61
2022-08-17,11.0
2022-08-18,10.79
2022-08-19,10.24
2022-08-22,10.11
2022-08-23,10.22
2022-08-24,10.57
2022-08-25,12.6
2022-08-26,12.3
2022-08-29,12.65
2022-08-30,13.73
2022-08-31,14.24
2022-09-01,12.52
2022-09-02,11.95
2022-09-06,12.29
2022-09-07,12.98
2022-09-08,12.58
2022-09-09,12.94
2022-09-12,13.42
2022-09-13,12.98
2022-09-14,13.57
2022-09-15,14.53
2022-09-16,13.66
2022-09-19,13.5
2022-09-20,13.14
2022-09-21,15.39
2022-09-22,15.37
2022-09-23,13.88
2022-09-26,14.34
2022-09-27,13.65
2022-09-28,14.67
2022-09-29,13.71
2022-09-30,14.24
2022-10-03,14.61
2022-10-04,16.08
2022-10-05,15.94
2022-10-06,15.29
2022-10-07,14.74
