date,TIF
2015-07-01,93.77
2015-07-02,94.02
2015-07-06,92.91
2015-07-07,94.5
2015-07-08,90.25
2015-07-09,91.03
2015-07-10,91.95
2015-07-13,93.28
2015-07-14,93.33
2015-07-15,93.68
2015-07-16,93.99
2015-07-17,92.88
2015-07-20,94.0
2015-07-21,93.9
2015-07-22,94.76
2015-07-23,95.24
2015-07-24,93.24
2015-07-27,90.82
2015-07-28,91.99
2015-07-29,94.38
2015-07-30,95.0
2015-07-31,95.7
2015-08-03,94.02
2015-08-04,94.79
2015-08-05,94.82
2015-08-06,93.26
2015-08-07,93.37
2015-08-10,95.61
2015-08-11,93.6
2015-08-12,89.75
2015-08-13,90.13
2015-08-14,90.33
2015-08-17,90.97
2015-08-18,91.55
2015-08-19,91.29
2015-08-20,88.99
2015-08-21,85.89
2015-08-24,82.99
2015-08-25,81.84
2015-08-26,85.08
2015-08-27,83.29
2015-08-28,83.61
2015-08-31,82.25
2015-09-01,79.94
2015-09-02,81.8
2015-09-03,81.38
2015-09-04,80.31
2015-09-08,81.87
2015-09-09,80.96
2015-09-10,80.2
2015-09-11,80.1
2015-09-14,79.6
2015-09-15,80.32
2015-09-16,81.44
2015-09-17,80.61
2015-09-18,79.35
2015-09-21,79.37
2015-09-22,78.71
2015-09-23,78.64
2015-09-24,77.91
2015-09-25,77.38
2015-09-28,74.88
2015-09-29,75.2
2015-09-30,77.22
2015-10-01,76.58
2015-10-02,77.9
2015-10-05,80.25
2015-10-06,79.86
2015-10-07,80.21
2015-10-08,81.67
2015-10-09,81.4
2015-10-12,80.54
2015-10-13,78.78
2015-10-14,78.81
2015-10-15,79.27
2015-10-16,79.03
2015-10-19,80.04
2015-10-20,79.9
2015-10-21,79.13
2015-10-22,79.25
2015-10-23,78.61
2015-10-26,78.89
2015-10-27,79.55
2015-10-28,81.21
2015-10-29,81.31
2015-10-30,82.44
2015-11-02,82.7
2015-11-03,83.4
2015-11-04,82.67
2015-11-05,83.99
2015-11-06,81.91
2015-11-09,80.22
2015-11-10,80.09
2015-11-11,77.39
2015-11-12,76.82
2015-11-13,74.47
2015-11-16,75.23
2015-11-17,74.13
2015-11-18,74.42
2015-11-19,74.24
2015-11-20,75.14
2015-11-23,76.55
2015-11-24,79.32
2015-11-25,80.77
2015-11-27,79.73
2015-11-30,79.68
2015-12-01,79.43
2015-12-02,77.85
2015-12-03,76.13
2015-12-04,76.88
2015-12-07,76.12
2015-12-08,76.11
2015-12-09,76.45
2015-12-10,76.49
2015-12-11,75.22
2015-12-14,73.98
2015-12-15,74.33
2015-12-16,75.51
2015-12-17,73.23
2015-12-18,71.84
2015-12-21,74.48
2015-12-22,75.98
2015-12-23,77.76
2015-12-24,76.95
2015-12-28,76.6
2015-12-29,77.62
2015-12-30,77.05
2015-12-31,76.29
2016-01-04,74.52
2016-01-05,74.3
2016-01-06,72.92
2016-01-07,70.92
2016-01-08,68.26
2016-01-11,67.84
2016-01-12,68.41
2016-01-13,66.7
2016-01-14,66.86
2016-01-15,67.65
2016-01-19,64.22
2016-01-20,61.8
2016-01-21,61.05
2016-01-22,61.65
2016-01-25,60.93
2016-01-26,62.48
2016-01-27,61.61
2016-01-28,61.38
2016-01-29,63.84
2016-02-01,64.73
2016-02-02,63.76
2016-02-03,63.76
2016-02-04,64.68
2016-02-05,63.86
2016-02-08,62.92
2016-02-09,62.17
2016-02-10,61.69
2016-02-11,60.75
2016-02-12,61.73
2016-02-16,63.24
2016-02-17,65.62
2016-02-18,65.26
2016-02-19,64.51
2016-02-22,65.26
2016-02-23,64.42
2016-02-24,64.94
2016-02-25,65.12
2016-02-26,65.46
2016-02-29,64.98
2016-03-01,67.6
2016-03-02,67.71
2016-03-03,69.1
2016-03-04,69.77
2016-03-07,70.71
2016-03-08,69.38
2016-03-09,70.2
2016-03-10,70.48
2016-03-11,71.84
2016-03-14,71.86
2016-03-15,70.0
2016-03-16,70.28
2016-03-17,70.12
2016-03-18,72.19
2016-03-21,71.54
2016-03-22,72.58
2016-03-23,71.98
2016-03-24,70.93
2016-03-28,71.12
2016-03-29,71.84
2016-03-30,72.59
2016-03-31,73.38
2016-04-01,73.77
2016-04-04,72.29
2016-04-05,71.75
2016-04-06,72.25
2016-04-07,70.86
2016-04-08,70.63
2016-04-11,70.83
2016-04-12,70.24
2016-04-13,71.8
2016-04-14,71.01
2016-04-15,71.18
2016-04-18,71.18
2016-04-19,71.76
2016-04-20,72.22
2016-04-21,72.18
2016-04-22,73.03
2016-04-25,72.09
2016-04-26,72.6
