date,TWC
2015-07-01,181.19
2015-07-02,180.88
2015-07-06,181.75
2015-07-07,183.06
2015-07-08,180.48
2015-07-09,181.35
2015-07-10,183.5
2015-07-13,185.19
2015-07-14,183.47
2015-07-15,186.0
2015-07-16,187.04
2015-07-17,189.01
2015-07-20,190.88
2015-07-21,188.53
2015-07-22,190.47
2015-07-23,190.5
2015-07-24,191.09
2015-07-27,188.14
2015-07-28,189.2
2015-07-29,189.43
2015-07-30,190.84
2015-07-31,190.01
2015-08-03,191.27
2015-08-04,193.01
2015-08-05,191.5
2015-08-06,190.22
2015-08-07,188.91
2015-08-10,189.33
2015-08-11,186.85
2015-08-12,186.51
2015-08-13,186.65
2015-08-14,186.0
2015-08-17,190.31
2015-08-18,191.1
2015-08-19,191.48
2015-08-20,187.62
2015-08-21,183.59
2015-08-24,179.17
2015-08-25,180.72
2015-08-26,185.2
2015-08-27,187.89
2015-08-28,187.43
2015-08-31,186.02
2015-09-01,183.37
2015-09-02,185.26
2015-09-03,188.08
2015-09-04,187.83
2015-09-08,190.39
2015-09-09,188.62
2015-09-10,187.51
2015-09-11,187.45
2015-09-14,187.06
2015-09-15,189.79
2015-09-16,188.79
2015-09-17,190.42
2015-09-18,189.51
2015-09-21,191.04
2015-09-22,190.24
2015-09-23,188.3
2015-09-24,185.08
2015-09-25,183.79
2015-09-28,176.68
2015-09-29,174.0
2015-09-30,179.37
2015-10-01,181.85
2015-10-02,185.19
2015-10-05,188.74
2015-10-06,187.17
2015-10-07,186.01
2015-10-08,188.44
2015-10-09,187.38
2015-10-12,186.67
2015-10-13,187.92
2015-10-14,186.17
2015-10-15,188.26
2015-10-16,188.71
2015-10-19,187.33
2015-10-20,187.31
2015-10-21,180.44
2015-10-22,182.9
2015-10-23,185.19
2015-10-26,185.2
2015-10-27,183.35
2015-10-28,185.25
2015-10-29,191.82
2015-10-30,189.4
2015-11-02,187.41
2015-11-03,189.31
2015-11-04,188.65
2015-11-05,187.68
2015-11-06,188.09
2015-11-09,187.83
2015-11-10,189.31
2015-11-11,189.4
2015-11-12,188.94
2015-11-13,185.43
2015-11-16,185.84
2015-11-17,184.0
2015-11-18,184.79
2015-11-19,184.0
2015-11-20,184.5
2015-11-23,184.42
2015-11-24,183.65
2015-11-25,183.8
2015-11-27,185.26
2015-11-30,184.77
2015-12-01,186.5
2015-12-02,184.62
2015-12-03,181.38
2015-12-04,185.19
2015-12-07,185.61
2015-12-08,184.88
2015-12-09,183.92
2015-12-10,183.51
2015-12-11,180.5
2015-12-14,178.81
2015-12-15,181.08
2015-12-16,185.06
2015-12-17,184.51
2015-12-18,181.13
2015-12-21,181.97
2015-12-22,183.14
2015-12-23,184.1
2015-12-24,184.5
2015-12-28,185.05
2015-12-29,187.23
2015-12-30,185.77
2015-12-31,185.59
