date,VAR
2015-07-01,74.6168025135
2015-07-02,75.9697736897
2015-07-06,76.1289467693
2015-07-07,76.4472929284
2015-07-08,74.9882063658
2015-07-09,75.1473794454
2015-07-10,76.7567961386
2015-07-13,77.6322480761
2015-07-14,77.702991667
2015-07-15,77.252001275
2015-07-16,77.6941487182
2015-07-17,77.5526615364
2015-07-20,77.5703474341
2015-07-21,77.1635717863
2015-07-22,77.6322480761
2015-07-23,77.44654615
2015-07-24,77.0574564
2015-07-27,77.2077865307
2015-07-28,78.9940622012
2015-07-29,79.9314147807
2015-07-30,76.0493602295
2015-07-31,76.1112608715
2015-08-03,75.819443559
2015-08-04,76.2173762579
2015-08-05,77.2343153773
2015-08-06,76.535722417
2015-08-07,76.146632667
2015-08-10,77.119357042
2015-08-11,76.2173762579
2015-08-12,76.7744820363
2015-08-13,76.9424980648
2015-08-14,76.8540685761
2015-08-17,77.1989435818
2015-08-18,77.3404307636
2015-08-19,76.6241519057
2015-08-20,75.235808934
2015-08-21,73.4583762124
2015-08-24,69.841610127
2015-08-25,68.1791357406
2015-08-26,70.5402030873
2015-08-27,72.3530076044
2015-08-28,72.9277992805
2015-08-31,71.8489595191
2015-09-01,69.6382223032
2015-09-02,71.3183825873
2015-09-03,71.406812076
2015-09-04,70.036155002
2015-09-08,71.3006966896
2015-09-09,70.2395428259
2015-09-10,70.3721870589
2015-09-11,70.0803697464
2015-09-14,69.7885524339
2015-09-15,69.7266517918
2015-09-16,69.6205364054
2015-09-17,69.5409498657
2015-09-18,68.6301261327
2015-09-21,69.4436774282
2015-09-22,68.3117799736
2015-09-23,67.9050043259
2015-09-24,66.985337644
2015-09-25,66.5608760985
2015-09-28,63.1740266837
2015-09-29,64.774600428
2015-09-30,65.2432767178
2015-10-01,65.1990619735
2015-10-02,66.4901325076
2015-10-05,67.2771549565
2015-10-06,66.6935203315
2015-10-07,67.8165748372
2015-10-08,68.4621101043
2015-10-09,68.9484722918
2015-10-12,67.9315331724
2015-10-13,67.1621966213
2015-10-14,66.6935203315
2015-10-15,68.0641774054
2015-10-16,68.1614498429
2015-10-19,69.390619735
2015-10-20,66.5874049451
2015-10-21,66.4901325076
2015-10-22,67.117981877
2015-10-23,68.3206229225
2015-10-26,68.1083921497
2015-10-27,67.3567414963
2015-10-28,68.223350485
2015-10-29,69.4613633259
2015-10-30,69.4436774282
2015-11-02,69.5232639679
2015-11-03,69.8858248714
2015-11-04,70.2306998771
2015-11-05,71.0442511725
2015-11-06,71.5217704112
2015-11-09,71.3537543828
2015-11-10,71.4333409225
2015-11-11,71.3802832294
2015-11-12,69.4171485816
2015-11-13,69.390619735
2015-11-16,69.9830973089
2015-11-17,69.4259915304
2015-11-18,70.301443468
2015-11-19,70.1953280816
2015-11-20,71.2918537407
2015-11-23,71.4598697691
2015-11-24,71.5482992578
2015-11-25,71.3625973316
2015-11-27,71.4510268203
2015-11-30,71.4333409225
2015-12-01,72.1761486271
2015-12-02,71.8489595191
2015-12-03,70.4164018032
2015-12-04,70.946978735
2015-12-07,71.2387960475
2015-12-08,70.3279723146
2015-12-09,69.6912799964
2015-12-10,69.5144210191
2015-12-11,68.674340877
2015-12-14,68.8865716497
2015-12-15,69.5232639679
2015-12-16,70.4164018032
2015-12-17,69.3729338373
2015-12-18,69.7708665361
2015-12-21,70.2218569282
2015-12-22,70.9116069396
2015-12-23,71.4421838714
2015-12-24,71.7340011839
2015-12-28,71.7074723373
2015-12-29,72.3530076044
2015-12-30,71.9373890078
2015-12-31,71.4510268203
2016-01-04,69.5497928145
2016-01-05,69.7178088429
2016-01-06,69.3552479395
2016-01-07,67.9138472747
2016-01-08,67.6927735531
2016-01-11,67.312526752
2016-01-12,67.5247575247
2016-01-13,66.596247894
2016-01-14,67.2594690588
2016-01-15,67.2771549565
2016-01-19,67.1533536724
2016-01-20,66.5431902008
