date,WYND
2015-07-01,25.6913526499
2015-07-02,25.7407294238
2015-07-06,25.6172874891
2015-07-07,25.817880633
2015-07-08,25.2130151531
2015-07-09,25.4598990225
2015-07-10,26.0277319219
2015-07-13,26.3641111938
2015-07-14,26.5893927245
2015-07-15,26.4042298226
2015-07-16,26.7097486108
2015-07-17,26.7467811912
2015-07-20,26.728264901
2015-07-21,26.7313509494
2015-07-22,26.9381161899
2015-07-23,26.0616784539
2015-07-24,25.632717731
2015-07-27,25.1821546695
2015-07-28,24.8766358812
2015-07-29,25.4105222486
2015-07-30,25.2315314433
2015-07-31,25.4660711192
2015-08-03,25.2438756368
2015-08-04,25.0494545897
2015-08-05,24.5958054799
2015-08-06,24.4353309648
2015-08-07,24.2563401596
2015-08-10,24.6822148341
2015-08-11,24.6235799152
2015-08-12,24.7130753178
2015-08-13,24.8118288655
2015-08-14,24.3890402393
2015-08-17,24.8735498329
2015-08-18,24.7963986237
2015-08-19,24.8180009623
2015-08-20,24.0835214511
2015-08-21,23.6977654053
2015-08-24,22.9046509751
2015-08-25,22.9077370235
2015-08-26,23.5496350837
2015-08-27,23.9685573048
2015-08-28,23.9561447946
2015-08-31,23.73271961
2015-09-01,23.3137973888
2015-09-02,23.9251135189
2015-09-03,23.97476356
2015-09-04,23.6458320382
2015-09-08,24.2137043824
2015-09-09,24.0368261112
2015-09-10,24.1981887446
2015-09-11,24.4898827356
2015-09-14,24.3967889087
2015-09-15,24.3409326125
2015-09-16,24.4247170567
2015-09-17,24.3192107196
2015-09-18,23.5558413388
2015-09-21,23.7172039721
2015-09-22,23.155537883
2015-09-23,22.9445252087
2015-09-24,22.8328126164
2015-09-25,22.814193851
2015-09-28,21.9949681741
2015-09-29,21.7777492446
2015-09-30,22.3114871856
2015-10-01,22.3611372266
2015-10-02,22.9165970606
2015-10-05,23.3820661952
2015-10-06,23.2889723683
2015-10-07,23.7234102273
2015-10-08,24.2602512959
2015-10-09,24.3285201023
2015-10-12,24.4743670978
2015-10-13,24.4029951638
2015-10-14,23.953041667
2015-10-15,23.00658776
2015-10-16,22.9538345914
2015-10-19,22.9631439741
2015-10-20,23.4658506395
2015-10-21,23.2796629856
2015-10-22,24.024413601
2015-10-23,23.6054913798
2015-10-26,23.7389258651
2015-10-27,25.0236206766
2015-10-28,25.1694676721
2015-10-29,25.4146147497
2015-10-30,25.2439427337
2015-11-02,25.383583474
2015-11-03,25.6566586997
2015-11-04,25.2532521164
2015-11-05,25.3060052849
2015-11-06,25.3184177952
2015-11-09,24.9987956561
2015-11-10,25.163261417
2015-11-11,25.0608582074
2015-11-12,24.6698641343
2015-11-13,24.095785535
2015-11-16,24.0492386215
2015-11-17,23.8940822433
2015-11-18,24.0120010907
2015-11-19,23.832019692
2015-11-20,23.8165040542
2015-11-23,23.9592479221
2015-11-24,23.7047914619
2015-11-25,23.7078945894
2015-11-27,23.7890218939
2015-11-30,23.6891729038
2015-12-01,23.9107128506
2015-12-02,23.7796610511
2015-12-03,23.3053783481
2015-12-04,23.7546988036
2015-12-07,23.3740245288
2015-12-08,23.4707532379
2015-12-09,23.4645126761
2015-12-10,23.4738735189
2015-12-11,22.8092536785
2015-12-14,22.7905319928
2015-12-15,22.7094046883
2015-12-16,23.152484582
2015-12-17,22.5502703604
2015-12-18,22.1103107477
2015-12-21,22.1945583331
2015-12-22,22.4785038987
2015-12-23,22.9621474446
2015-12-24,22.8685390163
2015-12-28,22.9059823876
2015-12-29,22.9434257589
2015-12-30,22.7406074978
2015-12-31,22.6688410361
2016-01-04,22.1165513096
2016-01-05,22.2912870423
2016-01-06,21.723395911
2016-01-07,21.4893748404
2016-01-08,21.4238489407
2016-01-11,21.5798629877
2016-01-12,21.7109147872
2016-01-13,21.0306935421
2016-01-14,20.824755
2016-01-15,20.4097576349
2016-01-19,20.2006988118
2016-01-20,20.2787058353
2016-01-21,20.5782528057
2016-01-22,20.9246039901
2016-01-25,19.9011518415
2016-01-26,20.3972765111
2016-01-27,20.1601351596
2016-01-28,19.7857014467
2016-01-29,20.2506233069
2016-02-01,20.297427521
2016-02-02,19.5423195333
2016-02-03,19.7888217276
2016-02-04,20.1570148786
2016-02-05,19.5641614998
2016-02-08,19.2302914392
2016-02-09,19.7232958278
2016-02-10,20.1757365643
2016-02-11,19.8668287511
2016-02-12,20.4659226918
2016-02-16,20.930844552
2016-02-17,21.511216807
2016-02-18,21.4394503454
2016-02-19,21.5829832687
2016-02-22,22.041664567
2016-02-23,21.9230938912
2016-02-24,22.0541456907
2016-02-25,22.356812942
2016-02-26,22.6469990695
2016-02-29,22.728126374
2016-03-01,23.2991377862
2016-03-02,23.4114679001
2016-03-03,23.5924441946
2016-03-04,23.7266162751
2016-03-07,23.7890218939
2016-03-08,23.202409077
2016-03-09,23.258574134
2016-03-10,23.2460087238
2016-03-11,24.0376295615
2016-03-14,24.0156400937
2016-03-15,23.9025514027
2016-03-16,24.2700896487
2016-03-17,24.8323917516
2016-03-18,25.3789870919
2016-03-21,24.2104039506
2016-03-22,23.9213995178
2016-03-23,23.4753274585
2016-03-24,23.5475785667
2016-03-28,23.4501966383
2016-03-29,23.5412958617
2016-03-30,24.0030746836
2016-03-31,24.0093573887
2016-04-01,23.6826567255
2016-04-04,23.6920807831
2016-04-05,23.5350131566
2016-04-06,23.7172116034
2016-04-07,23.5130236889
2016-04-08,23.7172116034
2016-04-11,24.0124987412
2016-04-12,24.1444355475
2016-04-13,24.5025497359
2016-04-14,24.4397226853
2016-04-15,24.4145918651
2016-04-18,24.200979893
2016-04-19,24.2795137063
2016-04-20,24.3988851024
2016-04-21,24.3391994044
2016-04-22,23.9276822229
2016-04-25,23.8962686976
2016-04-26,22.1119804604
2016-04-27,22.7873712544
2016-04-28,22.4983668216
2016-04-29,22.2878962021
2016-05-02,22.281613497
2016-05-03,22.2878962021
2016-05-04,21.9737609491
2016-05-05,22.1402526332
2016-05-06,22.0460120573
2016-05-09,22.0805669351
2016-05-10,22.5297803469
2016-05-11,21.7413008618
2016-05-12,21.7161700416
2016-05-13,21.1570092912
2016-05-16,21.4585791341
2016-05-17,21.5622437676
2016-05-18,21.2543912197
2016-05-19,20.9716694919
2016-05-20,20.8994183837
2016-05-23,20.8491567433
2016-05-24,20.9622454343
2016-05-25,21.3674799107
2016-05-26,21.0826645683
2016-05-27,21.3516568362
2016-05-31,21.3263399168
2016-06-01,21.3769737555
2016-06-02,21.6902706321
2016-06-03,21.357986066
2016-06-06,21.4940645074
2016-06-07,21.5257106565
2016-06-08,21.6776121725
2016-06-09,21.6396367935
2016-06-10,21.4117845196
2016-06-13,21.2946937677
2016-06-14,21.1396276368
2016-06-15,21.6143198742
2016-06-16,21.7915383094
2016-06-17,22.1902797888
2016-06-20,22.4529428268
2016-06-21,22.3105351556
2016-06-22,22.2440782424
2016-06-23,22.7409227842
2016-06-24,21.2946937677
2016-06-27,20.6965815486
2016-06-28,21.2757060782
2016-06-29,22.1681274844
2016-06-30,22.5415520445
2016-07-01,22.6934535604
2016-07-05,22.1649628695
2016-07-06,22.2883828512
2016-07-07,22.4719305163
2016-07-08,22.895988915
2016-07-11,23.2915657795
2016-07-12,23.8896779985
2016-07-13,23.649167265
2016-07-14,23.8928426135
2016-07-15,23.8896779985
2016-07-18,24.0352502847
2016-07-19,23.8960072284
2016-07-20,23.8580318494
2016-07-21,24.2156333349
2016-07-22,24.437156379
2016-07-25,24.3706994657
2016-07-26,24.4276625342
2016-07-27,22.3548397644
2016-07-28,22.6080089577
2016-07-29,22.4750951312
2016-08-01,22.0542013474
2016-08-02,21.8421721481
2016-08-03,21.7377398559
2016-08-04,21.8485013779
2016-08-05,21.9624275149
2016-08-08,22.0478721176
2016-08-09,21.9782505895
2016-08-10,22.0478721176
2016-08-11,21.997238279
2016-08-12,21.9560982851
2016-08-15,22.1871151739
2016-08-16,22.1744567142
2016-08-17,22.4244612926
2016-08-18,22.4972474356
2016-08-19,22.7156058648
2016-08-22,22.6554781814
2016-08-23,22.7061120201
2016-08-24,22.5858566533
2016-08-25,22.6814649078
2016-08-26,22.573108886
2016-08-29,22.7675123368
2016-08-30,22.7706992786
2016-08-31,22.5603611188
2016-09-01,22.5444264097
2016-09-02,22.5316786424
2016-09-06,22.3340882498
2016-09-07,22.3755184934
2016-09-08,22.1524325662
2016-09-09,21.3142668685
2016-09-12,21.601091632
2016-09-13,21.2919582758
2016-09-14,21.3843795885
2016-09-15,21.687139061
2016-09-16,21.601091632
2016-09-19,21.5883438647
2016-09-20,21.6042785738
2016-09-21,21.6488957592
2016-09-22,21.8847294537
2016-09-23,21.9580291154
2016-09-26,21.4003142976
2016-09-27,21.4640531339
2016-09-28,21.5022964357
2016-09-29,21.3716318212
2016-09-30,21.4576792503
2016-10-03,21.3206407521
2016-10-04,21.2951452176
2016-10-05,21.339762403
2016-10-06,21.3684448794
2016-10-07,21.3333885194
2016-10-10,21.6393349338
2016-10-11,21.5118572611
2016-10-12,21.5532875047
2016-10-13,21.4162490066
2016-10-14,21.5979046902
2016-10-17,21.4640531339
2016-10-18,21.7413170719
2016-10-19,21.8624208609
2016-10-20,21.87835557
2016-10-21,21.636147992
2016-10-24,21.671204352
2016-10-25,21.6265871665
2016-10-26,20.1797155819
2016-10-27,20.4569795199
2016-10-28,20.7087479234
2016-10-31,20.9828249196
2016-11-01,20.8394125379
2016-11-02,20.7278695743
2016-11-03,20.523905298
2016-11-04,20.472914229
2016-11-07,21.1644806031
2016-11-08,21.4353706575
2016-11-09,21.687139061
2016-11-10,21.9707768827
2016-11-11,22.139684799
2016-11-14,22.834438115
2016-11-15,22.8248772895
2016-11-16,22.7069604423
2016-11-17,23.0957673439
2016-11-18,23.0288415658
2016-11-21,23.3252271547
2016-11-22,23.6885385218
2016-11-23,23.9052505653
2016-11-25,23.805792403
2016-11-28,23.4207930649
2016-11-29,23.3758764755
2016-11-30,23.0967519554
2016-12-01,23.6902926016
2016-12-02,23.2026267734
2016-12-05,23.7287925354
2016-12-06,24.0913335787
2016-12-07,24.681665897
2016-12-08,24.7714990759
2016-12-09,24.9832487118
2016-12-12,24.7682907481
2016-12-13,24.6784575692
2016-12-14,24.6688325858
2016-12-15,24.6271243241
2016-12-16,24.8805822217
2016-12-19,24.858123927
2016-12-20,24.8613322548
2016-12-21,24.9864570397
2016-12-22,24.7779157316
2016-12-23,24.7779157316
2016-12-27,24.7426241256
2016-12-28,24.55974944
2016-12-29,24.6142910129
2016-12-30,24.5019995393
2017-01-03,24.367249771
2017-01-04,24.4795412446
2017-01-05,24.5340828175
2017-01-06,24.665624258
2017-01-09,24.6335409798
2017-01-10,24.681665897
2017-01-11,24.8773738939
2017-01-12,24.6271243241
2017-01-13,24.8003740263
2017-01-17,24.3608331153
2017-01-18,24.752249109
2017-01-19,24.9575820893
2017-01-20,25.0891235298
2017-01-23,25.2206649703
2017-01-24,25.4099563115
2017-01-25,25.612080964
2017-01-26,25.7724973549
2017-01-27,25.576789358
2017-01-30,25.4227896228
2017-01-31,25.3650397221
2017-02-01,25.4356229341
2017-02-02,25.4003313281
2017-02-03,25.6281226031
2017-02-06,25.6922891594
2017-02-07,25.8270389277
2017-02-08,26.0034969577
2017-02-09,26.1959966267
2017-02-10,26.2344965605
2017-02-13,26.2280799049
2017-02-14,26.244121544
2017-02-15,27.4953693926
2017-02-16,27.524244343
2017-02-17,27.2226615282
2017-02-21,27.2707864454
2017-02-22,27.0012869088
2017-02-23,26.7157457331
2017-02-24,26.9082454021
2017-02-27,26.9339120247
2017-02-28,26.7061207496
2017-03-01,27.0044952366
2017-03-02,26.6483708489
2017-03-03,26.436621213
2017-03-06,26.4109545905
2017-03-07,26.3692463288
2017-03-08,26.4654961634
2017-03-09,26.3371630507
2017-03-10,26.5168294084
2017-03-13,26.7542456669
2017-03-14,26.4205795739
2017-03-15,26.8857871074
2017-03-16,27.1668569798
2017-03-17,27.221778679
2017-03-20,27.1248580334
2017-03-21,26.6176399877
2017-03-22,26.9923998176
2017-03-23,27.1474728507
2017-03-24,27.2120866145
2017-03-27,27.1313194097
2017-03-28,27.2540855609
2017-03-29,27.2928538192
2017-03-30,27.4931564869
2017-03-31,27.2314707436
2017-04-03,27.1377807861
2017-04-04,27.1959331735
2017-04-05,27.2508548727
2017-04-06,27.5157713042
2017-04-07,27.3639289593
2017-04-10,27.5868464444
2017-04-11,27.7193046601
2017-04-12,28.145755501
2017-04-13,28.2200613294
2017-04-17,28.3719036743
2017-04-18,28.5108232664
2017-04-19,28.7498941923
2017-04-20,28.9954264947
2017-04-21,28.9857344301
2017-04-24,29.6544868852
2017-04-25,29.7934064773
2017-04-26,32.4813390504
2017-04-27,30.9790690426
2017-04-28,30.7916891277
2017-05-01,30.9273780316
2017-05-02,31.0081452363
2017-05-03,31.0081452363
2017-05-04,30.8950711497
2017-05-05,31.03722143
2017-05-08,31.0049145481
2017-05-09,31.2310627214
2017-05-10,31.1470648285
2017-05-11,31.0856817529
2017-05-12,30.7206139875
2017-05-15,31.0921431292
2017-05-16,30.9952224836
