janela,neg_inicio,neg_fim,ativo1,ativo2,rank,ssd,sigma,n_trades,n_fechados,n_forcados,retorno_total
1990-07_a_1991-06,1991-07,1991-12,GPUI,FPC,1,0.0809542524951894,0.0177321204288234,2,1,1,0.023824471545687897
1990-07_a_1991-06,1991-07,1991-12,FPC,ES,2,0.0979908553019868,0.0185435498825378,3,3,0,0.14177573766491636
1990-07_a_1991-06,1991-07,1991-12,45200Q,CNP,3,0.101924436282843,0.0201818903246399,2,2,0,0.08478402214631497
1990-07_a_1991-06,1991-07,1991-12,SCG,WEC,4,0.1039669079519853,0.020020891613964,3,3,0,0.1308259010432351
1990-07_a_1991-06,1991-07,1991-12,PEG,0961514D,5,0.1040522489389559,0.0170738077923311,2,1,1,0.04126286287608438
1990-07_a_1991-06,1991-07,1991-12,PEG,PPL,6,0.1115805322640426,0.0209446698310325,1,0,1,-0.02741314131887984
1990-07_a_1991-06,1991-07,1991-12,D,ES,7,0.1167627886636637,0.0196291910915544,3,2,1,0.1240293424778739
1990-07_a_1991-06,1991-07,1991-12,EIX,PPL,8,0.133446647926803,0.0225929749147443,1,1,0,0.0589688509865236
1990-07_a_1991-06,1991-07,1991-12,CNP,SO,9,0.1385639291197549,0.0214888960801983,3,2,1,0.08901339994481638
1990-07_a_1991-06,1991-07,1991-12,GPUI,ES,10,0.1405470378757627,0.0214987649185213,3,2,1,0.0917220709067944
1990-07_a_1991-06,1991-07,1991-12,AEP,CEG,11,0.1438760128178273,0.0235321955821525,1,0,1,0.023341185974200762
1990-07_a_1991-06,1991-07,1991-12,45200Q,SO,12,0.1525105009206981,0.0230036218739912,3,2,1,0.10104388919064655
1990-07_a_1991-06,1991-07,1991-12,D,GPUI,13,0.1586069531759903,0.0251696174169978,1,0,1,0.0035591323667356622
1990-07_a_1991-06,1991-07,1991-12,0961514D,PPL,14,0.1618043552990684,0.024012970044073,1,0,1,0.013291973091193565
1990-07_a_1991-06,1991-07,1991-12,ED,PEG,15,0.1622162394241968,0.0254562104106893,2,1,1,0.05140491358889354
1990-07_a_1991-06,1991-07,1991-12,SO,WEC,16,0.1711350777161442,0.0249367150811648,2,1,1,0.06831717140918825
1990-07_a_1991-06,1991-07,1991-12,D,FPC,17,0.1714240187822042,0.0261009802976864,1,0,1,0.04258364202424947
1990-07_a_1991-06,1991-07,1991-12,ED,PPL,18,0.171660856989547,0.0259435467679418,2,2,0,0.1032952657304389
1990-07_a_1991-06,1991-07,1991-12,D,TXU,19,0.1727547594515499,0.0252053336802986,1,0,1,0.009365395440405488
1990-07_a_1991-06,1991-07,1991-12,8375930Q,COP,20,0.1731132722279653,0.0132560810658912,1,0,1,-0.010592023087531488
1990-08_a_1991-07,1991-08,1992-01,PPL,ES,1,0.0732960148998245,0.0169722602649168,6,5,1,0.15185777530352806
1990-08_a_1991-07,1991-08,1992-01,PEG,SO,2,0.07374990911444,0.0165427587879597,2,1,1,-0.11181069579471647
1990-08_a_1991-07,1991-08,1992-01,8375930Q,COP,3,0.0875626495645747,0.0111362398124887,1,0,1,-0.010588031990812818
1990-08_a_1991-07,1991-08,1992-01,GPUI,FPC,4,0.0980878365178341,0.0177989869885565,2,1,1,0.05316487918736257
1990-08_a_1991-07,1991-08,1992-01,D,PPL,5,0.1006595342138325,0.0171068656891184,2,1,1,0.010357186244986938
1990-08_a_1991-07,1991-08,1992-01,SO,FPC,6,0.1135230126892565,0.0196582442709074,4,3,1,0.06994544971638617
1990-08_a_1991-07,1991-08,1992-01,PEG,PPL,7,0.1172213800039116,0.0214681958934644,1,0,1,-0.048691927852252403
1990-08_a_1991-07,1991-08,1992-01,45200Q,CNP,8,0.1208864191719385,0.0200451559085385,3,2,1,0.10605745181504611
1990-08_a_1991-07,1991-08,1992-01,PEG,FPC,9,0.1237602007923897,0.0183934242413221,1,0,1,-0.05841303362631933
1990-08_a_1991-07,1991-08,1992-01,PEG,ES,10,0.1253948925285612,0.0219907874608055,2,1,1,-0.05293140121201778
1990-08_a_1991-07,1991-08,1992-01,GPUI,PPL,11,0.1274222215532745,0.0216934749976427,3,2,1,0.13214499437738825
1990-08_a_1991-07,1991-08,1992-01,D,ES,12,0.1298087956881772,0.0192596556210286,3,3,0,0.14492718136300708
1990-08_a_1991-07,1991-08,1992-01,GPUI,ES,13,0.1311957398058894,0.0215168215163255,3,2,1,0.07714756893775843
1990-08_a_1991-07,1991-08,1992-01,SO,GPUI,14,0.1342037747245967,0.0230715496866373,2,1,1,0.009921716766411515
1990-08_a_1991-07,1991-08,1992-01,PEG,GPUI,15,0.1356557492978254,0.0228799579818183,2,1,1,0.013629704614070981
1990-08_a_1991-07,1991-08,1992-01,PCG,TE,16,0.150633849659016,0.0244086814032155,2,1,1,-0.009694037694190416
1990-08_a_1991-07,1991-08,1992-01,FPC,ES,17,0.1518974801790591,0.0185325497220133,5,4,1,0.15690084903879786
1990-08_a_1991-07,1991-08,1992-01,D,GPUI,18,0.1620075677581098,0.0249678600308798,1,0,1,-0.004130924339269204
1990-08_a_1991-07,1991-08,1992-01,EIX,AYE,19,0.1641167846571534,0.0252627850179814,1,0,1,-0.023744006208778146
1990-08_a_1991-07,1991-08,1992-01,SCG,WEC,20,0.1716932084520976,0.0252784731641639,0,0,0,0.0
1990-09_a_1991-08,1991-09,1992-02,GPUI,FPC,1,0.0963135964232151,0.0191024963192712,1,0,1,-0.0011112259437410232
1990-09_a_1991-08,1991-09,1992-02,PPL,ES,2,0.1100358342457639,0.0186207518282411,5,4,1,0.10963994503030328
1990-09_a_1991-08,1991-09,1992-02,AEP,AYE,3,0.1100997138548791,0.0208470705453233,2,1,1,0.05467475371758179
1990-09_a_1991-08,1991-09,1992-02,PEG,FPC,4,0.1104011409906888,0.0206255132810085,1,0,1,-0.045618231383663166
1990-09_a_1991-08,1991-09,1992-02,CNP,PEG,5,0.1220856166286239,0.0202256193626699,3,2,1,0.03608922890796218
1990-09_a_1991-08,1991-09,1992-02,8375930Q,COP,6,0.1223001234848766,0.0119253276982418,1,0,1,-0.0117965219835936
1990-09_a_1991-08,1991-09,1992-02,FPC,WEC,7,0.1315599953952642,0.0196627020993382,4,3,1,0.11699277632885541
1990-09_a_1991-08,1991-09,1992-02,1005945D,AYE,8,0.1319209422024414,0.0226477680680084,2,1,1,0.05178041529454791
1990-09_a_1991-08,1991-09,1992-02,CIN,AYE,9,0.1459428758728336,0.0240062710699498,1,0,1,0.014389120314017956
1990-09_a_1991-08,1991-09,1992-02,GPUI,WEC,10,0.1468036024155026,0.0230276185431152,1,0,1,0.00875203216284759
1990-09_a_1991-08,1991-09,1992-02,D,ES,11,0.1478619328893273,0.0205346782375235,4,3,1,0.13672149965824176
1990-09_a_1991-08,1991-09,1992-02,FPC,TEG,12,0.1497575634851955,0.0240453305817179,3,3,0,0.12906710008471955
1990-09_a_1991-08,1991-09,1992-02,CNP,SO,13,0.1520657203864175,0.0235724955450332,2,2,0,0.07767489158311025
1990-09_a_1991-08,1991-09,1992-02,PEG,SO,14,0.1563926560108939,0.0192614887604312,2,1,1,-0.02476850631019989
1990-09_a_1991-08,1991-09,1992-02,GPUI,TEG,15,0.1684556238154755,0.0259062987629914,4,3,1,0.18158301414469646
1990-09_a_1991-08,1991-09,1992-02,CEG,ES,16,0.1774049849610719,0.0265807677562907,2,1,1,0.018983841440678773
1990-09_a_1991-08,1991-09,1992-02,PEG,GPUI,17,0.1778107227427199,0.0266105126203669,1,0,1,0.001731002881018795
1990-09_a_1991-08,1991-09,1992-02,UEP,SCG,18,0.1778991918110932,0.0248173871548661,2,2,0,0.0852117063811394
